event_id,recording_id,candidate_time_s,previous_segment_label,containing_segment_label,next_segment_label,clip_path,contact_sheet_path,q1_video_shows,q2_label_referent,q3_clearly_right,q4_clearly_wrong,q5_missing,q6_too_coarse,q7_phases,q8_notes
recording_000388_missed_signal_present_not_top_t601.8,recording_000388,601.8,Secure plastic wrap around bowl,,Manipulate and discard ice cube into basin,/workspace/tr1/results/hal/batch2_media/media/recording_000388_missed_signal_present_not_top_t601.8.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000388_missed_signal_present_not_top_t601.8_contact_sheet.png,,,,,,,,
recording_000343_false_near_edge_t222.5,recording_000343,222.5,Apply liquid to pan with brush,Apply liquid to pan with brush,Apply liquid to pan with brush,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_near_edge_t222.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_near_edge_t222.5_contact_sheet.png,,,,,,,,
recording_000431_missed_signal_present_not_top_t178.2,recording_000431,178.2,Crumble the removed plastic wrap,,,/workspace/tr1/results/hal/batch2_media/media/recording_000431_missed_signal_present_not_top_t178.2.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000431_missed_signal_present_not_top_t178.2_contact_sheet.png,,,,,,,,
recording_000037_early_t156.0,recording_000037,156.0,Rinse mug under running water,,,/workspace/tr1/results/boundary/error_audit/media/recording_000037_early_t156.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000037_early_t156.0_contact_sheet.png,,,,,,,,
recording_000236_missed_signal_present_not_top_t572.8,recording_000236,572.8,Close cardboard box top flaps again,,,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_signal_present_not_top_t572.8.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_signal_present_not_top_t572.8_contact_sheet.png,,,,,,,,
recording_000134_false_near_edge_t562.5,recording_000134,562.5,Fold one tissue sheet and stack it,Fold one tissue sheet and stack it,Fold one tissue sheet and stack it,/workspace/tr1/results/boundary/error_audit/media/recording_000134_false_near_edge_t562.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000134_false_near_edge_t562.5_contact_sheet.png,,,,,,,,
recording_000230_missed_signal_present_not_top_t397.0,recording_000230,397.0,Disassemble and store cardboard box,,,/workspace/tr1/results/hal/batch2_media/media/recording_000230_missed_signal_present_not_top_t397.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000230_missed_signal_present_not_top_t397.0_contact_sheet.png,,,,,,,,
recording_000181_late_t73.5,recording_000181,73.5,Clean sink drain strainer,,Rinse and reseat sink drain strainer,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5_contact_sheet.png,,,,,,,,
recording_000181_late_t233.0,recording_000181,233.0,Clean sink drain strainer,,Clean sink drain strainer,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t233.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t233.0_contact_sheet.png,,,,,,,,
recording_000272_false_mid_segment_t618.5,recording_000272,618.5,Remove adhesive tape from box side panel,Store cardboard box in plastic bag,Retrieve cardboard box from plastic bag,/workspace/tr1/results/hal/batch2_media/media/recording_000272_false_mid_segment_t618.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000272_false_mid_segment_t618.5_contact_sheet.png,,,,,,,,
recording_000230_false_mid_segment_t404.5,recording_000230,404.5,Disassemble and store cardboard box,Retrieve and reassemble cardboard box,Repack USB drive into cardboard box,/workspace/tr1/results/hal/batch2_media/media/recording_000230_false_mid_segment_t404.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000230_false_mid_segment_t404.5_contact_sheet.png,,,,,,,,
recording_000419_missed_weak_signal_t688.9,recording_000419,688.9,Crumpling discarded plastic packaging,,Discarding crumpled plastic in trash bin,/workspace/tr1/results/hal/batch2_media/media/recording_000419_missed_weak_signal_t688.9.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000419_missed_weak_signal_t688.9_contact_sheet.png,,,,,,,,
recording_000134_false_near_edge_t130.0,recording_000134,130.0,Fold a tissue paper into a compact rectangle (starts here),Fold second tissue sheet into compact rectangle,Fold third tissue sheet into compact rectangle,/workspace/tr1/results/boundary/error_audit/media/recording_000134_false_near_edge_t130.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000134_false_near_edge_t130.0_contact_sheet.png,,,,,,,,
recording_000053_missed_weak_signal_t486.0,recording_000053,486.0,,,Fill dark bottles from table into bowl,/workspace/tr1/results/boundary/error_audit/media/recording_000053_missed_weak_signal_t486.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000053_missed_weak_signal_t486.0_contact_sheet.png,,,,,,,,
recording_000431_false_mid_segment_t427.5,recording_000431,427.5,Crumple plastic wrap into ball,Unroll and tear plastic wrap sheet,Position bowl and cover with wrap,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_mid_segment_t427.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_mid_segment_t427.5_contact_sheet.png,,,,,,,,
recording_000471_missed_weak_signal_t485.4,recording_000471,485.4,Wipe kettle lid and top cap,,Wipe upper kettle body,/workspace/tr1/results/hal/batch2_media/media/recording_000471_missed_weak_signal_t485.4.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000471_missed_weak_signal_t485.4_contact_sheet.png,,,,,,,,
recording_000438_false_mid_segment_t224.0,recording_000438,224.0,Unroll and tear plastic wrap sheet,Secure plastic wrap around bowl,Remove and crumple plastic wrap,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t224.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t224.0_contact_sheet.png,,,,,,,,
recording_000282_exact_t544.5,recording_000282,544.5,Flip box and open top flaps,,,/workspace/tr1/results/hal/batch2_media/media/recording_000282_exact_t544.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000282_exact_t544.5_contact_sheet.png,,,,,,,,
recording_000220_early_t137.8,recording_000220,137.8,,,Slipper pair flip cycle,/workspace/tr1/results/boundary/error_audit/media/recording_000220_early_t137.8.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000220_early_t137.8_contact_sheet.png,,,,,,,,
recording_000438_missed_signal_present_not_top_t182.0,recording_000438,182.0,Manipulate small transparent object,,Retrieve plastic wrap roll,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t182.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t182.0_contact_sheet.png,,,,,,,,
recording_000102_false_mid_segment_t484.0,recording_000102,484.0,fold and unfold tissue,fold and unfold tissue,Fold and crease paper edge,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t484.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t484.0_contact_sheet.png,,,,,,,,
recording_000220_missed_weak_signal_t289.5,recording_000220,289.5,Display footbed side of slippers,,Display upper side of slippers,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t289.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t289.5_contact_sheet.png,,,,,,,,
recording_000265_early_t88.0,recording_000265,88.0,Remove cardboard box from black plastic bag,,Pack USB drive into box and seal with tape,/workspace/tr1/results/hal/batch2_media/media/recording_000265_early_t88.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000265_early_t88.0_contact_sheet.png,,,,,,,,
recording_000102_duplicate_t164.5,recording_000102,164.5,Fold and crease sheet edge,Fold and crease sheet edge,Fold and crease sheet edge,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t164.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t164.5_contact_sheet.png,,,,,,,,
recording_000406_exact_t490.3,recording_000406,490.3,Handling plastic wrap roll,,Position wrap over bowl opening,/workspace/tr1/results/hal/batch2_media/media/recording_000406_exact_t490.3.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_exact_t490.3_contact_sheet.png,,,,,,,,
recording_000213_duplicate_t230.5,recording_000213,230.5,Rinse and seat sink strainer,Rinse and seat sink strainer,Clean and replace sink drain strainer,/workspace/tr1/results/boundary/error_audit/media/recording_000213_duplicate_t230.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000213_duplicate_t230.5_contact_sheet.png,,,,,,,,
recording_000422_false_mid_segment_t381.0,recording_000422,381.0,Unrolling and laying a plastic wrap sheet on the table,Adjusting bowl and plastic wrap position,Seal plastic wrap to bowl rim,/workspace/tr1/results/hal/batch2_media/media/recording_000422_false_mid_segment_t381.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000422_false_mid_segment_t381.0_contact_sheet.png,,,,,,,,
recording_000465_false_gap_t247.0,recording_000465,247.0,Store charging cable in drawer,,Test charging cable with mobile phone,/workspace/tr1/results/hal/batch2_media/media/recording_000465_false_gap_t247.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000465_false_gap_t247.0_contact_sheet.png,,,,,,,,
recording_000110_false_near_edge_t504.0,recording_000110,504.0,Wipe back counter behind sink,Hand rinsing under faucet,Second squeegee cleaning session,/workspace/tr1/results/boundary/error_audit/media/recording_000110_false_near_edge_t504.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000110_false_near_edge_t504.0_contact_sheet.png,,,,,,,,
recording_000406_false_near_edge_t455.5,recording_000406,455.5,Covering a bowl with plastic wrap,Cover bowl with new cling film from roll,Removing and discarding plastic wrap,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_near_edge_t455.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_near_edge_t455.5_contact_sheet.png,,,,,,,,
recording_000431_false_near_edge_t440.5,recording_000431,440.5,Crumple plastic wrap into ball,Unroll and tear plastic wrap sheet,Position bowl and cover with wrap,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t440.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t440.5_contact_sheet.png,,,,,,,,
recording_000242_missed_weak_signal_t352.0,recording_000242,352.0,Seal second box with tape,,,/workspace/tr1/results/hal/batch2_media/media/recording_000242_missed_weak_signal_t352.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000242_missed_weak_signal_t352.0_contact_sheet.png,,,,,,,,
recording_000265_missed_signal_present_not_top_t298.5,recording_000265,298.5,Open reassembled cardboard box,,Begin sealing cardboard box,/workspace/tr1/results/hal/batch2_media/media/recording_000265_missed_signal_present_not_top_t298.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000265_missed_signal_present_not_top_t298.5_contact_sheet.png,,,,,,,,
recording_000176_false_mid_segment_t90.5,recording_000176,90.5,Rinse sink strainer,Install sink strainer,Remove sink strainer,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_mid_segment_t90.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_mid_segment_t90.5_contact_sheet.png,,,,,,,,
recording_000188_false_gap_t456.0,recording_000188,456.0,Unbox and inspect first packaged portable charger,,Inspect first portable charger,/workspace/tr1/results/boundary/error_audit/media/recording_000188_false_gap_t456.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000188_false_gap_t456.0_contact_sheet.png,,,,,,,,
recording_000030_false_gap_t556.0,recording_000030,556.0,Reposition water bottle on table,,Reposition water bottle on table,/workspace/tr1/results/boundary/error_audit/media/recording_000030_false_gap_t556.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000030_false_gap_t556.0_contact_sheet.png,,,,,,,,
recording_000022_missed_weak_signal_t466.8,recording_000022,466.8,Rinse mug after scrubbing,,Place washed mug on counter,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_weak_signal_t466.8.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_weak_signal_t466.8_contact_sheet.png,,,,,,,,
recording_000385_false_near_edge_t577.5,recording_000385,577.5,Fold and press plastic wrap to seal,Cover bowl with new plastic wrap,Remove and discard plastic wrap from bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000385_false_near_edge_t577.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000385_false_near_edge_t577.5_contact_sheet.png,,,,,,,,
recording_000391_false_near_edge_t242.5,recording_000391,242.5,Fold USB cable and place on table,Uncoil USB cable,Recoil USB cable,/workspace/tr1/results/hal/batch2_media/media/recording_000391_false_near_edge_t242.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000391_false_near_edge_t242.5_contact_sheet.png,,,,,,,,
