your_call(smooth_ramp|overlapping_transition|multi_step_transition|point_like|ambiguous_interval),confidence(1_guess|2_lean|3_sure),why_one_line,event_id,clip,prev_segment_label,next_segment_label,containing_segment_label
,,,recording_000050_batch3_gt_boundary_t291.5,recording_000050_batch3_gt_boundary_t291.5.mp4,,,
,,,recording_000197_batch3_raw_change_peak_t32.0,recording_000197_batch3_raw_change_peak_t32.0.mp4,,,
,,,recording_000158_batch3_gt_boundary_t622.5,recording_000158_batch3_gt_boundary_t622.5.mp4,,,
,,,recording_000179_batch3_raw_change_peak_t324.0,recording_000179_batch3_raw_change_peak_t324.0.mp4,,,
,,,recording_000150_missed_weak_signal_t9.5,recording_000150_missed_weak_signal_t9.5.mp4,,Flip remote control to opposite side,
overlapping_transition,3_sure,右手继续稳定持卷材的同时，左手从膜面操作逐渐进入圆形容器交互，是很明确的双 interaction overlap。,recording_000438_false_mid_segment_t476.0,recording_000438_false_mid_segment_t476.0.mp4,,,Unroll plastic wrap from roll and position over bowl
multi_step_transition,2_lean,围绕同一个盒子先处理封口/边缘，再逐步转为打开盒盖，中间包含多个连续 micro-step，没有单一瞬时切换。,recording_000282_false_mid_segment_t412.5,recording_000282_false_mid_segment_t412.5.mp4,,,Pack USB drive into outer box and seal the other end
multi_step_transition,3_sure,从局部处理透明膜到压平，再逐渐转向接触并抓取圆形容器，几个阶段连续衔接，没有唯一 transition instant。,recording_000406_exact_t490.3,recording_000406_exact_t490.3.mp4,Handling plastic wrap roll,Position wrap over bowl opening,
,,,recording_000161_batch3_raw_change_peak_t599.0,recording_000161_batch3_raw_change_peak_t599.0.mp4,,,
smooth_ramp,2_lean,手始终围绕同一卷材/小部件连续调整，接触关系与姿态逐渐演化，没有明显的一次 release/recontact 或对象切换。,recording_000406_missed_weak_signal_t556.6,recording_000406_missed_weak_signal_t556.6.mp4,Pick up plastic wrap roll and locate edge,Unroll a sheet of plastic wrap,
overlapping_transition,3_sure,一侧仍维持卷材/膜面的原有交互时，另一只手已经开始转向圆形容器，新旧 interaction 在时间上明显重叠。,recording_000419_false_mid_segment_t605.5,recording_000419_false_mid_segment_t605.5.mp4,,,Apply new plastic wrap to bowl
,,,recording_000185_batch3_raw_change_peak_t407.0,recording_000185_batch3_raw_change_peak_t407.0.mp4,,,
,,,recording_000029_batch3_gt_boundary_t519.0,recording_000029_batch3_gt_boundary_t519.0.mp4,,,
point_like,3_sure,右手从持续捏持/操作小部件较集中地切换为张开手掌并开始压平透明膜，interaction mode 的改变比较紧凑。,recording_000388_false_mid_segment_t124.5,recording_000388_false_mid_segment_t124.5.mp4,,,Unroll plastic wrap from roll
,,,recording_000220_exact_t522.0,recording_000220_exact_t522.0.mp4,,Slipper inspection cycle,
