candidate_key,recording_id,candidate_time_s,temporal_event_type,true_boundary_start_s,true_boundary_end_s,timing_error_s_candidate_minus_truth,boundary_timing_judgment_at_1s,within_1s_tolerance,interaction_relation,left_segment_naming_support,right_segment_naming_support,audit_note,qc_flag
124/508.4,124,508.4,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,cycle number change does not create boundary,
124/584.1,124,584.1,no_boundary,,,,no_boundary,n/a,same_instance,partial,yes,,
124/587,124,587.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,partial,,
128/91.6,128,91.6,task_boundary,91.6,91.6,0.0,hit,yes,same_action_new_instance,yes,yes,wipe→idle→wipe,
128/147,128,147.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,continuous phone wiping,
128/154.5,128,154.5,terminal_action_end,155.0,155.0,-0.5,hit,yes,terminal_action_end,yes,no,,
128/165,128,165.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,continuous phone wiping,
128/170.5,128,170.5,terminal_action_end,170.5,170.5,0.0,hit,yes,terminal_action_end,yes,no,,
128/559,128,559.0,initial_action_start,558.0,558.0,1.0,hit,yes,initial_action_start,no,no,,
128/571.8,128,571.8,terminal_action_end,571.8,571.8,0.0,hit,yes,terminal_action_end,yes,no,corrected by user,
129/62,129,62.0,task_boundary,62.0,62.0,0.0,hit,yes,new_action,no,no,,
129/83.7,129,83.7,no_boundary,,,,no_boundary,n/a,same_instance,yes,no,,
129/92.2,129,92.2,task_boundary,92.2,92.2,0.0,hit,yes,new_action,yes,yes,insert completed then pens removed again; corrected truth time,
129/99,129,99.0,task_boundary,99.0,99.0,0.0,hit,yes,new_action,no,no,,
129/140.7,129,140.7,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
129/358.7,129,358.7,task_boundary,358.7,358.7,0.0,hit,yes,new_action,partial,yes,,
129/489.6,129,489.6,task_boundary,489.0,489.0,0.6,hit,yes,new_action,yes,no,,
130/49,130,49.0,task_boundary,52.0,52.0,-3.0,early,no,same_action_new_instance,partial,no,,
130/269,130,269.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
130/290.9,130,290.9,task_boundary,291.5,291.5,-0.6,hit,yes,same_action_new_instance,partial,no,,
130/336.4,130,336.4,task_boundary,337.0,337.0,-0.6,hit,yes,same_action_new_instance,partial,no,,
130/385.8,130,385.8,initial_action_start,385.0,385.0,0.8,hit,yes,initial_action_start,no,partial,,
130/440.5,130,440.5,task_boundary,440.0,440.0,0.5,hit,yes,same_action_new_instance,partial,no,,
132/50,132,50.0,initial_action_start,50.0,50.0,0.0,hit,yes,initial_action_start,no,yes,,
142/109,142,109.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
142/503.1,142,503.1,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,repeated tag inspect/replace without reset boundary,
142/515.7,142,515.7,task_boundary,515.7,515.7,0.0,hit,yes,same_action_new_instance,no,yes,idle→inspect tag,
143/268.7,143,268.7,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,unfold→fold same cloth continuously,
143/525.8,143,525.8,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,,
143/619,143,619.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,uncertain,,
148/263,148,263.0,task_boundary,263.0,263.0,0.0,hit,yes,same_action_new_instance,partial,yes,,
148/433,148,433.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,partial,fold→stack same tissue continuously,
148/439.2,148,439.2,task_boundary,440.0,440.0,-0.8,hit,yes,same_action_new_instance,partial,yes,previous tissue stacked then new tissue taken,
148/462.7,148,462.7,task_boundary,462.7,462.7,0.0,hit,yes,same_action_new_instance,partial,yes,corrected truth time,
148/530,148,530.0,task_boundary,528.5,528.5,1.5,late,no,same_action_new_instance,partial,partial,,
148/574.5,148,574.5,task_boundary,575.0,575.0,-0.5,hit,yes,same_action_new_instance,partial,partial,,
159/165,159,165.0,initial_action_start,165.0,165.0,0.0,hit,yes,initial_action_start,no,uncertain,,
159/242,159,242.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,no,uncertain,,
159/371,159,371.0,initial_action_start,371.0,371.0,0.0,hit,yes,initial_action_start,no,uncertain,,
159/635,159,635.0,initial_action_start,634.2,634.2,0.8,hit,yes,initial_action_start,no,uncertain,,
162/39,162,39.0,initial_action_start,37.5,37.5,1.5,late,no,initial_action_start,no,yes,,
162/84.5,162,84.5,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,remove→rinse→replace is one continuous strainer-cleaning episode,
162/195,162,195.0,initial_action_start,192.5,192.5,2.5,late,no,initial_action_start,no,partial,,
162/408,162,408.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,yes,,
162/516,162,516.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,,
162/554,162,554.0,task_boundary,554.0,554.0,0.0,hit,yes,same_action_new_instance,no,partial,corrected by user: replace→hands disengage→restart,
164/37.5,164,37.5,initial_action_start,37.5,37.5,0.0,hit,yes,initial_action_start,no,yes,corrected truth time,
164/93,164,93.0,initial_action_start,94.5,94.5,-1.5,early,no,initial_action_start,no,partial,,
164/255,164,255.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
164/385.6,164,385.6,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,,
164/618,164,618.0,no_boundary,,,,no_boundary,n/a,cannot_determine,no,partial,mostly no action; brief rinse visible,
164/664,164,664.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,no,,
166/109,166,109.0,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,,
166/137,166,137.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
166/333,166,333.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,,
171/285,171,285.0,task_boundary,288.0,288.0,-3.0,early,no,same_action_new_instance,partial,partial,,
171/337.1,171,337.1,task_boundary,338.0,338.0,-0.9,hit,yes,same_action_new_instance,no,partial,,
171/364,171,364.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,partial,partial,,
171/435.2,171,435.2,no_boundary,,,,no_boundary,n/a,terminal_action_end,no,no,replace then hands disengage; no next action,
171/492.9,171,492.9,task_boundary,492.9,492.9,0.0,hit,yes,same_action_new_instance,no,partial,corrected truth time,
171/509.4,171,509.4,task_boundary,511.4,511.4,-2.0,early,no,same_action_new_instance,partial,no,post-restart action becomes offscreen due camera shift,
171/548,171,548.0,task_boundary,548.0,548.0,0.0,hit,yes,same_action_new_instance,no,partial,,
171/579.8,171,579.8,no_boundary,,,,no_boundary,n/a,terminal_action_end,partial,no,,
194/127,194,127.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,partial,retrieve box→open lid is one continuous interaction,
194/389,194,389.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,no,inspect→repackage same cycle; next cycle has not started,
194/404.1,194,404.1,task_boundary,404.0,404.0,0.1,hit,yes,same_action_new_instance,partial,partial,close/place old box→pick up new box,
194/436,194,436.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,partial,no,,
194/607,194,607.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,open→remove→inspect same product-box episode,
198/246,198,246.0,visibility_endpoint,246.0,246.0,0.0,hit,yes,visibility_or_offscreen,yes,uncertain,camera shift hides subsequent action,
198/574,198,574.0,visibility_endpoint,574.0,574.0,0.0,hit,yes,visibility_or_offscreen,uncertain,uncertain,camera shift hides subsequent action,
199/14,199,14.0,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,,
199/85.6,199,85.6,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,rinse→replace is one continuous episode,
199/142.1,199,142.1,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,,
199/307,199,307.0,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,,
199/403,199,403.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,rinse→replace continuous,
203/34,203,34.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,,
203/54,203,54.0,task_boundary,54.8,54.8,-0.8,hit,yes,same_action_new_instance,partial,partial,,
203/78,203,78.0,initial_action_start,78.8,78.8,-0.8,hit,yes,initial_action_start,no,yes,,
203/174,203,174.0,task_boundary,174.8,174.8,-0.8,hit,yes,same_action_new_instance,no,partial,,
203/175,203,175.0,task_boundary,175.0,175.0,0.0,hit,yes,same_action_new_instance,no,partial,,
203/200.4,203,200.4,task_boundary,201.0,201.0,-0.6,hit,yes,same_action_new_instance,no,partial,,
203/570,203,570.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,,
217/224.7,217,224.7,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,rinse→seat is one continuous episode,
217/256,217,256.0,task_boundary,255.5,255.5,0.5,hit,yes,same_action_new_instance,yes,yes,replace→disengage→restart,
217/301,217,301.0,task_boundary,303.2,303.2,-2.2,early,no,same_action_new_instance,no,no,,
217/477,217,477.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,partial,,
345/2,345,2.0,initial_action_start,3.0,3.0,-1.0,hit,yes,initial_action_start,uncertain,partial,,
345/234,345,234.0,no_boundary,,,,no_boundary,n/a,same_instance,uncertain,partial,,
345/426,345,426.0,no_boundary,,,,no_boundary,n/a,same_instance,uncertain,partial,,
345/616.7,345,616.7,no_boundary,,,,no_boundary,n/a,same_instance,partial,yes,continuous brush rinsing,
442/303,442,303.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
442/364,442,364.0,visibility_endpoint,364.0,364.0,0.0,hit,yes,visibility_or_offscreen,partial,no,preceding action unavailable due camera shift; visible wrap manipulation begins,
442/468,442,468.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,user correction: one continuous plastic-wrap action,
442/529,442,529.0,no_boundary,,,,no_boundary,n/a,same_instance,no,partial,,
