your_call(new_action|same_action_new_instance|same_instance|initial_action_start|terminal_action_end|cannot_determine),confidence(1_guess|2_lean|3_sure),why_one_line,event_id,clip
same_action_new_instance,3_sure,一次下水道塞子冲洗并放回完成后，双手明显离开水槽并idle，随后重新取出塞子开始下一次同类冲洗实例。,recording_000209_batch3_gt_boundary_t257.0,recording_000209_batch3_gt_boundary_t257.0.mp4
cannot_determine,3_sure,画面中没有有效动作信息，无法确定candidate两侧的instance relation。,recording_000202_batch3_raw_change_peak_t712.0,recording_000202_batch3_raw_change_peak_t712.0.mp4
cannot_determine,3_sure,大部分时间双手不在画面中；candidate附近只能看到双手伸向拖鞋，前后动作关系无法可靠确定。,recording_000005_batch3_raw_change_peak_t30.0,recording_000005_batch3_raw_change_peak_t30.0.mp4
new_action,3_sure,先整理并把小包装放入大袋、合上袋口，随后把袋子倒转使小包装全部掉出并重新整理；task-level goal发生改变，虽连续但属于新动作。,recording_000212_batch3_gt_boundary_t502.2,recording_000212_batch3_gt_boundary_t502.2.mp4
same_action_new_instance,3_sure,一次杯子左右移动实例结束后双手释放idle，再重新抓取开始下一次同类移动实例。,recording_000030_late_t501.0,recording_000030_late_t501.0.mp4
new_action,3_sure,前面完成充电器连接，随后释放idle，再把两端拔下并缠线；从连接/插入转为拆除/整理，task-level action明确改变。,recording_000140_batch3_raw_change_peak_t574.0,recording_000140_batch3_raw_change_peak_t574.0.mp4
same_instance,2_lean,从黑袋取出纸盒、叠好并用胶带封盒底，中间没有release或idle；按当前task granularity视为同一连续纸盒处理实例。,recording_000242_missed_signal_present_not_top_t156.5,recording_000242_missed_signal_present_not_top_t156.5.mp4
cannot_determine,3_sure,画面中没有有效动作信息，无法确定candidate两侧的instance relation。,recording_000211_batch3_raw_change_peak_t36.0,recording_000211_batch3_raw_change_peak_t36.0.mp4
new_action,3_sure,从inspect充电线转为插入/连接充电线；transition可以是gradual，但instance relation仍是不同task-level action。,recording_000156_batch3_gt_boundary_t254.0,recording_000156_batch3_gt_boundary_t254.0.mp4
new_action,3_sure,把手中的保鲜膜团起并扔掉后，短暂扶手机，随后开始扯开新的保鲜膜；task-level action从丢弃旧膜转为准备新膜。,recording_000431_missed_signal_present_not_top_t178.2,recording_000431_missed_signal_present_not_top_t178.2.mp4
same_action_new_instance,3_sure,一次双手放入/取回拖鞋的实例完成后视线/交互重置，随后再次开始同样的双手放入拖鞋动作。,recording_000005_batch3_raw_change_peak_t513.0,recording_000005_batch3_raw_change_peak_t513.0.mp4
cannot_determine,2_lean,丢弃旧保鲜膜后视角移开，关键手部交互不在画面中；之后只看到手重新拿起保鲜膜杆，无法可靠确定中间relation。,recording_000438_missed_signal_present_not_top_t181.0,recording_000438_missed_signal_present_not_top_t181.0.mp4
new_action,3_sure,双手把杯子放桌面并释放进入idle，随后重新拿杯并打开水龙头冲洗；前后task-level goal不同。,recording_000020_batch3_raw_change_peak_t67.0,recording_000020_batch3_raw_change_peak_t67.0.mp4
same_action_new_instance,2_lean,取下盒底胶带、压扁纸盒并放回黑袋后，手明显撤开idle；随后再次准备取纸盒，支持一次完整纸盒处理实例结束后重新开始下一实例。,recording_000242_late_t143.5,recording_000242_late_t143.5.mp4
same_action_new_instance,3_sure,一次塞子冲洗并放回完成后双手明显离开水槽并idle，随后重新取出塞子开始同一冲洗动作。,recording_000169_batch3_gt_boundary_t350.0,recording_000169_batch3_gt_boundary_t350.0.mp4
same_instance,3_sure,接水、冲洗、倒水并把杯子放桌上构成一个连续实例，中间没有明显disengagement/reset。,recording_000037_early_t156.0,recording_000037_early_t156.0.mp4
new_action,3_sure,从擦桌子转为团纸并丢弃、再抽取新纸巾；task-level goal改变，即使动作连续没有明显disengagement。,recording_000050_batch3_raw_change_peak_t104.0,recording_000050_batch3_raw_change_peak_t104.0.mp4
new_action,2_lean,把充电线缠好后转为放入柜子收纳，并最终进入idle；从整理线缆转为收纳，按task goal判断为新动作。,recording_000145_batch3_gt_boundary_t558.0,recording_000145_batch3_gt_boundary_t558.0.mp4
same_action_new_instance,3_sure,一次塞子冲洗并放回完成后双手明显离开水槽并idle，随后重新取出塞子开始下一次同类冲洗实例。,recording_000201_batch3_raw_change_peak_t498.0,recording_000201_batch3_raw_change_peak_t498.0.mp4
