event_id,recording_id,t,containing_segment_label,prev_segment_label,next_segment_label,temporal_truth,notes,clip_path,contact_sheet_path
recording_000130_batch3_gt_boundary_t440.5,recording_000130,440.5,Unplug mains plug from wall socket,Plug device plug into power adapter,Unplug mains plug from wall socket,,,,
recording_000107_batch3_gt_boundary_t474.0,recording_000107,474.0,Fold and unfold tissue,Fold and unfold tissue,Fold and unfold tissue,,,,
recording_000203_batch3_gt_boundary_t175.0,recording_000203,175.0,Clean sink drain strainer,Clean sink drain strainer,Clean sink drain strainer,,,,
recording_000217_batch3_gt_boundary_t224.7,recording_000217,224.7,Rinse sink strainer under running water,Rinse sink strainer under running water,Seat sink strainer in drain,,,,
recording_000171_batch3_gt_boundary_t337.1,recording_000171,337.1,Clean sink strainer and adjust sink,Clean sink strainer and adjust sink,Clean sink strainer and adjust sink,,,,
recording_000059_batch3_gt_boundary_t135.5,recording_000059,135.5,Twist bottle cap,Twist bottle cap,Twist bottle cap,,,,
recording_000076_batch3_gt_boundary_t341.0,recording_000076,341.0,Fold and discard a wet wipe,Fold and discard a wet wipe,Fold and discard a wet wipe,,,,
recording_000164_batch3_gt_boundary_t93.0,recording_000164,93.0,Clean and reinstall sink drain strainer,Wash sink drain strainer,Clean and reinstall sink drain strainer,,,,
recording_000062_batch3_gt_boundary_t463.5,recording_000062,463.5,Prepare and fold a new tissue sheet,Prepare and fold a new tissue sheet,Fold new tissue (starts here),,,,
recording_000059_batch3_gt_boundary_t514.0,recording_000059,514.0,Wipe table with second paper tissue,Wipe table with second paper tissue,Reposition tissue box and clean underneath,,,,
recording_000045_batch3_gt_boundary_t61.4,recording_000045,61.4,Fold a facial tissue into compact shape,Fold a facial tissue into compact shape,Extract a tissue from the pack,,,,
recording_000014_batch3_gt_boundary_t237.0,recording_000014,237.0,Coil white USB cable,Coil white USB cable,Uncoil white USB cable,,,,
recording_000034_batch3_gt_boundary_t54.0,recording_000034,54.0,Coil USB cable,Coil USB cable,Uncoil USB cable,,,,
recording_000106_batch3_gt_boundary_t558.4,recording_000106,558.4,Fold top edge of flat sheet and press flat,Fold top edge of flat sheet and press flat,Fold top edge of flat sheet and press flat,,,,
recording_000164_batch3_gt_boundary_t385.6,recording_000164,385.6,Remove sink strainer,Remove sink strainer,Rinse sink strainer,,,,
recording_000129_batch3_gt_boundary_t489.6,recording_000129,489.6,Remove batch of pens from red holder,Remove batch of pens from red holder,Insert batch of pens into red holder,,,,
recording_000060_batch3_gt_boundary_t602.0,recording_000060,602.0,Retrieve new tissue from pack,Retrieve new tissue from pack,fold and press step 1,,,,
recording_000128_batch3_gt_boundary_t91.6,recording_000128,91.6,Wipe smartphone screen,Wipe smartphone screen,Wipe smartphone screen,,,,
recording_000039_batch3_gt_boundary_t271.5,recording_000039,271.5,Scrub bowl with sponge (second pass),Scrub bowl with sponge (second pass),Rinse bowl under running water,,,,
recording_000171_batch3_gt_boundary_t492.9,recording_000171,492.9,Manipulate sink edges,Manipulate sink edges,Rinse and replace sink drain strainer,,,,
recording_000106_batch3_gt_boundary_t587.4,recording_000106,587.4,Fold top edge of flat sheet and press flat,Fold top edge of flat sheet and press flat,Fold top edge of flat sheet and press flat,,,,
recording_000012_batch3_gt_boundary_t170.5,recording_000012,170.5,Coil USB cable,Uncoil USB cable,Coil USB cable,,,,
recording_000124_batch3_gt_boundary_t66.0,recording_000124,66.0,Notebook browse cycle 1,Notebook browse cycle 1,Notebook browse cycle 2,,,,
recording_000036_batch3_gt_boundary_t441.6,recording_000036,441.6,Inspect bowl and hands,Inspect bowl and hands,Second bowl rinse,,,,
recording_000041_batch3_gt_boundary_t250.6,recording_000041,250.6,2nd tissue fold and press flat,Retrieve a new tissue from the package,2nd tissue fold and press flat,,,,
recording_000038_batch3_gt_boundary_t244.0,recording_000038,244.0,Initial cup rinse,Rinse and drain bowl,Initial cup rinse,,,,
recording_000016_batch3_gt_boundary_t272.0,recording_000016,272.0,"Fold fabric section, align and press","Fold fabric section, align and press",Unfold umbrella,,,,
recording_000124_batch3_gt_boundary_t584.1,recording_000124,584.1,Notebook open-close cycle with page flipping,Notebook open-close cycle with page flipping,Notebook open-close cycle,,,,
recording_000090_batch3_gt_boundary_t518.0,recording_000090,518.0,Opening a tissue pack,Opening a tissue pack,open sealed item pack and access contents,,,,
recording_000111_batch3_gt_boundary_t172.0,recording_000111,172.0,Wipe back rim of sink basin,Wipe back rim of sink basin,Wet countertop with faucet water,,,,
recording_000115_batch3_gt_boundary_t490.9,recording_000115,490.9,Adjust squeegee,Adjust squeegee,Wipe back counter behind sink with squeegee,,,,
recording_000194_batch3_gt_boundary_t404.1,recording_000194,404.1,"Unbox, inspect, and repackage power bank (start of cycle)","Unbox, inspect, and repackage power bank","Unbox, inspect, and repackage power bank (start of cycle)",,,,
recording_000129_batch3_gt_boundary_t140.7,recording_000129,140.7,Organizing pens in pen holder,Organizing pens in pen holder,Organizing pens in pen holder,,,,
recording_000162_batch3_gt_boundary_t84.5,recording_000162,84.5,Clean sink drain strainer,Clean sink drain strainer,Clean sink drain strainer,,,,
recording_000128_batch3_gt_boundary_t147.0,recording_000128,147.0,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen with cleaning cloth,,,,
recording_000129_batch3_gt_boundary_t92.2,recording_000129,92.2,Insert batch of pens into red pen holder,Insert batch of pens into red pen holder,Remove batch of pens from red pen holder to table,,,,
recording_000128_batch3_gt_boundary_t571.8,recording_000128,571.8,Wipe mobile phone screen with cleaning cloth,Wipe mobile phone screen with cleaning cloth,Inspect mobile phone screen cleanliness,,,,
recording_000045_batch3_gt_boundary_t125.5,recording_000045,125.5,Fold and crease tissue (8th iteration),Fold and crease tissue (8th iteration),Repeatedly fold and press a tissue,,,,
recording_000194_batch3_gt_boundary_t607.0,recording_000194,607.0,Open product box,Open product box,Inspect portable power bank,,,,
recording_000128_batch3_gt_boundary_t154.5,recording_000128,154.5,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen with cleaning cloth,,,,
recording_000070_batch3_gt_boundary_t29.0,recording_000070,29.0,Fold tissue paper in half and press flat,Fold tissue paper in half and press flat,Fold tissue paper in half and press flat,,,,
recording_000199_batch3_gt_boundary_t403.0,recording_000199,403.0,Rinse sink drain strainer,Rinse sink drain strainer,Replace sink drain strainer,,,,
recording_000036_batch3_gt_boundary_t152.9,recording_000036,152.9,Rinse white bowl under running water,Rinse white bowl under running water,Rinse white bowl under running water (second pass),,,,
recording_000014_batch3_gt_boundary_t3.0,recording_000014,3.0,Coil USB cable,,Coil USB cable,,,,
recording_000021_batch3_gt_boundary_t591.2,recording_000021,591.2,Inspect and place mug on counter,Inspect and place mug on counter,Wash a white mug,,,,
recording_000051_batch3_gt_boundary_t603.2,recording_000051,603.2,Fold and discard tissue paper,Tissue folding (completed),Fold and discard tissue paper,,,,
recording_000039_batch3_gt_boundary_t290.5,recording_000039,290.5,Rinse bowl under running water,Rinse bowl under running water,Rinse bowl under running water,,,,
recording_000093_batch3_gt_boundary_t573.0,recording_000093,573.0,Horizontal tissue fold 2,Horizontal tissue fold 2,Vertical tissue fold 3,,,,
recording_000171_batch3_gt_boundary_t509.4,recording_000171,509.4,Rinse and replace sink drain strainer,Rinse and replace sink drain strainer,Manipulate sink edges,,,,
recording_000095_batch3_gt_boundary_t13.5,recording_000095,13.5,Adjusting shirt sleeve and upper garment,Adjusting shirt sleeve and upper garment,,,,,
recording_000166_batch3_gt_boundary_t109.0,recording_000166,109.0,Remove sink drain strainer,Remove sink drain strainer,Rinse sink drain strainer under running water,,,,
recording_000036_batch3_gt_boundary_t56.0,recording_000036,56.0,Rinse cup again under running water,Rinse cup under running water,Rinse cup again under running water,,,,
recording_000199_batch3_gt_boundary_t14.0,recording_000199,14.0,Remove sink drain strainer,Remove sink drain strainer,Rinse and clean sink strainer under running water,,,,
recording_000203_batch3_gt_boundary_t174.0,recording_000203,174.0,Clean sink drain strainer,Clean sink drain strainer,Clean sink drain strainer,,,,
recording_000442_batch3_gt_boundary_t468.0,recording_000442,468.0,Seal plastic wrap around bowl sides,Seal plastic wrap around bowl sides,Adjust excess plastic wrap,,,,
recording_000130_batch3_gt_boundary_t385.8,recording_000130,385.8,Unplug cable from wall socket,Unplug cable from wall socket,Unplug cable from power adapter,,,,
recording_000130_batch3_gt_boundary_t49.0,recording_000130,49.0,Retrieve and connect power cable,Retrieve and connect power cable,Stow power cable in drawer,,,,
recording_000014_batch3_gt_boundary_t427.0,recording_000014,427.0,Uncoil white cable,Second cable coiling,Uncoil white cable,,,,
recording_000004_batch3_gt_boundary_t449.3,recording_000004,449.3,Pour paper tags from trash basket to dustpan,Pour paper tags from trash basket to dustpan,Pour paper tags from dustpan to trash basket,,,,
recording_000038_batch3_gt_boundary_t301.0,recording_000038,301.0,Wet the bowl under running water,Final cup rinse,Wet the bowl under running water,,,,
recording_000142_batch3_gt_boundary_t503.1,recording_000142,503.1,Inspect and arrange metal luggage tag,Inspect and arrange metal luggage tag,Inspect and arrange metal luggage tag,,,,
recording_000199_batch3_gt_boundary_t142.1,recording_000199,142.1,Seat sink drain strainer into drain,Seat sink drain strainer into drain,Rinse sink drain strainer,,,,
recording_000199_batch3_gt_boundary_t85.6,recording_000199,85.6,Rinse sink strainer,Rinse sink strainer,Reinstall sink strainer,,,,
recording_000148_batch3_gt_boundary_t462.7,recording_000148,462.7,Fold and press a paper sheet,Fold and press a paper sheet,Fold and press a paper sheet,,,,
recording_000171_batch3_gt_boundary_t579.8,recording_000171,579.8,Rinse and replace drain strainer,Rinse and replace drain strainer,Reposition sink basin,,,,
recording_000129_batch3_gt_boundary_t358.7,recording_000129,358.7,Transfer pens from red container to table and arrange,Transfer pens from red container to table and arrange,Transfer pens from table to red container,,,,
recording_000085_batch3_gt_boundary_t509.9,recording_000085,509.9,Fold tissue paper,Fold tissue paper,Fold tissue paper,,,,
recording_000194_batch3_gt_boundary_t127.0,recording_000194,127.0,Retrieve and position product box,Retrieve and position product box,Open product box and remove portable charger,,,,
recording_000148_batch3_gt_boundary_t574.5,recording_000148,574.5,Fold paper sheet and stack,Fold paper sheet and stack,Fold paper sheet and stack,,,,
recording_000130_batch3_gt_boundary_t290.9,recording_000130,290.9,Unplug and coil power cable for storage,"Retrieve, uncoil, and plug in power cable",Unplug and coil power cable for storage,,,,
recording_000085_batch3_gt_boundary_t330.5,recording_000085,330.5,Fold a tissue paper,Fold a tissue paper,folding tissue paper,,,,
recording_000171_batch3_gt_boundary_t435.2,recording_000171,435.2,Rinse sink drain strainer,Rinse sink drain strainer,Rinse sink drain strainer,,,,
recording_000012_batch3_gt_boundary_t53.5,recording_000012,53.5,Uncoil white data cable,Uncoil white data cable,Coil white data cable,,,,
recording_000038_batch3_gt_boundary_t481.5,recording_000038,481.5,Scrub bowl with sponge,Rinse bowl under running water,Scrub bowl with sponge,,,,
recording_000082_batch3_gt_boundary_t64.9,recording_000082,64.9,Fold tissues from left tissue pack,Fold tissues from left tissue pack,Flat sheet manipulation,,,,
recording_000106_batch3_gt_boundary_t280.0,recording_000106,280.0,Vertical paper fold (left to right),Vertical paper fold (left to right),Horizontal paper fold (top to bottom),,,,
recording_000010_batch3_gt_boundary_t77.0,recording_000010,77.0,Complete vertical whiteboard wipe cycle,Complete vertical whiteboard wipe cycle,Complete vertical whiteboard wipe cycle,,,,
recording_000115_batch3_raw_change_peak_t321.0,recording_000115,321.0,Cleaning the backsplash behind the sink,Cleaning the sink front rim,Cleaning the left counter and sink edge,,,,
recording_000442_batch3_raw_change_peak_t364.0,recording_000442,364.0,,Tear plastic wrap and seal the bowl opening,Peeling and unrolling plastic wrap from roll,,,,
recording_000032_batch3_raw_change_peak_t190.0,recording_000032,190.0,Final tightening and neatening of folded umbrella,Fasten the umbrella securing strap,Unfold umbrella and lay canopy flat,,,,
recording_000059_batch3_raw_change_peak_t228.0,recording_000059,228.0,,Wipe table surface,Pour from bottle to bowl,,,,
recording_000442_batch3_raw_change_peak_t303.0,recording_000442,303.0,Seal bowl with plastic wrap,Remove and discard plastic wrap from bowl,Place and press plastic wrap onto the bowl,,,,
recording_000166_batch3_raw_change_peak_t632.0,recording_000166,632.0,First rinse of drain strainer,Remove sink drain strainer,Scrub debris from drain strainer,,,,
recording_000203_batch3_raw_change_peak_t570.0,recording_000203,570.0,Clean and reinstall sink drain strainer,Clean sink drain strainer,Clean and reinstall sink drain strainer,,,,
recording_000084_batch3_raw_change_peak_t157.0,recording_000084,157.0,Folding a tissue sheet extracted from a small pack,Fold and press a small flat item,Arranging tissue packs on table,,,,
recording_000198_batch3_raw_change_peak_t246.0,recording_000198,246.0,,Rinse sink strainer,Rinse sink strainer,,,,
recording_000045_batch3_raw_change_peak_t434.0,recording_000045,434.0,Fold tissue (starts here),Fold tissue sheet (starts in window),Fold one tissue sheet (complete cycle),,,,
recording_000041_batch3_raw_change_peak_t291.0,recording_000041,291.0,7th tissue fold and press flat,6th tissue fold and press flat,8th tissue fold (in progress),,,,
recording_000052_batch3_raw_change_peak_t536.0,recording_000052,536.0,Final sheet folding,Intermediate sheet folding,Retrieve tissue from pack,,,,
recording_000045_batch3_raw_change_peak_t12.0,recording_000045,12.0,Fold a facial tissue into compact shape,,Extract a tissue from the pack,,,,
recording_000115_batch3_raw_change_peak_t459.0,recording_000115,459.0,Adjust squeegee,Squeegee wipe countertop pass 3,Squeegee wipe countertop pass 4,,,,
recording_000171_batch3_raw_change_peak_t548.0,recording_000171,548.0,Reposition sink basin,Rinse and replace sink drain strainer,Rinse and replace drain strainer,,,,
recording_000129_batch3_raw_change_peak_t62.0,recording_000129,62.0,Organizing pens in red pen holder,Interacting with mobile phone front camera,Remove batch of pens from red pen holder to table,,,,
recording_000107_batch3_raw_change_peak_t291.0,recording_000107,291.0,Fold second paper sheet (in progress),Fold a flat mask into compact shape,Fold a new paper napkin,,,,
recording_000162_batch3_raw_change_peak_t554.0,recording_000162,554.0,Rinse and replace sink drain strainer,Clean sink strainer cycle (starts here),Rinse and replace sink drain strainer,,,,
recording_000132_batch3_raw_change_peak_t50.0,recording_000132,50.0,Uncoil and arrange power cable,Retrieve coiled power cable from box,Plug power cable into wall socket,,,,
recording_000217_batch3_raw_change_peak_t256.0,recording_000217,256.0,Remove strainer from sink drain,Place strainer into sink drain,Rinse sink strainer,,,,
recording_000093_batch3_raw_change_peak_t602.0,recording_000093,602.0,Horizontal tissue fold 4,Vertical tissue fold 4,Second tissue folding attempt,,,,
recording_000012_batch3_raw_change_peak_t381.0,recording_000012,381.0,Coil second USB cable into neat bundled coil,Coil second USB cable into neat bundled coil,Uncoil cable and spread through table hole,,,,
recording_000060_batch3_raw_change_peak_t570.0,recording_000060,570.0,Fold second paper sheet,Take new paper sheet from pack,Crumble and discard folded tissue,,,,
recording_000070_batch3_raw_change_peak_t78.0,recording_000070,78.0,Tissue paper folding,Fold tissue paper in half and press flat,Tissue paper folding,,,,
recording_000129_batch3_raw_change_peak_t99.0,recording_000129,99.0,Insert batch of pens into red pen holder,Remove batch of pens from red pen holder to table,Remove batch of pens from red pen holder to table,,,,
recording_000171_batch3_raw_change_peak_t364.0,recording_000171,364.0,,Clean sink strainer and adjust sink,Rinse and replace sink drain strainer,,,,
recording_000194_batch3_raw_change_peak_t389.0,recording_000194,389.0,"Unbox, inspect, and repackage power bank","Unbox, inspect, and repackage power bank (end of cycle)","Unbox, inspect, and repackage power bank (start of cycle)",,,,
recording_000164_batch3_raw_change_peak_t255.0,recording_000164,255.0,Rinse sink strainer under running water,Seat sink strainer into drain,Seat sink strainer into drain,,,,
recording_000070_batch3_raw_change_peak_t16.0,recording_000070,16.0,Fold tissue paper in half and press flat,Fold tissue paper in half and press flat,Fold tissue paper in half and press flat,,,,
recording_000171_batch3_raw_change_peak_t285.0,recording_000171,285.0,Rinse and replace sink drain strainer,Rinse and replace sink drain strainer,Rinse and replace sink drain strainer,,,,
recording_000168_batch3_raw_change_peak_t47.0,recording_000168,47.0,Rinse and reset sink drain strainer,Rinse and reset sink drain strainer,Rinse and reset sink drain strainer,,,,
recording_000159_batch3_raw_change_peak_t165.0,recording_000159,165.0,,"Vapor puff cycle (exhalation, dissipation, and preparation)",,,,,
recording_000345_batch3_raw_change_peak_t426.0,recording_000345,426.0,,,Cleaning brush handle end under running water,,,,
recording_000076_batch3_raw_change_peak_t472.0,recording_000076,472.0,Fold a new paper tissue,Fold a tissue sheet,Fold and discard a tissue sheet,,,,
recording_000166_batch3_raw_change_peak_t137.0,recording_000166,137.0,Rinse sink drain strainer,Remove sink drain strainer,Reinstall sink drain strainer,,,,
recording_000198_batch3_raw_change_peak_t574.0,recording_000198,574.0,Clean and place sink strainer,Rinse sink strainer under running water,Clean sink strainer under running water,,,,
recording_000345_batch3_raw_change_peak_t2.0,recording_000345,2.0,,,Cleaning brush handle end under running water,,,,
recording_000010_batch3_raw_change_peak_t420.0,recording_000010,420.0,,Round-trip work cycle 9 along white surface,Positioning mop against the wall near curtains,,,,
recording_000021_batch3_raw_change_peak_t103.0,recording_000021,103.0,Scrub mug without running water,Begin additional rinsing of mug,Rinse mug under running water,,,,
recording_000093_batch3_raw_change_peak_t474.0,recording_000093,474.0,Wipe hands with a crumpled tissue,Wipe hands with a crumpled tissue,Discard used tissue in trash can,,,,
recording_000113_batch3_raw_change_peak_t29.0,recording_000113,29.0,Assemble head-mounted display and stow in box,,,,,,
recording_000148_batch3_raw_change_peak_t530.0,recording_000148,530.0,Fold and press a tissue sheet,Fold and press a tissue sheet,Fold paper sheet and stack,,,,
recording_000070_batch3_raw_change_peak_t185.0,recording_000070,185.0,Fold a tissue sheet,Fold a paper tissue,Fold a tissue sheet,,,,
recording_000093_batch3_raw_change_peak_t404.0,recording_000093,404.0,Fold and discard a tissue paper,Folding a tissue paper repeatedly,Wipe hands with a crumpled tissue,,,,
recording_000038_batch3_raw_change_peak_t534.0,recording_000038,534.0,Rinse bowl under running water (second pass),Rinse bowl under running water,Scrub bowl with sponge (second pass),,,,
recording_000168_batch3_raw_change_peak_t333.0,recording_000168,333.0,"Sink strainer remove, rinse & seat","Sink strainer remove, rinse & seat","Sink strainer remove, rinse & seat",,,,
recording_000036_batch3_raw_change_peak_t52.0,recording_000036,52.0,Rinse cup under running water,Scrub cup with sponge,Rinse cup again under running water,,,,
recording_000021_batch3_raw_change_peak_t391.0,recording_000021,391.0,Scrub and rinse mug under running water,Rinse and drain mug,Scrub mug interior without running water,,,,
recording_000085_batch3_raw_change_peak_t98.0,recording_000085,98.0,,Retrieve second tissue from pack,Retrieve a new tissue for folding,,,,
recording_000018_batch3_raw_change_peak_t489.0,recording_000018,489.0,Uncoil and recoil USB cable neatly,Coil white cable into neat bundle,Uncoil and recoil USB cable through table hole,,,,
recording_000166_batch3_raw_change_peak_t338.0,recording_000166,338.0,Scrub and rinse strainer,Test fit strainer in drain,Reinstall sink strainer,,,,
recording_000018_batch3_raw_change_peak_t66.0,recording_000018,66.0,Coil white cable into a neat bundle,Uncoil bundled cable into loose state,Uncoil white cable and lay on table,,,,
recording_000148_batch3_raw_change_peak_t433.0,recording_000148,433.0,Fold and press a paper sheet,Fold fifth tissue (in progress),Fold and press a paper sheet,,,,
recording_000047_batch3_raw_change_peak_t64.0,recording_000047,64.0,Wipe table with second disposable tissue,Wipe table with first disposable tissue,Replace used tissue with new tissue,,,,
recording_000039_batch3_raw_change_peak_t511.0,recording_000039,511.0,Rinse bowl under running water (first pass),Scrub bowl with soapy sponge (first pass),Rinse bowl under running water (second pass),,,,
recording_000060_batch3_raw_change_peak_t253.0,recording_000060,253.0,Fold tissue sheet,Retrieve a tissue from the tissue pack,Crumple and discard a tissue sheet,,,,
recording_000345_batch3_raw_change_peak_t234.0,recording_000345,234.0,,,Cleaning brush handle end under running water,,,,
recording_000060_batch3_raw_change_peak_t87.0,recording_000060,87.0,Wipe table with second tissue,Wipe table with first tissue,Fold second tissue sheet,,,,
recording_000032_batch3_raw_change_peak_t135.0,recording_000032,135.0,Fold umbrella,Unfold umbrella,Fasten the umbrella securing strap,,,,
recording_000115_batch3_raw_change_peak_t650.0,recording_000115,650.0,Cleaning countertop with squeegee,Wash and rinse hands under running water,,,,,
recording_000107_batch3_raw_change_peak_t94.0,recording_000107,94.0,fold tissue edge and crease,fold tissue edge and crease,fold tissue edge and crease,,,,
recording_000051_batch3_raw_change_peak_t157.0,recording_000051,157.0,Fold and press tissue,Retrieve tissue from pack,Deposit folded tissue in bin,,,,
recording_000090_batch3_raw_change_peak_t577.0,recording_000090,577.0,open sealed item pack and access contents,Opening a tissue pack,,,,,
recording_000164_batch3_raw_change_peak_t618.0,recording_000164,618.0,,Faucet manipulation,Rinse and replace sink strainer,,,,
recording_000094_batch3_raw_change_peak_t271.0,recording_000094,271.0,Wipe table with first tissue,Manipulating small object on table,Clean surface with tissue,,,,
recording_000094_batch3_raw_change_peak_t223.0,recording_000094,223.0,,Manipulating small object on table,Wipe table with first tissue,,,,
recording_000164_batch3_raw_change_peak_t664.0,recording_000164,664.0,Rinse and replace sink strainer,Rinse and replace sink strainer,Reinstall sink strainer into drain,,,,
recording_000123_batch3_raw_change_peak_t30.0,recording_000123,30.0,,External box interaction cycle,,,,,
