audit_key,recording_id,candidate_time,timing_type,human_boundary_points_json,human_boundary_intervals_json,canonical_times_json,nearest_canonical_time,gradual,timing_note
35/t132,recording_000035,132.0,interval,[],"[[132.0, 134.3]]",[133.15],133.15,False,水瓶从右移到左、手离开idle、再从左移到右。
35/t351,recording_000035,351.0,multiple_mixed,[346.5],"[[349.5, 350.5], [353.8, 354.9]]","[346.5, 350.0, 354.35]",350.0,False,水瓶左右移动循环；修正后第一次346.5s，第二次349.5–350.5s，第三次353.8–354.9s。
48/t96,recording_000048,96.0,point,[95.5],[],[95.5],95.5,False,丢弃旧纸巾后抽新纸巾、折好并开始大幅擦桌；动作序列约91.9s开始，task切换约95.5s。
49/t94.5,recording_000049,94.5,point,[94.5],[],[94.5],94.5,False,擦桌→丢旧纸巾→抽取并折叠新纸巾→继续擦桌。
49/t325,recording_000049,325.0,interval,[],"[[324.0, 325.0]]",[324.5],324.5,False,擦桌→丢旧纸巾→抽取并折叠新纸巾→继续擦桌。
50/t291.5,recording_000050,291.5,point,[287.0],[],[287.0],287.0,False,擦桌→团纸巾并丢弃→抽新纸巾并折叠；最终修正确认切换为287s。
50/t104,recording_000050,104.0,interval,[],"[[106.0, 108.0]]",[107.0],107.0,False,擦桌→团纸巾并丢弃→抽新纸巾并折叠；采用最终确认的106–108s，忽略此前误粘贴的385–387s。
58/t585,recording_000058,585.0,interval,[],"[[578.0, 580.0]]",[579.0],579.0,False,擦桌→团纸巾并丢弃→抽新纸巾并折叠→继续擦桌。
67/t440.5,recording_000067,440.5,interval,[],"[[439.0, 441.0]]",[440.0],440.0,False,擦桌→团纸巾并丢弃→抽新纸巾并折叠→继续擦桌。
104/t392,recording_000104,392.0,point,[392.0],[],[392.0],392.0,False,连续小幅擦桌，中间手离开idle，再重新接触纸巾继续擦。
135/t559,recording_000135,559.0,point,[560.6],[],[560.6],560.6,False,打开/整理数据线后转为把插头插入墙上插座。
137/t299,recording_000137,299.0,interval,[],"[[298.0, 299.0]]",[298.5],298.5,False,把数据线打开，手离开idle，之后开始把充电线缠好。
140/t574,recording_000140,574.0,point,[572.0],[],[572.0],572.0,False,数据线两端连接完成并idle，之后拔下两端开始缠线。
145/t558,recording_000145,558.0,interval,[],"[[562.1, 567.5]]",[564.8],564.8,False,双手把充电线盘好放柜子里、idle，之后从柜子里重新取出。
152/t9.5,recording_000152,9.5,multiple_points,"[7.5, 12.0]",[],"[7.5, 12.0]",7.5,False,手离开，前后翻动遥控器，再次手离开；两次切换7.5s和12s。
156/t254,recording_000156,254.0,gradual_interval,[],"[[254.0, 258.0]]",[256.0],256.0,True,inspect数据线逐渐转为插入adapter；无唯一瞬时点。
157/t632,recording_000157,632.0,point,[632.0],[],[632.0],632.0,False,inspect手机并放桌上，之后转为看手表。
169/t350,recording_000169,350.0,interval,[],"[[350.0, 353.0]]",[351.5],351.5,False,下水道塞子冲洗并放回，双手明显离开/idle，再重新拿出冲洗。
170/t634,recording_000170,634.0,multiple_mixed,[639.0],"[[632.8, 634.0]]","[633.4, 639.0]",633.4,False,下水道塞子冲洗/放回/离开后再开始下一轮；第一次632.8–634s，第二次639s。
170/t659.4,recording_000170,659.4,multiple_mixed,[665.0],"[[656.4, 659.0]]","[657.7, 665.0]",657.7,False,下水道塞子冲洗/放回/离开后再开始下一轮；第一次656.4–659s，第二次665s。
179/t324,recording_000179,324.0,point,[324.0],[],[324.0],324.0,False,下水道塞子冲洗并放回，之后手明显离开，再开始下一轮冲洗。
180/t392.5,recording_000180,392.5,point,[391.0],[],[391.0],391.0,False,下水道塞子冲洗并放回，手明显离开后，再开始下一轮冲洗。
197/t32,recording_000197,32.0,gradual_interval,[],"[[31.0, 33.4]]",[32.2],32.2,True,inspect充电宝逐渐转为把充电宝放回盒子；无唯一瞬时点。
201/t132.1,recording_000201,132.1,interval,[],"[[129.7, 131.7]]",[130.7],130.7,False,放回下水道塞子、明显离开，之后重新拿出到水龙头下冲洗。
201/t498,recording_000201,498.0,interval,[],"[[498.0, 500.0]]",[499.0],499.0,False,下水道塞子冲洗并放回，明显离开，之后重新拿出。
209/t257,recording_000209,257.0,interval,[],"[[255.0, 258.0]]",[256.5],256.5,False,下水道塞子冲洗并放回，明显离开，之后重新拿出并开始下一轮冲洗。
212/t502.2,recording_000212,502.2,gradual_interval,[],"[[501.8, 504.0]]",[502.9],502.9,True,整理小包装→放入大袋并盖口→倒转袋子使包装掉出→再次整理；过渡为gradual。
218/t123.1,recording_000218,123.1,point,[123.0],[],[123.0],123.0,False,双手各拿一只拖鞋放入桌柜桶、再取回，之后重新放入。
218/t366.6,recording_000218,366.6,point,[365.5],[],[365.5],365.5,False,双手各拿一只拖鞋放入桌柜桶、再取回，之后重新放入。
