event_id,recording_id,subtype,evidence,notes
recording_000102_early_t164.0,recording_000102,direction_reversal,while making large back-and-forth wiping motions. No,"The video shows one continuous action: both hands press the tissue against the table while making large back-and-forth wiping motions. No semantic transition is visible around 164 s. The score curve forms separate peaks around successive phases or direction changes of the repetitive motion, causing false boundary predictions. The annotation label ""Fold and crease sheet edge"" is also inconsistent with the observed action."
recording_000102_duplicate_t471.5,recording_000102,periodic_repetition,king repeated small circular motions. No semantic actio,"The video shows one continuous action: both hands press the tissue against the table while making repeated small circular motions. No semantic action transition is visible around 471 s. The score curve produces several shallow local peaks throughout the repetitive motion, leading to repeated boundary predictions. This indicates motion–semantic confusion caused by periodic movement rather than a duplicate response to a real boundary. The annotation label ""fold and unfold tissue"" is also inconsistent with the observed action."
recording_000471_missed_weak_signal_t485.4,recording_000471,spatial_phase_shift,"th, moving from the lid and top cap toward the upper body with","The clip shows one continuous kettle-wiping action under the current action-goal-level granularity. The person continuously wipes the same kettle with the same cloth, moving from the lid and top cap toward the upper body without an idle interval, disengagement, object switch, restart, or change in the overall cleaning goal. The GT at 485.4 s therefore separates two spatial phases of the same wiping cycle rather than two independent actions. Both labels—'Wipe kettle lid and top cap' and 'Wipe upper kettle body'—are locally descriptive, but the annotated split is too fine and should be merged under a unified action such as 'Wipe kettle exterior.' Because no action-level boundary exists here, the lack of a decoded prediction should not be counted as a model detection failure."
recording_000438_false_mid_segment_t53.0,recording_000438,regrasp_reposition,"on change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is","The clip shows one continuous plastic-wrap sealing action. Both hands remain engaged with the same bowl and the same sheet of plastic wrap, repeatedly pressing, smoothing, and securing the film around the bowl. Around the prediction at 53.0 s, only the local pressing position and finger configuration change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. The containing label 'Press and seal plastic wrap on the bowl' is visually supported. The listed GT at 46.0 s lies outside the visible clip and cannot be temporally assessed here."
recording_000419_false_mid_segment_t286.5,recording_000419,other,The hands approach and stabilize the bowl at approximately 2,"The hands approach and stabilize the bowl at approximately 283.5–283.8 s. The left hand then grasps the plastic wrap at the bowl rim and begins peeling it away at approximately 283.8–284.3 s; the separation becomes visually unmistakable around 284.5–285.0 s. The GT at 284.1 s is therefore a reasonable onset-based boundary, although a stricter visible-separation criterion would place it slightly later, around 284.7–285.0 s. The prediction at 286.5 s occurs during the continuous removal of the same plastic wrap and does not mark a new action-level transition. The label ""Removing plastic wrap from a bowl"" is visually supported."
recording_000385_false_mid_segment_t412.5,recording_000385,regrasp_reposition,tion is therefore a repetitive-motion response within the ongoing action rather than an acti,"The clip shows one continuous sealing action in which both hands repeatedly fold, press, and secure plastic wrap around the rim of the same bowl. There is no visible idle interval, object switch, new action goal, or cycle restart around the prediction at 412.5 s. The prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. The label ""Inspect and adjust covered bowl"" is not supported as a distinct action. ""Secure wrap around bowl rim"" and ""Fold and press plastic wrap to seal"" describe compatible phases of the same continuous action and should be merged under a label such as ""Fold, press, and secure plastic wrap around the bowl rim."""
recording_000438_false_mid_segment_t575.0,recording_000438,regrasp_reposition,"on change; there is no idle interval, disengagement, object switch, restart, or change in action goal. The prediction is","The clip shows one continuous plastic-wrap preparation and covering action. The person remains engaged with the same roll and sheet, continuously pulling, extending, and repositioning the film near the same bowl. Around the prediction at 575.0 s, only the grasp and local pulling position change; there is no idle interval, disengagement, object switch, restart, or change in action goal. The prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. The 'Unroll' portion of the containing label 'Unroll and cut plastic wrap' is clearly supported, but a distinct cutting or tearing event is not clearly visible in this local clip, so the label is only weakly supported here. The listed GT at 587.0 s lies outside the visible interval."
recording_000422_false_mid_segment_t561.0,recording_000422,regrasp_reposition,a brief opening and repositioning of the fingers before they continu,"The clip shows one continuous bowl-and-plastic-wrap adjustment action. Both hands remain engaged with the same bowl and the same sheet of plastic wrap, continuously aligning, repositioning, and smoothing the wrap. Around the prediction at 381.0 s, the most salient visual change is a brief opening and repositioning of the fingers before they continue the same manipulation. There is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction was therefore likely triggered by local finger motion within the ongoing action rather than by an action-level boundary. The containing label ""Adjusting bowl and plastic wrap position"" is visually supported. The listed GT at 390.8 s lies outside the visible clip and cannot be temporally assessed here."
recording_000431_false_mid_segment_t470.5,recording_000431,regrasp_reposition,"ns change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction was","The clip shows one continuous plastic-wrap sealing action. Both hands remain engaged with the same bowl and the same sheet of plastic wrap, continuously pulling, tucking, and pressing the wrap around the bowl rim. Around the prediction at 470.5 s, only the grasping and pressing locations change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction was therefore triggered by local hand and wrap motion within the ongoing action rather than by an action-level boundary. The containing label ""Tuck and seal wrap around bowl"" is visually supported. ""Position bowl and cover with wrap"" and ""Wrap a bowl with new plastic wrap"" describe overlapping phases of the same overall wrapping cycle and may reflect overly fine segmentation rather than separate actions."
recording_000406_false_mid_segment_t595.5,recording_000406,regrasp_reposition,"on change; there is no idle interval, object switch, restart, or change in the overall action goal. The prediction is","The clip shows one continuous plastic-wrap sealing action. Both hands continuously pull, fold, press, and secure the same sheet of plastic wrap around the rim of the same bowl. Around the prediction at 595.5 s, only the hand positions and local pressing or tucking motion change; there is no idle interval, object switch, restart, or change in the overall action goal. The prediction is therefore a motion-semantic response to an internal subaction within the ongoing sealing cycle rather than an action-level boundary. The containing label ""Seal plastic wrap around bowl rim"" is visually supported. The later action ""Crumple and discard used plastic wrap"" is not visible in this clip, and the listed GT at 617.0 s lies outside the visible interval and cannot be temporally assessed here."
recording_000438_false_mid_segment_t224.0,recording_000438,spatial_phase_shift,"0 s, the hands only shift to a different part of the rim and cont","The clip shows one continuous action of securing plastic wrap around the bowl. Both hands continuously pull, press, and tuck the same film around the same bowl. Around the prediction at 224.0 s, the hands only shift to a different part of the rim and continue the same manipulation; there is no idle interval, disengagement, object switch, restart, or change in action goal. The prediction is therefore a repetitive-motion response within the ongoing sealing action rather than an action-level boundary. The containing label 'Secure plastic wrap around bowl' is visually supported. The listed GT at 229.0 s falls outside the visible clip."
recording_000422_false_mid_segment_t228.5,recording_000422,regrasp_reposition,"the bowl; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is","The clip shows one continuous plastic-wrap securing action. Both hands continuously press, tighten, and adhere the same sheet of plastic wrap around the same bowl. Around the prediction at 228.5 s, only the local pressing position changes as the hands move around the bowl; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. The containing label ""Adhere plastic wrap around bowl to table"" is visually supported. The adjacent descriptions of starting the application and sealing different sides represent phases of the same overall wrapping-and-securing cycle rather than separate actions under the current granularity."
recording_000343_false_mid_segment_t547.0,recording_000343,direction_reversal,"t 547.0 s, only the bottle orientation and brushing motion","The clip shows one continuous pan-liquid application cycle. The left hand continuously holds and tilts the same liquid bottle while the right hand spreads the liquid across the same pan using a brush. Around the prediction at 547.0 s, only the bottle orientation and brushing motion change; there is no disengagement, idle interval, object-instance switch, fresh cycle onset, or change in the overall action goal. The prediction is therefore an internal subaction response within the ongoing application cycle rather than an action-level boundary. The labels ""Apply liquid to pan with brush and bottle"" and ""Pan liquid application cycle"" are compatible with the visible action, although the latter is coarser. The nearest GT at 543.5 s lies before the visible clip, so its precise temporal placement cannot be assessed from this event."
recording_000388_false_mid_segment_t63.0,recording_000388,regrasp_reposition,"same bowl. There is no idle interval, object switch, change in action goal, or restart around","The clip shows one continuous bowl-covering and sealing action. Both hands repeatedly press, tighten, and secure the same plastic wrap around the rim of the same bowl. There is no idle interval, object switch, change in action goal, or restart around the prediction at 63.0 s. The prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. The label ""Cover bowl with plastic wrap"" is broadly compatible with the complete action cycle, although the visible local action is more precisely described as ""Press and secure plastic wrap around the bowl rim."" The later action ""Remove and discard plastic wrap from bowl"" is not visible in the current clip. The listed GT at 93.5 s lies outside the visible interval and cannot be assessed here."
recording_000385_false_mid_segment_t266.5,recording_000385,regrasp_reposition,"same bowl. There is no idle interval, object switch, restart, or change in the overall action goal around the predicti","The clip shows one continuous bowl-covering action. The hands first manipulate the edge of the plastic wrap near the bowl, then lift the plastic-wrap roll and continue pulling and unrolling film from the same roll over the same bowl. There is no idle interval, object switch, restart, or change in the overall action goal around the prediction at 266.5 s. The prediction appears to respond to lifting or repositioning the roll within the ongoing action and should not be retained as an action-level boundary. The preceding label ""Crumple removed plastic wrap"" is contradicted because no removed wrap is visibly crumpled. A more accurate description of the visible action is ""Pull and unroll plastic wrap from the roll over the bowl."" The later smoothing action is not yet clearly visible in the current clip."
recording_000431_false_mid_segment_t271.0,recording_000431,regrasp_reposition,"ll change. There is no idle interval, disengagement, object switch, restart, completed","The clip shows one continuous bowl-wrapping or wrap-adjustment action. Throughout the visible interval, the left hand remains engaged with the same bowl while the right hand continues holding and repositioning the same plastic-wrap roll. Around the prediction at 271.0 s, only the hand pose, local grip, and relative position of the bowl and roll change. There is no idle interval, disengagement, object switch, restart, completed disposal event, or change in the overall action goal. The prediction is therefore a motion-semantic response within the ongoing wrapping cycle rather than an action-level boundary. The containing label 'Wrap bowl with plastic wrap roll' is visually supported. 'Crumple removed plastic wrap' is not visible in this local clip, and the nearest GT at 252.0 s lies outside the reviewed interval."
recording_000419_false_mid_segment_t137.0,recording_000419,direction_reversal,osition and pulling direction change; there is no idle i,"The clip shows one continuous bowl-wrapping action. The right hand continuously holds the plastic-wrap roll while the left hand pulls, adjusts, and tightens the same sheet of wrap around the same bowl. Around the prediction at 137.0 s, only the grip position and pulling direction change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is therefore a motion-semantic response within the ongoing wrapping action rather than an action-level boundary. The containing label ""Wrap bowl with plastic wrap"" is visually supported. Tightening the wrap is compatible with the visible process, although a clear tearing event is not visible in this local clip. ""Unwrap plastic wrap from bowl"" is not shown. The listed GT at 125.1 s lies outside the visible interval and cannot be temporally assessed here."
recording_000423_false_mid_segment_t590.0,recording_000423,regrasp_reposition,"on change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is","The clip shows one continuous bowl-covering action. The person continuously controls the same plastic-wrap roll, pulls and positions the same sheet of film, and moves it toward the same bowl for application. Around the prediction at 590.0 s, only the hand configuration and wrap position change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is therefore a motion-semantic response to an internal subaction rather than an action-level boundary. ""Applying plastic wrap to bowl"" and ""Cover bowl with plastic cling wrap"" are semantically overlapping descriptions of the same action, while ""Secure plastic wrap around bowl edges"" is a later phase of that same cycle. A unified label such as ""Cover and secure bowl with plastic wrap"" would better match the current granularity. The listed GT at 572.5 s lies outside the visible clip and cannot be temporally assessed here."
recording_000385_false_mid_segment_t209.0,recording_000385,regrasp_reposition,tion is therefore a repetitive-motion response within the ongoing action rather than an acti,"The clip shows one continuous action in which both hands repeatedly press, gather, and secure the plastic wrap around the bottom or lower outer edge of the bowl. There is no change in action goal, object, or action cycle around the prediction at 209.0 s; the prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. The labels ""Smooth plastic wrap on the bowl's top surface"" and ""Fold and seal plastic wrap around the bowl rim"" misidentify the manipulated region. A more accurate label is ""Press and secure plastic wrap around the bottom of the bowl."" The action ""Crumple removed plastic wrap"" is not visible in the current clip. The listed GT at 194.0 s lies outside the visible interval and cannot be temporally assessed here."
recording_000422_false_mid_segment_t381.0,recording_000422,regrasp_reposition,a brief opening and repositioning of the fingers before they continu,"The clip shows one continuous bowl-and-plastic-wrap adjustment action. Both hands remain engaged with the same bowl and the same sheet of plastic wrap, continuously aligning, repositioning, and smoothing the wrap. Around the prediction at 381.0 s, the most salient visual change is a brief opening and repositioning of the fingers before they continue the same manipulation. There is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction was therefore likely triggered by local finger motion within the ongoing action rather than by an action-level boundary. The containing label ""Adjusting bowl and plastic wrap position"" is visually supported. The listed GT at 390.8 s lies outside the visible clip and cannot be temporally assessed here."
recording_000388_false_mid_segment_t67.5,recording_000388,regrasp_reposition,"ns change; there is no idle interval, object switch, change in action goal, or restart of a ne","The clip shows one continuous bowl-covering and sealing action. Both hands continuously pull, press, and secure the same sheet of plastic wrap around the rim of the same bowl. Around the prediction at 67.5 s, only the finger positions and local pressing motions change; there is no idle interval, object switch, change in action goal, or restart of a new cycle. The prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. The label ""Cover bowl with plastic wrap"" is broadly compatible with the complete action cycle, although the visible local action is more precisely described as ""Press and secure plastic wrap around the bowl rim."" The later action ""Remove and discard plastic wrap from bowl"" is not visible in the current clip. The listed GT at 93.5 s lies outside the visible interval and cannot be assessed here."
recording_000419_false_mid_segment_t618.0,recording_000419,other,The clip shows one continuous bowl-wrapping action. At the f,"The clip shows one continuous bowl-wrapping action. At the first visible frame, approximately 615.0 s, both hands are already engaged with the bowl and the plastic wrap, indicating that the action began before or at the start of the available clip. The exact onset is therefore not observable from this six-second window and should remain unresolved, with an upper bound of 615.0 s. From 615.0 to 621.0 s, the person continuously adjusts, presses, and secures the same plastic wrap around the same bowl. The prediction at 618.0 s corresponds only to a change in hand position or local manipulation within the ongoing action and is not an action-level boundary. The labels ""Apply new plastic wrap to bowl"" and ""Wrapping bowl with plastic wrap"" are compatible descriptions of the same continuous action."
recording_000406_false_near_edge_t455.5,recording_000406,regrasp_reposition,"ea change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is","The clip shows one continuous bowl-covering and sealing action. Both hands continuously pull, press, fold, and secure the same sheet of transparent plastic wrap around the rim of the same bowl. Around the prediction at 455.5 s, only the finger positions and local pressing area change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is therefore a repetitive-motion response within the ongoing action rather than an action-level boundary. ""Covering a bowl with plastic wrap"" is supported by the visible action. ""Cover bowl with new cling film from roll"" is broadly compatible, although retrieval from the roll is not visible in this local clip. ""Removing and discarding plastic wrap"" is not visible. The listed GT at 462.3 s lies outside the current video window and cannot be temporally assessed here."
recording_000385_false_near_edge_t577.5,recording_000385,regrasp_reposition,"same bowl. There is no idle interval, object switch, change in action goal, or restart around","The clip shows one continuous bowl-covering and sealing action. Both hands repeatedly pull, fold, and press the same plastic wrap around the rim of the same bowl. There is no idle interval, object switch, change in action goal, or restart around the prediction at 577.5 s. The prediction is therefore a repetitive-motion response caused by hand repositioning within the ongoing action rather than an action-level boundary. ""Fold and press plastic wrap to seal"" accurately describes the visible local action. ""Cover bowl with new plastic wrap"" is compatible only as a coarser description of the complete cycle and should not be treated as a separate adjacent segment. ""Remove and discard plastic wrap from bowl"" is not visible in the current clip."
recording_000431_false_near_edge_t262.0,recording_000431,regrasp_reposition,"on change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is","The clip shows one continuous wrapping-finalization action. The person remains engaged with the same bowl, plastic wrap, and wrap roll, continuously tightening, adjusting, and handling the excess film. Around the prediction at 262.0 s, only the finger grasp and local pulling position change; there is no idle interval, disengagement, object switch, restart, or change in the overall action goal. The prediction is therefore a motion-semantic response within the ongoing action rather than an action-level boundary. ""Remove excess plastic wrap and finalize wrapping"" best describes the visible local action. ""Wrap bowl with plastic wrap roll"" is a compatible coarser description of the same cycle, while a distinct ""Crumple removed plastic wrap"" action is not yet clearly visible in this clip."
recording_000388_missed_signal_present_not_top_t601.8,recording_000388,regrasp_reposition,"disposal. There is no idle interval, object switch, restart, or change in action goal around the GT at 60","The clip shows one continuous action in which the person removes transparent plastic wrap from the same bowl, gathers or crumples it between both hands, and moves it toward the blue basin for disposal. There is no idle interval, object switch, restart, or change in action goal around the GT at 601.8 s. The GT therefore introduces a spurious split within one continuous removal-and-disposal cycle. The label ""Secure plastic wrap around bowl"" is contradicted because the wrap is being removed rather than secured. The label ""Manipulate and discard ice cube into basin"" identifies the wrong object; the manipulated item is plastic wrap, not an ice cube. A unified label such as ""Remove, crumple, and discard plastic wrap from bowl into basin"" is more accurate. No prediction is decoded, but because no true action-level boundary exists here, this should not be counted as a model detection failure."
recording_000385_false_gap_t348.0,recording_000385,regrasp_reposition,the prediction is a repetitive-motion response within the ongoing action rather than an acti,"The clip shows one continuous action in which both hands repeatedly pinch, gather, and bunch the plastic wrap around the rim of the bowl. There is no visible change in action goal, object, or action cycle around the prediction at 348.0 s, so the prediction is a repetitive-motion response within the ongoing action rather than an action-level boundary. The labels ""Smooth plastic wrap on bowl"" and ""Smooth plastic wrap on bowl top"" are not accurate because the wrap is being gathered or crumpled around the bowl rim rather than smoothed flat. A more appropriate label is ""Gather or bunch plastic wrap around the bowl rim."" The listed GT at 370.1 s lies outside the visible clip and cannot be assessed from this event."
