event_id,recording_id,category,gt_time,Matched pred_time,pred_score,offset,prev_segment_label,next_segment_label,containing_segment_label,nearest_previous_segment_label,nearest_next_segment_label,nearest_gt_boundary_time,distance_to_nearest_gt,clip_path,contact_sheet_path,score_plot_path,primary_error_type,secondary_error_type,visual_evidence_present,notes,gt_label_quality,boundary_status,corrected_boundary_time,semantic_label_status,corrected_primary_verb,corrected_secondary_verbs,corrected_object,assigned_corrected_relation,contrastive_role,review_confidence
recording_000105_missed_weak_signal_t72.0,recording_000105,missed_weak_signal,72,,0.093,,Paper fold-unfold cycle,Paper fold-unfold cycle,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_weak_signal_t72.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_weak_signal_t72.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_weak_signal_t72.0_score_plot.png,annotation_error,spurious_boundary,no,"The video shows one continuous circular wiping motion with both hands pressing the tissue against the table. No semantic transition is visible around the GT boundary at 72 s, and the low model response is therefore appropriate. The repeated ""Paper fold-unfold cycle"" labels do not match the observed action, indicating a spurious boundary and incorrect semantic annotation rather than a model detection failure.",incorrect,spurious_gt_boundary,none,incorrect,wipe,press; move in circles,tissue / paper sheet,gt_spurious_within_continuous_action,boundary_motion_hard_negative,high
recording_000053_missed_weak_signal_t486.0,recording_000053,missed_weak_signal,486,,0.066,,,Fill dark bottles from table into bowl,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000053_missed_weak_signal_t486.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000053_missed_weak_signal_t486.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000053_missed_weak_signal_t486.0_score_plot.png,model_detection_failure,no_response,no,"No visible hand-object interaction or clear state change is observed around the annotated boundary. The boundary is not visually supported in the available frames, and the model shows no meaningful response. This may indicate a limitation of the visual evidence rather than a pure detection failure.",incorrect,valid_gt_model_missed,unresolved,uncertain,,,,gt_unverifiable_from_visible_input,exclude_until_corrected,high
recording_000102_missed_weak_signal_t95.0,recording_000102,missed_weak_signal,95,,0.123,,Fold and unfold a paper sheet,Fold and unfold a paper sheet,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0_score_plot.png,model_detection_failure,weak_signal,yes,"A genuine transition is visible around the GT boundary: the motion changes from large lateral back-and-forth wiping to small circular wiping while both hands remain pressed on the tissue. The model produces only a weak response near this transition and fails to generate a usable peak. Although the boundary timing is visually supported, the annotation label ""Fold and unfold a paper sheet"" does not match the observed actions.",incorrect,valid_gt_model_weak_signal,95.0,incorrect,wipe,change from lateral strokes to small circles,tissue / paper sheet,gt_valid_model_weak,boundary_positive,high
recording_000150_missed_weak_signal_t9.5,recording_000150,missed_weak_signal,9.5,,0.013,,,Flip remote control to opposite side,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_weak_signal_t9.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_weak_signal_t9.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_weak_signal_t9.5_score_plot.png,model_detection_failure,no_response,yes,"A clear remote-control flip occurs at the GT, but the score is nearly zero and no local response is formed.",supported,valid_gt_model_missed,9.5,correct,flip,inspect opposite side,remote control,gt_valid_pred_missing,boundary_positive,high
recording_000220_missed_weak_signal_t586.4,recording_000220,missed_weak_signal,586.4,,0.156,,Display upper side of slippers,Display insole side of slippers,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t586.4.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t586.4_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t586.4_score_plot.png,annotation_error,spurious_boundary,no,"The GT splits the internal flip from the upper side to the insole side within one continuous slipper inspection cycle. Under the adopted cycle-level granularity, no separate action boundary is required here.",misaligned,spurious_gt_boundary,none at 586.4; retain ~583.8 cycle onset,correct_but_oversegmented,inspect,flip; display upper side; display insole side,slippers,gt_spurious_internal_cycle_phase,boundary_motion_hard_negative,high
recording_000220_missed_weak_signal_t289.5,recording_000220,missed_weak_signal,289.5,,0.196,,Display footbed side of slippers,Display upper side of slippers,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t289.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t289.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000220_missed_weak_signal_t289.5_score_plot.png,annotation_error,spurious_boundary,no,"The GT splits the internal flip from the footbed side to the upper side within one continuous slipper display cycle. Under the adopted cycle-level granularity, no separate action boundary is required here.",misaligned,spurious_gt_boundary,none at 289.5; retain ~286.5 cycle onset,correct_but_oversegmented,inspect,flip; display footbed; display upper side,slippers,gt_spurious_internal_cycle_phase,boundary_motion_hard_negative,high
recording_000181_late_t233.0,recording_000181,late,233,233.5,0.759,0.5,Clean sink drain strainer,Clean sink drain strainer,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t233.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t233.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t233.0_score_plot.png,true_positive,none,yes,"The GT and prediction both align with removing the sink strainer, and the 0.5 s offset is acceptable. A later transition into faucet-based rinsing is not separately represented, so the repeated label is too coarse.",weakly_supported,correct_acceptable_offset,233.0–233.5; additional ~234.0–234.5,correct_but_coarse,remove,reach faucet; begin rinsing,sink strainer,gt_pred_same_first_boundary_additional_boundary_missing,boundary_positive,high
recording_000030_late_t387.5,recording_000030,late,387.5,388,0.804,0.5,Move water bottle from left to center position,,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t387.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t387.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t387.5_score_plot.png,true_positive,none,yes,Prediction is temporally close to the GT boundary and corresponds to the same move-to-center transition. The 0.5 s delay reflects normal temporal variation between transition completion and stable post-transition state rather than a localization error.,supported,correct_acceptable_offset,387.5–388,correct,reposition,move left to center; stabilize,water bottle,gt_pred_same_acceptable_offset,boundary_positive,high
recording_000181_late_t73.5,recording_000181,late,73.5,74,0.772,0.5,Clean sink drain strainer,Rinse and reseat sink drain strainer,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5_score_plot.png,true_positive,none,yes,The GT and prediction lie within the same transition window from cleaning the strainer to rinsing/reseating it. The 0.5 s delay is acceptable.,supported,correct_acceptable_offset,73.5–74,correct,rinse,finish cleaning; reseat,sink strainer,gt_pred_same_acceptable_offset,boundary_positive,high
recording_000213_late_t43.0,recording_000213,late,43,43.5,0.825,0.5,Clean sink drain strainer,,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t43.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t43.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t43.0_score_plot.png,true_positive,none,yes,"A brief idle interval separates two action phases. One action-level boundary is sufficient, and the single prediction at 43.5 s is a reasonable unified boundary; the nearby pair of GT edges over-segments the idle interval.",weakly_supported,correct_acceptable_offset,43.0–44.0 (single transition interval),correct_but_coarse,manipulate,finish; idle; re-engage,sink strainer,gt_pred_unify_two_idle_edges,naming_soft_positive,high
recording_000213_late_t150.0,recording_000213,late,150,150.5,0.857,0.5,"Remove, rinse and reseat sink strainer","Remove, rinse and reseat sink strainer",,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t150.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t150.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t150.0_score_plot.png,true_positive,none,yes,The GT and prediction fall in the same visually supported strainer-manipulation transition window. The 0.5 s offset is acceptable.,supported,correct_acceptable_offset,150–150.5,correct,manipulate,finish previous phase; re-engage,sink strainer,gt_pred_same_acceptable_offset,boundary_positive,high
recording_000053_late_t207.5,recording_000053,late,207.5,208,0.455,0.5,Replace used tissue with new one,Wipe table with second tissue,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000053_late_t207.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000053_late_t207.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000053_late_t207.5_score_plot.png,true_positive,none,yes,"Prediction is within acceptable temporal tolerance of the annotated boundary. The predicted peak corresponds to the same semantic transition from replacing the used tissue to wiping the table with the new tissue. The 0.5 s delay is likely due to normal variation between transition onset and the strongest visual change, rather than a localization error.",supported,correct_acceptable_offset,207.5–208,correct,wipe,replace used tissue,table surface / tissue,gt_pred_same_acceptable_offset,boundary_positive,high
recording_000030_late_t501.0,recording_000030,late,501,501.5,0.886,0.5,Move water bottle from table center to left,,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t501.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t501.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t501.0_score_plot.png,ontology_granularity_mismatch,extra_fine_grained_transition,yes,"The clip contains a finer-grained interaction cycle than the annotated boundary: holding the bottle, releasing it on the table, and regrasping it. The GT boundary corresponds to the coarse action transition (""Move water bottle from table center to left""), while the model detects an additional visually meaningful sub-action transition shortly after the GT, as indicated by the subsequent prediction peak. This suggests a mismatch between model-discovered temporal structure and annotation granularity rather than a simple late localization error.",weakly_supported,valid_unannotated_boundary,501.0–501.5; adjacent release/regrasp transition,correct_but_coarse,reposition,release; place; regrasp,water bottle,multiple_true_phases_under_one_coarse_label,boundary_positive,high
recording_000080_late_t559.5,recording_000080,late,559.5,560,0.813,0.5,,Fold and discard a paper tissue,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000080_late_t559.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000080_late_t559.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000080_late_t559.5_score_plot.png,ontology_granularity_mismatch,extra_fine_grained_transition,yes,"The clip appears to contain multiple fine-grained transitions, including retrieving the tissue and folding it, while the annotation combines them into a single ""Fold and discard a paper tissue"" action. The model produces multiple responses corresponding to these sub-actions rather than a single boundary. The discard component is not visually confirmed in the available clip, suggesting either annotation granularity mismatch or a possible label error.",incorrect,valid_unannotated_boundary,~558.5; 559.5–560.0,incorrect,fold,retrieve; extract,tissue / paper sheet,gt_pred_valid_but_label_includes_unseen_discard,naming_hard_negative,medium
recording_000181_exact_t93.5,recording_000181,exact,93.5,93.5,0.921,0,Rinse and reseat sink drain strainer,Rinse and reseat sink drain strainer,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000181_exact_t93.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000181_exact_t93.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000181_exact_t93.5_score_plot.png,true_positive,none,yes,The prediction exactly matches a clear transition in the sink-strainer manipulation sequence.,supported,correct,93.5,correct,manipulate,rinse; reseat,sink strainer,gt_pred_same,naming_strong_positive,high
recording_000030_exact_t12.2,recording_000030,exact,12.2,12,0.737,-0.2,,Slide bottle back to center from front (upright),,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000030_exact_t12.2.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000030_exact_t12.2_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000030_exact_t12.2_score_plot.png,true_positive,none,yes,the score plot have three lines and one of them falls really near to the true gt,supported,correct,12–12.2,correct,reposition,slide; set upright,water bottle,gt_pred_same,naming_strong_positive,medium
recording_000116_exact_t435.2,recording_000116,exact,435.2,435,0.623,-0.2,,Cleaning countertop with squeegee,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000116_exact_t435.2.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000116_exact_t435.2_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000116_exact_t435.2_score_plot.png,true_positive,none,yes,"The prediction at 435.0 s aligns with the visible transition into cleaning the countertop with the squeegee. The 0.2 s offset from the GT boundary is negligible, and the score forms a clear local maximum around the transition. This is a valid exact match.",supported,correct,435–435.2,correct,wipe,begin squeegee cleaning,countertop / sink surface,gt_pred_same,naming_strong_positive,high
recording_000160_exact_t575.6,recording_000160,exact,575.6,575.5,0.813,-0.1,Rinse and re-seat sink strainer,Rinse and re-seat sink strainer,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000160_exact_t575.6.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000160_exact_t575.6_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000160_exact_t575.6_score_plot.png,true_positive,none,yes,"The exact temporal match is provisionally accepted from the audit metadata, although this row was not independently re-reviewed frame by frame in the current pass.",weakly_supported,correct,575.5–575.6,correct_but_coarse,manipulate,rinse; reseat,sink strainer,gt_pred_same,naming_soft_positive,high
recording_000183_exact_t144.0,recording_000183,exact,144,144,0.579,0,Remove and position strainer,Rinse sink strainer,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000183_exact_t144.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000183_exact_t144.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000183_exact_t144.0_score_plot.png,true_positive,none,yes,The prediction exactly matches the transition from removing/positioning the strainer to rinsing it.,supported,correct,144,correct,rinse,remove; position,sink strainer,gt_pred_same,naming_strong_positive,high
recording_000220_exact_t522.0,recording_000220,exact,522,522,0.474,0,,Slipper inspection cycle,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000220_exact_t522.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000220_exact_t522.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000220_exact_t522.0_score_plot.png,true_positive,none,yes,"The 522.0 s match is valid for the single transition into the slipper inspection cycle, although an adjacent GT and an additional prediction over-segment the same local action cycle.",weakly_supported,correct,521.5–522.0,correct_but_coarse,inspect,flip; display,slippers,current_match_valid_adjacent_gt_and_pred_redundant,naming_soft_positive,high
recording_000061_exact_t590.0,recording_000061,exact,590,590,0.732,0,Bottle manipulation over bowl,,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000061_exact_t590.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000061_exact_t590.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000061_exact_t590.0_score_plot.png,model_motion_semantic_confusion,no_visual_transition,no,"The matched prediction coincides with the annotated boundary, but the local clip provides little visible evidence of a semantic transition. Multiple nearby peaks are produced around a visually static scene, suggesting spurious boundary responses rather than a well-localized event. The GT boundary may correspond to an action occurring outside the visible evidence window.",incorrect,unresolved,unresolved,uncertain,,,,gt_unverifiable_from_visible_input,exclude_until_corrected,high
recording_000160_exact_t207.5,recording_000160,exact,207.5,207.5,0.826,0,Reinstall and adjust sink drain strainer,Remove sink drain strainer,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000160_exact_t207.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000160_exact_t207.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000160_exact_t207.5_score_plot.png,true_positive,none,yes,The prediction exactly matches the visible transition from reinstalling/adjusting the strainer to removing it.,supported,correct,207.5,correct,remove,reinstall; adjust,sink strainer,gt_pred_same,naming_strong_positive,high
recording_000134_false_near_edge_t130.0,recording_000134,false_near_edge,128.9,130,0.487,,,,Fold second tissue sheet into compact rectangle,Fold a tissue paper into a compact rectangle (starts here),Fold third tissue sheet into compact rectangle,128.9,1.1,/workspace/tr1/results/boundary/error_audit/media/recording_000134_false_near_edge_t130.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000134_false_near_edge_t130.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000134_false_near_edge_t130.0_score_plot.png,annotation_error,incorrect_label,yes,"The annotation describes folding the tissue into a compact rectangle, but the video shows the reverse action: the participant grasps a compact folded tissue and begins unfolding/opening it. The GT and the earlier prediction near 128.9 s correspond to reaching for or grasping the tissue, while the prediction at 130.0 s corresponds to the actual onset of unfolding. The latter therefore has clear visual support and is classified as false_near_edge mainly because the nearby GT has already been matched, while the semantic annotation itself is incorrect.",incorrect,valid_boundary_label_incorrect,128.9 (reach/grasp); 130.0 (unfold onset),incorrect,unfold,reach; grasp; open,tissue / paper sheet,gt_and_pred_mark_different_valid_phases_label_reversed,naming_hard_negative,high
recording_000176_false_near_edge_t345.5,recording_000176,false_near_edge,347,345.5,0.736,,,,Clean and reinstall sink strainer,Clean and reinstall sink strainer,Clean and reinstall sink strainer,347,1.5,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_near_edge_t345.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_near_edge_t345.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_near_edge_t345.5_score_plot.png,ontology_granularity_mismatch,extra_fine_grained_transition,yes,"The prediction captures an earlier release/re-engagement transition, while the later GT captures lifting the strainer and reaching toward the faucet. Both are meaningful phases hidden by a repeated coarse label.",weakly_supported,valid_unannotated_boundary,345.5; 347.0,correct_but_coarse,re-engage,withdraw; lift; reach faucet,sink strainer,gt_and_pred_mark_different_valid_transitions,boundary_positive,high
recording_000116_false_near_edge_t562.0,recording_000116,false_near_edge,559.9,562,0.552,,,,Cleaning countertop with squeegee,Wash hands under running water,Wipe countertop with squeegee,559.9,2.1,/workspace/tr1/results/boundary/error_audit/media/recording_000116_false_near_edge_t562.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000116_false_near_edge_t562.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000116_false_near_edge_t562.0_score_plot.png,model_motion_semantic_confusion,internal_subaction,no,"The genuine transition occurs near the beginning of the clip, around 559.9 s, where the activity changes from rinsing under the faucet to cleaning the countertop with the squeegee. By 562.0 s, the participant is already continuously performing the same squeegee-cleaning action, with no new semantic transition. The prediction likely responds to an internal motion or direction change within the ongoing action rather than a valid boundary.",supported,spurious_model_boundary,none at 562.0; retain 559.9,correct,wipe,change direction; continue cleaning,countertop / sink surface,pred_spurious_within_ongoing_action,boundary_motion_hard_negative,high
