priority,priority_reason,event_id,recording_id,t,current_binary_role,raw_left_right_distance,nearest_other_audited_event_s,temporal_pair_subtype,pair_supervision,notes,prev_segment_label,next_segment_label,containing_segment_label,clip_path,contact_sheet_path,score_plot_path
1,contradicts_raw_geometry_positive,recording_000181_late_t73.5,recording_000181,74.0,positive,8.7e-05,19.5,sharp_visible_transition,,,Clean sink drain strainer,Rinse and reseat sink drain strainer,,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000181_late_t73.5_score_plot.png
1,contradicts_raw_geometry_positive,recording_000102_missed_weak_signal_t95.0,recording_000102,95.0,positive,9e-05,68.5,sharp_visible_transition,,,Fold and unfold a paper sheet,Fold and unfold a paper sheet,,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0_score_plot.png
1,contradicts_raw_geometry_positive,recording_000325_missed_signal_present_not_top_t136.5,recording_000325,136.5,positive,9.3e-05,95.5,annotation_convention,,,,Apply liquid to pan with brush,,/workspace/tr1/results/hal/batch2_media/media/recording_000325_missed_signal_present_not_top_t136.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000325_missed_signal_present_not_top_t136.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000325_missed_signal_present_not_top_t136.5_score_plot.png
1,contradicts_raw_geometry_positive,recording_000438_missed_signal_present_not_top_t182.0,recording_000438,182.0,positive,9.5e-05,1.0,sharp_visible_transition,,wrap roll enters frame and starts being picked up and manipulated,Manipulate small transparent object,Retrieve plastic wrap roll,,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t182.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t182.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t182.0_score_plot.png
1,contradicts_raw_geometry_positive,recording_000320_exact_t548.2,recording_000320,548.0,positive,0.0001,87.0,sharp_visible_transition,,,Pour liquid from bottle into pan,,,/workspace/tr1/results/hal/batch2_media/media/recording_000320_exact_t548.2.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000320_exact_t548.2_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000320_exact_t548.2_score_plot.png
1,contradicts_raw_geometry_positive,recording_000181_false_near_edge_t564.0,recording_000181,564.0,positive,0.000101,330.5,sharp_visible_transition,,,,,Clean sink drain strainer and wipe sink basin,/workspace/tr1/results/boundary/error_audit/media/recording_000181_false_near_edge_t564.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000181_false_near_edge_t564.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000181_false_near_edge_t564.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000438_missed_signal_present_not_top_t181.0,recording_000438,181.0,motion_hard_negative,0.004718,1.0,camera_or_viewpoint_shift,,hand leaves frame while the whole view/scene shifts; no visible new object interaction,,Manipulate small transparent object,,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t181.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t181.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000438_missed_signal_present_not_top_t181.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000431_false_mid_segment_t427.5,recording_000431,427.5,motion_hard_negative,0.001066,13.0,same_action_internal_motion,,,,,Unroll and tear plastic wrap sheet,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_mid_segment_t427.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_mid_segment_t427.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_mid_segment_t427.5_score_plot.png
2,contradicts_raw_geometry_negative,recording_000102_missed_weak_signal_t23.5,recording_000102,23.5,motion_hard_negative,0.001015,71.5,same_action_internal_motion,,,Second fold and press tissue,Third fold and press tissue,,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t23.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t23.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t23.5_score_plot.png
2,contradicts_raw_geometry_negative,recording_000406_missed_weak_signal_t556.6,recording_000406,556.6,motion_hard_negative,0.000844,14.4,same_action_internal_motion,,"holding roll, locating the film edge, gradually starting to pull; continuous process",Pick up plastic wrap roll and locate edge,Unroll a sheet of plastic wrap,,/workspace/tr1/results/hal/batch2_media/media/recording_000406_missed_weak_signal_t556.6.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_missed_weak_signal_t556.6_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000406_missed_weak_signal_t556.6_score_plot.png
2,contradicts_raw_geometry_negative,recording_000438_false_mid_segment_t476.0,recording_000438,476.0,motion_hard_negative,0.00077,99.0,same_action_internal_motion,,,,,Unroll plastic wrap from roll and position over bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t476.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t476.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t476.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000406_false_mid_segment_t595.5,recording_000406,595.5,motion_hard_negative,0.000734,24.5,same_action_internal_motion,,continuous pressing/smoothing of plastic wrap along the bowl rim; intent and interaction target unchanged,,,Seal plastic wrap around bowl rim,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t595.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t595.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t595.5_score_plot.png
2,contradicts_raw_geometry_negative,recording_000423_false_mid_segment_t590.0,recording_000423,590.0,motion_hard_negative,0.000529,,same_action_internal_motion,,,,,Cover bowl with plastic cling wrap,/workspace/tr1/results/hal/batch2_media/media/recording_000423_false_mid_segment_t590.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000423_false_mid_segment_t590.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000423_false_mid_segment_t590.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000406_duplicate_t571.0,recording_000406,571.0,motion_hard_negative,0.000518,14.4,sharp_visible_transition,,,,,Seal plastic wrap around bowl rim,/workspace/tr1/results/hal/batch2_media/media/recording_000406_duplicate_t571.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_duplicate_t571.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000406_duplicate_t571.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000406_exact_t490.3,recording_000406,490.5,motion_hard_negative,0.000497,35.0,same_action_internal_motion,,pulling wrap gradually becomes laying it over the bowl; no clear instantaneous switch point,Handling plastic wrap roll,Position wrap over bowl opening,,/workspace/tr1/results/hal/batch2_media/media/recording_000406_exact_t490.3.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_exact_t490.3_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000406_exact_t490.3_score_plot.png
2,contradicts_raw_geometry_negative,recording_000419_missed_weak_signal_t688.9,recording_000419,688.9,motion_hard_negative,0.000488,70.9,visibility_or_offscreen,,"continues crumpling plastic, then hands and object leave frame; bin and the discard action are never visible",Crumpling discarded plastic packaging,Discarding crumpled plastic in trash bin,,/workspace/tr1/results/hal/batch2_media/media/recording_000419_missed_weak_signal_t688.9.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000419_missed_weak_signal_t688.9_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000419_missed_weak_signal_t688.9_score_plot.png
2,contradicts_raw_geometry_negative,recording_000105_false_gap_t501.5,recording_000105,501.5,motion_hard_negative,0.000471,4.0,same_action_internal_motion,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000105_false_gap_t501.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000105_false_gap_t501.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000105_false_gap_t501.5_score_plot.png
2,contradicts_raw_geometry_negative,recording_000102_false_mid_segment_t439.0,recording_000102,439.0,motion_hard_negative,0.000464,32.5,same_action_internal_motion,,,,,fold and unfold tissue,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t439.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t439.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t439.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000193_missed_signal_present_not_top_t264.2,recording_000193,264.2,motion_hard_negative,0.000458,,same_action_internal_motion,,,,Telescopic rod extend-retract cycle,,/workspace/tr1/results/boundary/error_audit/media/recording_000193_missed_signal_present_not_top_t264.2.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000193_missed_signal_present_not_top_t264.2_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000193_missed_signal_present_not_top_t264.2_score_plot.png
2,contradicts_raw_geometry_negative,recording_000116_false_near_edge_t562.0,recording_000116,562.0,motion_hard_negative,0.000406,127.0,same_action_internal_motion,,,,,Cleaning countertop with squeegee,/workspace/tr1/results/boundary/error_audit/media/recording_000116_false_near_edge_t562.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000116_false_near_edge_t562.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000116_false_near_edge_t562.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000343_false_mid_segment_t274.5,recording_000343,274.5,motion_hard_negative,0.000383,52.0,sharp_visible_transition,,,,,Coat pan with liquid using spatula,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t274.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t274.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t274.5_score_plot.png
2,contradicts_raw_geometry_negative,recording_000220_false_mid_segment_t153.0,recording_000220,153.0,motion_hard_negative,0.000369,9.5,sharp_visible_transition,,,,,Slipper pair flip cycle,/workspace/tr1/results/boundary/error_audit/media/recording_000220_false_mid_segment_t153.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000220_false_mid_segment_t153.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000220_false_mid_segment_t153.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000388_false_mid_segment_t618.0,recording_000388,618.0,motion_hard_negative,0.000349,16.2,same_action_internal_motion,,,,,Unroll plastic wrap to required length,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t618.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t618.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t618.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000110_false_gap_t178.5,recording_000110,178.5,motion_hard_negative,0.000314,325.5,same_action_internal_motion,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000110_false_gap_t178.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000110_false_gap_t178.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000110_false_gap_t178.5_score_plot.png
2,contradicts_raw_geometry_negative,recording_000422_false_mid_segment_t561.0,recording_000422,561.0,motion_hard_negative,0.000314,103.0,same_action_internal_motion,,,,,Inspecting the covered bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000422_false_mid_segment_t561.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000422_false_mid_segment_t561.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000422_false_mid_segment_t561.0_score_plot.png
2,contradicts_raw_geometry_negative,recording_000343_false_mid_segment_t547.0,recording_000343,547.0,motion_hard_negative,0.000314,82.0,same_action_internal_motion,,,,,Pan liquid application cycle,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t547.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t547.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t547.0_score_plot.png
3,systematic_recording_error,recording_000406_false_near_edge_t455.5,recording_000406,455.5,motion_hard_negative,0.000235,35.0,same_action_internal_motion,,,,,Cover bowl with new cling film from roll,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_near_edge_t455.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_near_edge_t455.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_near_edge_t455.5_score_plot.png
3,systematic_recording_error,recording_000406_false_mid_segment_t29.5,recording_000406,29.5,motion_hard_negative,0.000286,426.0,same_action_internal_motion,,,,,Drape plastic wrap over the bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t29.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t29.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t29.5_score_plot.png
4,window_contamination_suspect,recording_000102_early_t164.0,recording_000102,163.5,motion_hard_negative,8.3e-05,1.0,same_action_internal_motion,,,Fold and crease sheet edge,Fold and crease sheet edge,,/workspace/tr1/results/boundary/error_audit/media/recording_000102_early_t164.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_early_t164.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_early_t164.0_score_plot.png
4,window_contamination_suspect,recording_000272_early_t576.5,recording_000272,576.0,positive,0.000175,1.5,sharp_visible_transition,,,,Insert U-disk into the box,,/workspace/tr1/results/hal/batch2_media/media/recording_000272_early_t576.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000272_early_t576.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000272_early_t576.5_score_plot.png
4,window_contamination_suspect,recording_000236_missed_weak_signal_t547.0,recording_000236,547.0,positive,0.000491,1.5,sharp_visible_transition,,,Inspect cardboard box interior,Close cardboard box top flaps,,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_weak_signal_t547.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_weak_signal_t547.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_weak_signal_t547.0_score_plot.png
4,window_contamination_suspect,recording_000272_missed_weak_signal_t577.5,recording_000272,577.5,positive,0.000654,1.5,sharp_visible_transition,,,Insert U-disk into the box,,,/workspace/tr1/results/hal/batch2_media/media/recording_000272_missed_weak_signal_t577.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000272_missed_weak_signal_t577.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000272_missed_weak_signal_t577.5_score_plot.png
4,window_contamination_suspect,recording_000236_missed_signal_present_not_top_t548.5,recording_000236,548.5,positive,0.000764,1.5,sharp_visible_transition,,,Close cardboard box top flaps,Re-seal box top with packing tape,,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_signal_present_not_top_t548.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_signal_present_not_top_t548.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000236_missed_signal_present_not_top_t548.5_score_plot.png
4,window_contamination_suspect,recording_000102_duplicate_t164.5,recording_000102,164.5,positive,0.000895,1.0,sharp_visible_transition,,,,,Fold and crease sheet edge,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t164.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t164.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t164.5_score_plot.png
5,remainder,recording_000388_missed_signal_present_not_top_t601.8,recording_000388,601.8,motion_hard_negative,2e-06,16.2,same_action_internal_motion,,,Secure plastic wrap around bowl,Manipulate and discard ice cube into basin,,/workspace/tr1/results/hal/batch2_media/media/recording_000388_missed_signal_present_not_top_t601.8.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000388_missed_signal_present_not_top_t601.8_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000388_missed_signal_present_not_top_t601.8_score_plot.png
5,remainder,recording_000150_duplicate_t234.5,recording_000150,234.5,motion_hard_negative,4e-06,200.5,annotation_convention,,,,,Flip black rectangular object to opposite side,/workspace/tr1/results/boundary/error_audit/media/recording_000150_duplicate_t234.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000150_duplicate_t234.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000150_duplicate_t234.5_score_plot.png
5,remainder,recording_000112_false_mid_segment_t429.0,recording_000112,429.0,motion_hard_negative,7e-06,,same_action_internal_motion,,,,,Wipe wet surfaces with squeegee,/workspace/tr1/results/boundary/error_audit/media/recording_000112_false_mid_segment_t429.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000112_false_mid_segment_t429.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000112_false_mid_segment_t429.0_score_plot.png
5,remainder,recording_000105_missed_weak_signal_t72.0,recording_000105,72.0,motion_hard_negative,8e-06,429.5,same_action_internal_motion,,,Paper fold-unfold cycle,Paper fold-unfold cycle,,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_weak_signal_t72.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_weak_signal_t72.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_weak_signal_t72.0_score_plot.png
5,remainder,recording_000388_false_mid_segment_t63.0,recording_000388,63.0,motion_hard_negative,8e-06,4.5,same_action_internal_motion,,,,,Cover bowl with plastic wrap,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t63.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t63.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t63.0_score_plot.png
5,remainder,recording_000438_false_mid_segment_t53.0,recording_000438,53.0,motion_hard_negative,1.5e-05,128.0,same_action_internal_motion,,,,,Press and seal plastic wrap on the bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t53.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t53.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000438_false_mid_segment_t53.0_score_plot.png
5,remainder,recording_000419_false_mid_segment_t286.5,recording_000419,286.5,motion_hard_negative,1.5e-05,23.0,same_action_internal_motion,,,,,Removing plastic wrap from a bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000419_false_mid_segment_t286.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000419_false_mid_segment_t286.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000419_false_mid_segment_t286.5_score_plot.png
5,remainder,recording_000102_false_mid_segment_t484.0,recording_000102,484.0,motion_hard_negative,2.2e-05,12.5,same_action_internal_motion,,,,,fold and unfold tissue,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t484.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t484.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_false_mid_segment_t484.0_score_plot.png
5,remainder,recording_000431_false_near_edge_t262.0,recording_000431,262.0,motion_hard_negative,2.3e-05,9.0,same_action_internal_motion,,,,,Wrap bowl with plastic wrap roll,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t262.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t262.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t262.0_score_plot.png
5,remainder,recording_000102_duplicate_t471.5,recording_000102,471.5,motion_hard_negative,2.7e-05,12.5,same_action_internal_motion,,,,,fold and unfold tissue,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t471.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t471.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_duplicate_t471.5_score_plot.png
5,remainder,recording_000431_false_near_edge_t440.5,recording_000431,440.5,motion_hard_negative,3e-05,13.0,same_action_internal_motion,,,,,Unroll and tear plastic wrap sheet,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t440.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t440.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000431_false_near_edge_t440.5_score_plot.png
