# batch3 events whose subtype most likely originated with Claude reading
# 2.5 fps contact sheets in chat, not with human video review.
# evidence=ffmpeg : an assistant ffmpeg command decoded this clip's frames
# evidence=upload : its media was attached in chat but no decode is recorded
# Derived from session transcripts, not from recall. A LOWER BOUND:
# only sessions still on this machine were searched.
# No event in pair_labels_v1.csv shows either kind of trace.
event_id,evidence,stored_subtype,in_clean_set
recording_000127_batch3_gt_boundary_t93.0,ffmpeg,same_action_internal_motion,1
recording_000131_batch3_gt_boundary_t172.8,ffmpeg,same_action_internal_motion,1
recording_000133_batch3_raw_change_peak_t295.0,ffmpeg,sharp_visible_transition,1
recording_000135_batch3_gt_boundary_t559.0,ffmpeg,gradual_phase_transition,0
recording_000137_batch3_raw_change_peak_t299.0,ffmpeg,same_action_internal_motion,1
recording_000138_batch3_gt_boundary_t569.0,ffmpeg,sharp_visible_transition,1
recording_000139_batch3_gt_boundary_t572.1,ffmpeg,sharp_visible_transition,1
recording_000140_batch3_raw_change_peak_t166.0,ffmpeg,same_action_internal_motion,1
recording_000140_batch3_raw_change_peak_t574.0,ffmpeg,same_action_internal_motion,1
recording_000141_batch3_gt_boundary_t203.5,ffmpeg,gradual_phase_transition,0
recording_000141_batch3_gt_boundary_t305.0,ffmpeg,same_action_internal_motion,1
recording_000141_batch3_gt_boundary_t388.5,ffmpeg,same_action_internal_motion,1
recording_000141_batch3_gt_boundary_t408.5,ffmpeg,same_action_internal_motion,1
recording_000170_batch3_raw_change_peak_t542.0,ffmpeg,sharp_visible_transition,1
recording_000172_batch3_gt_boundary_t346.6,ffmpeg,same_action_internal_motion,1
recording_000172_batch3_raw_change_peak_t374.0,ffmpeg,same_action_internal_motion,1
recording_000173_batch3_gt_boundary_t161.6,ffmpeg,same_action_internal_motion,1
recording_000174_batch3_raw_change_peak_t45.0,ffmpeg,same_action_internal_motion,1
recording_000175_batch3_raw_change_peak_t160.0,ffmpeg,same_action_internal_motion,1
recording_000175_batch3_raw_change_peak_t496.0,ffmpeg,sharp_visible_transition,1
recording_000177_batch3_gt_boundary_t174.5,ffmpeg,sharp_visible_transition,1
recording_000177_batch3_gt_boundary_t189.0,ffmpeg,camera_or_viewpoint_shift,0
recording_000177_batch3_raw_change_peak_t102.0,ffmpeg,same_action_internal_motion,1
recording_000206_batch3_raw_change_peak_t183.0,ffmpeg,same_action_internal_motion,1
recording_000206_batch3_raw_change_peak_t616.0,ffmpeg,same_action_internal_motion,1
recording_000207_batch3_gt_boundary_t412.0,ffmpeg,gradual_phase_transition,0
recording_000207_batch3_gt_boundary_t472.0,ffmpeg,same_action_internal_motion,1
recording_000208_batch3_gt_boundary_t610.5,ffmpeg,same_action_internal_motion,1
recording_000209_batch3_gt_boundary_t155.0,ffmpeg,same_action_internal_motion,1
recording_000209_batch3_gt_boundary_t257.0,ffmpeg,same_action_internal_motion,1
recording_000209_batch3_gt_boundary_t358.5,ffmpeg,gradual_phase_transition,0
recording_000209_batch3_gt_boundary_t435.3,ffmpeg,same_action_internal_motion,1
recording_000210_batch3_raw_change_peak_t451.0,ffmpeg,same_action_internal_motion,1
recording_000211_batch3_gt_boundary_t322.2,ffmpeg,visibility_or_offscreen,0
