stored_label,occurrences,draft_actions,draft_entities,draft_temporal,parser_flags,corrected_actions,corrected_entities,corrected_temporal,note
Seal plastic wrap around bowl rim,2,seal(e1)[{'region': 'rim'}],e1=plastic wrap around bowl,,,,,,
Place plastic wrap over bowl and smooth,2,place(e1) ; smooth(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:smooth",,,,
Crumple and discard used plastic wrap,2,crumple(e1) ; discard(e1),e1=used plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumple/discard",,,,
Pan liquid application cycle,2,pan(e1),e1=liquid application cycle,,unknown_verbs:pan,,,,
Crumple plastic wrap into ball,2,crumple(e1),e1=plastic wrap ball,,unknown_verbs:crumple,,,,
Cover bowl with plastic wrap,2,cover(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,,,,,
Seal box bottom with tape,2,"seal(e1)[{'region': 'bottom', 'instrument': 'tape'}]",e1=box,,,,,,
Assemble cardboard box,2,assemble(e1),e1=cardboard box,,unknown_verbs:assemble,,,,
Smooth plastic wrap on bowl,2,smooth(e1),e1=plastic wrap bowl,,unknown_verbs:smooth,,,,
Wrap bowl with plastic wrap roll,2,wrap(e1)[{'instrument': 'plastic wrap roll'}],e1=bowl,,unknown_verbs:wrap,,,,
Remove excess plastic wrap and finalize wrapping,2,remove(e1) ; finalize(e2),e1=excess plastic wrap ; e2=wrapping,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:finalize",,,,
Store charging cable in drawer,2,store(e1),e1=charging cable drawer,,,,,,
Recoil USB cable,2,recoil(e1),e1=usb cable,,unknown_verbs:recoil,,,,
Cover bowl with new plastic wrap,2,cover(e1)[{'instrument': 'new plastic wrap'}],e1=bowl,,,,,,
Manipulate small transparent object,2,manipulate(e1),e1=small transparent object,,unknown_verbs:manipulate,,,,
Remove cardboard box from black plastic bag,2,remove(e1),e1=cardboard box black plastic bag,,,,,,
Initiate additional mug rinse,1,initiate(e1),e1=additional mug rinse,,"verb_position_uncertain,unknown_verbs:initiate",,,,
Remove wrapped device from first product box,1,remove(e1),e1=wrapped device product box,,,,,,
Unwrap first portable charger from protective packaging,1,unwrap(e1),e1=portable charger protective packaging,,,,,,
Repack first portable charger and close product box,1,repack(e1) ; close(e2),e1=portable charger ; e2=product box,"before(a1,a2):inferred",order_inferred_from_and,,,,
Install sink strainer into drain,1,install(e1),e1=sink strainer drain,,unknown_verbs:install,,,,
Retrieving sheet from pack,1,retrieving(e1),e1=sheet pack,,"verb_position_uncertain,unknown_verbs:retrieving",,,,
Folding sheet,1,folding(e1),e1=sheet,,unknown_verbs:folding,,,,
Telescopic rod extend-retract cycle,1,telescopic(e1),e1=rod extend retract cycle,,unknown_verbs:telescopic,,,,
8th tissue fold and press,1,th(e1) ; press(e1),e1=tissue fold,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,verb_position_uncertain,unknown_verbs:th",,,,
9th tissue fold and press,1,th(e1) ; press(e1),e1=tissue fold,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,verb_position_uncertain,unknown_verbs:th",,,,
Rinse mug after scrubbing,1,rinse(e1) ; scrubbing(e1),e1=mug,"before(a1,a2):stated","object_inherited,unknown_verbs:scrubbing",,,,
Place washed mug on counter,1,place(e1),e1=washed mug counter,,,,,,
Second fold and press tissue,1,fold(e1) ; press(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Third fold and press tissue,1,fold(e1) ; press(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Fill dark bottles from table into bowl,1,fill(e1),e1=dark bottles table bowl,,unknown_verbs:fill,,,,
Display insole side of slippers,1,display(e1)[{'region': 'side'}],e1=insole slippers,,unknown_verbs:display,,,,
Display footbed side of slippers,1,display(e1)[{'region': 'side'}],e1=footbed slippers,,unknown_verbs:display,,,,
Move water bottle from left to center position,1,move(e1)[{'region': 'left'}],e1=water bottle center position,,"verb_position_uncertain,unknown_verbs:move",,,,
Replace used tissue with new one,1,replace(e1)[{'instrument': 'new one'}],e1=used tissue,,,,,,
Wipe table with second tissue,1,wipe(e1)[{'instrument': 'second tissue'}],e1=table,,,,,,
Move water bottle from table center to left,1,move(e1)[{'region': 'left'}],e1=water bottle table center,,unknown_verbs:move,,,,
Fold and discard a paper tissue,1,fold(e1) ; discard(e1),e1=paper tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discard",,,,
Slide bottle back to center from front (upright),1,slide(e1)[{'region': 'back front'}],e1=bottle center upright,,,,,,
Remove and position strainer,1,remove(e1) ; position(e1),e1=strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Slipper inspection cycle,1,slipper(e1),e1=inspection cycle,,unknown_verbs:slipper,,,,
Bottle manipulation over bowl,1,bottle(e1),e1=manipulation bowl,,unknown_verbs:bottle,,,,
Reinstall and adjust sink drain strainer,1,reinstall(e1) ; adjust(e1),e1=sink drain strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reinstall",,,,
Remove sink drain strainer,1,remove(e1),e1=sink drain strainer,,,,,,
Fold second tissue sheet into compact rectangle,1,fold(e1),e1=tissue sheet compact rectangle,,,,,,
Fold a tissue paper into a compact rectangle (starts here),1,fold(e1),e1=tissue paper compact rectangle starts here,,,,,,
Fold third tissue sheet into compact rectangle,1,fold(e1),e1=tissue sheet compact rectangle,,,,,,
Wash hands under running water,1,wash(e1),e1=hands under running water,,,,,,
Wipe countertop with squeegee,1,wipe(e1)[{'instrument': 'squeegee'}],e1=countertop,,,,,,
Clean and re-seat sink strainer,1,clean(e1) ; seat(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:seat",,,,
Hand rinsing under faucet,1,hand(e1),e1=rinsing under faucet,,unknown_verbs:hand,,,,
Wipe back counter behind sink,1,wipe(e1)[{'region': 'back'}],e1=counter behind sink,,,,,,
Second squeegee cleaning session,1,squeegee(e1),e1=cleaning session,,unknown_verbs:squeegee,,,,
Complete sink strainer cleaning cycle,1,complete(e1),e1=sink strainer cleaning cycle,,unknown_verbs:complete,,,,
Clean and replace sink strainer,1,clean(e1) ; replace(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Grasp mug for repositioning,1,grasp(e1),e1=mug repositioning,,,,,,
Shake water off hands,1,shake(e1),e1=water hands,,unknown_verbs:shake,,,,
Fold and crease paper edge,1,fold(e1) ; crease(e1)[{'region': 'edge'}],e1=paper,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Repackage portable charger and close box,1,repackage(e1) ; close(e2),e1=portable charger ; e2=box,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:repackage",,,,
Inspect portable charger,1,inspect(e1),e1=portable charger,,,,,,
"Unbox, inspect, and repackage portable charger (second unit)",1,unbox(e1) ; inspect(e1) ; repackage(e1),e1=portable charger unit,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and,unknown_verbs:repackage/unbox",,,,
Wipe wet surfaces with squeegee,1,wipe(e1)[{'instrument': 'squeegee'}],e1=wet surfaces,,,,,,
Wet counter and wall with water,1,wet(e1) ; wall(e1)[{'instrument': 'water'}],e1=counter,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:wall/wet",,,,
Scrape water from counter corner,1,scrape(e1),e1=water counter corner,,unknown_verbs:scrape,,,,
Install sink strainer,1,install(e1),e1=sink strainer,,unknown_verbs:install,,,,
Remove sink strainer,1,remove(e1),e1=sink strainer,,,,,,
Unbox and inspect first packaged portable charger,1,unbox(e1) ; inspect(e1),e1=packaged portable charger,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unbox",,,,
Wet countertop surface with water,1,"wet(e1)[{'region': 'surface', 'instrument': 'water'}]",e1=countertop,,unknown_verbs:wet,,,,
Wipe sink right rim,1,wipe(e1)[{'region': 'right rim'}],e1=sink,,,,,,
Fold fourth paper sheet,1,fold(e1),e1=paper sheet,,,,,,
Wipe table with paper towel and discard used towel,1,wipe(e1)[{'instrument': 'paper towel'}] ; discard(e2),e1=table ; e2=used towel,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:discard",,,,
Extract tissue from pack,1,extract(e1),e1=tissue pack,,,,,,
Wipe table surface with tissue,1,"wipe(e1)[{'region': 'surface', 'instrument': 'tissue'}]",e1=table,,,,,,
Wipe table and dispose of used tissue,1,wipe(e1) ; dispose(e2),e1=table ; e2=used tissue,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:dispose",,,,
Scrub interior of the mug,1,scrub(e1)[{'region': 'interior'}],e1=mug,,,,,,
Post-scrub mug rinse,1,post(e1),e1=scrub mug rinse,,"verb_position_uncertain,unknown_verbs:post",,,,
Second rinse of mug under running water,1,rinse(e1),e1=mug under running water,,,,,,
Fold side edges and adjust straps and power cord,1,fold(e1)[{'region': 'side'}] ; adjust(e2) ; power(e3),e1=edges ; e2=straps ; e3=cord,"before(a1,a2):inferred ; before(a2,a3):inferred","order_inferred_from_and,unknown_verbs:power",,,,
Lay the electric heat cap flat on the table,1,lay(e1),e1=electric heat cap flat table,,unknown_verbs:lay,,,,
Fold the top portion of the heat cap downward,1,fold(e1)[{'region': 'top'}],e1=portion heat cap downward,,,,,,
Scrub mug interior with fingers,1,"scrub(e1)[{'region': 'interior', 'instrument': 'fingers'}]",e1=mug,,,,,,
Rinse mug interior,1,rinse(e1)[{'region': 'interior'}],e1=mug,,,,,,
Rinse entire mug and set down,1,rinse(e1) ; set(e1),e1=entire mug,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Place keychain into box,1,place(e1),e1=keychain box,,,,,,
Coat pan with liquid using brush,1,coat(e1)[{'instrument': 'liquid using brush'}],e1=pan,,unknown_verbs:coat,,,,
Flatten empty box,1,flatten(e1),e1=empty box,,"verb_position_uncertain,unknown_verbs:flatten",,,,
Store box in plastic bag,1,store(e1),e1=box plastic bag,,,,,,
Handling plastic wrap roll,1,handling(e1),e1=plastic wrap roll,,unknown_verbs:handling,,,,
Position wrap over bowl opening,1,position(e1)[{'region': 'opening'}],e1=wrap bowl,,,,,,
Flip box and open top flaps,1,flip(e1) ; open(e2)[{'region': 'top'}],e1=box ; e2=flaps,"before(a1,a2):inferred",order_inferred_from_and,,,,
Pour liquid from bottle into pan,1,pour(e1),e1=liquid bottle pan,,,,,,
Pick up plastic wrap roll and locate edge,1,pick(e1) ; locate(e1)[{'region': 'edge'}],e1=plastic wrap roll,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:locate",,,,
Unroll a sheet of plastic wrap,1,unroll(e1),e1=sheet plastic wrap,,unknown_verbs:unroll,,,,
Inspect cardboard box interior,1,inspect(e1)[{'region': 'interior'}],e1=cardboard box,,,,,,
Seal box bottom with adhesive tape,1,"seal(e1)[{'region': 'bottom', 'instrument': 'adhesive tape'}]",e1=box,,,,,,
Remove sealing tape from box,1,remove(e1),e1=sealing tape box,,,,,,
Seal second box with tape,1,seal(e1)[{'instrument': 'tape'}],e1=box,,,,,,
Crumpling discarded plastic packaging,1,crumpling(e1),e1=discarded plastic packaging,,unknown_verbs:crumpling,,,,
Discarding crumpled plastic in trash bin,1,discarding(e1),e1=crumpled plastic trash bin,,unknown_verbs:discarding,,,,
Wipe kettle lid and top cap,1,wipe(e1)[{'region': 'lid'}] ; top(e2),e1=kettle ; e2=cap,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:top",,,,
Wipe upper kettle body,1,wipe(e1)[{'region': 'upper body'}],e1=kettle,,,,,,
Press and seal plastic wrap on the bowl,1,press(e1) ; seal(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Unroll and tear plastic wrap to cover the bowl,1,unroll(e1) ; tear(e1),e1=plastic wrap cover bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unroll",,,,
Unwrap plastic wrap from a bowl,1,unwrap(e1),e1=plastic wrap bowl,,,,,,
Unroll plastic wrap to required length,1,unroll(e1),e1=plastic wrap required length,,unknown_verbs:unroll,,,,
Adjust bowl and prepare plastic wrap roll,1,adjust(e1) ; prepare(e2),e1=bowl ; e2=plastic wrap roll,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:prepare",,,,
Place and smooth plastic wrap over the bowl,1,place(e1) ; smooth(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:smooth",,,,
Inspect and adjust covered bowl,1,inspect(e1) ; adjust(e1),e1=covered bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Secure wrap around bowl rim,1,secure(e1)[{'region': 'rim'}],e1=wrap around bowl,,,,,,
Unroll and cut plastic wrap,1,unroll(e1) ; cut(e1),e1=plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:cut/unroll",,,,
Crumple plastic wrap,1,crumple(e1),e1=plastic wrap,,unknown_verbs:crumple,,,,
Seal bowl with plastic wrap,1,seal(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,,,,,
Close and reseal box top with tape,1,"close(e1) ; reseal(e1)[{'region': 'top', 'instrument': 'tape'}]",e1=box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reseal",,,,
Open box top and inspect interior,1,open(e1)[{'region': 'top'}] ; inspect(e1)[{'region': 'interior'}],e1=box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Rotate box and remove tape from second end,1,rotate(e1) ; remove(e2),e1=box ; e2=tape end,"before(a1,a2):inferred",order_inferred_from_and,,,,
Unpack cardboard box from plastic bag,1,unpack(e1),e1=cardboard box plastic bag,,unknown_verbs:unpack,,,,
Open box and retrieve USB drive,1,open(e1) ; retrieve(e2),e1=box ; e2=usb drive,"before(a1,a2):inferred",order_inferred_from_and,,,,
Inspecting the covered bowl,1,inspecting(e1),e1=covered bowl,,unknown_verbs:inspecting,,,,
Sealing and smoothing plastic wrap around the bowl,1,sealing(e1) ; smoothing(e1),e1=plastic wrap around bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:sealing/smoothing",,,,
Crumpling plastic wrap,1,crumpling(e1),e1=plastic wrap,,unknown_verbs:crumpling,,,,
Tuck and seal wrap around bowl,1,tuck(e1) ; seal(e1),e1=wrap around bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:tuck",,,,
Wrap a bowl with new plastic wrap,1,wrap(e1)[{'instrument': 'new plastic wrap'}],e1=bowl,,unknown_verbs:wrap,,,,
Assemble and seal cardboard box,1,assemble(e1) ; seal(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:assemble",,,,
Collapse and store empty cardboard box,1,collapse(e1) ; store(e1),e1=empty cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:collapse",,,,
"Open, inspect, and re-seal cardboard box",1,open(e1) ; inspect(e1) ; seal(e1),e1=cardboard box,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and",,,,
Unroll plastic wrap from roll and position over bowl,1,unroll(e1) ; position(e2),e1=plastic wrap roll ; e2=bowl,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:unroll",,,,
Wrapping bowl with plastic wrap from roll,1,wrapping(e1)[{'instrument': 'plastic wrap roll'}],e1=bowl,,unknown_verbs:wrapping,,,,
Pack USB drive into outer box and seal the other end,1,pack(e1)[{'region': 'outer'}] ; seal(e2),e1=usb drive box ; e2=other end,"before(a1,a2):inferred",order_inferred_from_and,,,,
Seal one end of outer box with tape,1,"seal(e1)[{'region': 'outer', 'instrument': 'tape'}]",e1=one end box,,,,,,
Remove packing tape from first box end,1,remove(e1),e1=packing tape box end,,,,,,
Retrieve and reassemble cardboard box,1,retrieve(e1) ; reassemble(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reassemble",,,,
Repack USB drive into cardboard box,1,repack(e1),e1=usb drive cardboard box,,,,,,
Recheck box contents and reseal the top end,1,recheck(e1) ; reseal(e2)[{'region': 'top'}],e1=box contents ; e2=end,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:recheck/reseal",,,,
Verify box contents and seal the top end with tape,1,"verify(e1) ; seal(e2)[{'region': 'top', 'instrument': 'tape'}]",e1=box contents ; e2=end,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:verify",,,,
Place the sealed box upright on the table,1,place(e1),e1=sealed box upright table,,,,,,
Remove and crumple plastic wrap,1,remove(e1) ; crumple(e1),e1=plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumple",,,,
Drape plastic wrap over the bowl,1,drape(e1),e1=plastic wrap bowl,,unknown_verbs:drape,,,,
Prepare plastic wrap roll,1,prepare(e1),e1=plastic wrap roll,,unknown_verbs:prepare,,,,
Seal plastic wrap around the bowl,1,seal(e1),e1=plastic wrap around bowl,,,,,,
Unpack USB drive from cardboard box,1,unpack(e1),e1=usb drive cardboard box,,unknown_verbs:unpack,,,,
Unpack and unfold flattened box,1,unpack(e1) ; unfold(e1),e1=flattened box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unfold/unpack",,,,
Flatten cardboard box and store in plastic bag,1,flatten(e1) ; store(e2),e1=cardboard box ; e2=plastic bag,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:flatten",,,,
Cover bowl with wrap,1,cover(e1)[{'instrument': 'wrap'}],e1=bowl,,,,,,
Apply plastic wrap to bowl,1,apply(e1),e1=plastic wrap bowl,,unknown_verbs:apply,,,,
Fold wrap to seal bowl,1,fold(e1),e1=wrap seal bowl,,,,,,
Store cardboard box in plastic bag,1,store(e1),e1=cardboard box plastic bag,,,,,,
Remove adhesive tape from box side panel,1,remove(e1)[{'region': 'side'}],e1=adhesive tape box panel,,,,,,
Retrieve cardboard box from plastic bag,1,retrieve(e1),e1=cardboard box plastic bag,,,,,,
Flatten empty box and stow in plastic bag,1,flatten(e1) ; stow(e2),e1=empty box ; e2=plastic bag,"before(a1,a2):inferred","order_inferred_from_and,verb_position_uncertain,unknown_verbs:flatten/stow",,,,
Remove USB drive from cardboard box,1,remove(e1),e1=usb drive cardboard box,,,,,,
Retrieve and reshape cardboard box,1,retrieve(e1) ; reshape(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reshape",,,,
Adhere plastic wrap around bowl to table,1,adhere(e1),e1=plastic wrap around bowl table,,unknown_verbs:adhere,,,,
Start new plastic wrap application,1,start(e1),e1=new plastic wrap application,,unknown_verbs:start,,,,
Seal plastic wrap around right/front/back sides of the bowl,1,seal(e1)[{'region': 'right'}] ; front(e1) ; back(e2),e1=plastic wrap around ; e2=sides bowl,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and,unknown_verbs:back/front",,,,
Apply liquid to pan with brush and bottle,1,apply(e1)[{'instrument': 'brush'}] ; bottle(e1),e1=liquid pan,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:apply/bottle",,,,
Retrieve USB drive from the box,1,retrieve(e1),e1=usb drive box,,,,,,
Unseal and open cardboard box,1,unseal(e1) ; open(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Place the box into black plastic bag,1,place(e1),e1=box black plastic bag,,,,,,
Place item in box and close flaps,1,place(e1) ; close(e2),e1=item box ; e2=flaps,"before(a1,a2):inferred",order_inferred_from_and,,,,
Unroll plastic wrap over bowl,1,unroll(e1),e1=plastic wrap bowl,,unknown_verbs:unroll,,,,
Tighten wrap and tear from roll,1,tighten(e1) ; tear(e2),e1=wrap ; e2=roll,"before(a1,a2):inferred",order_inferred_from_and,,,,
Unwrap plastic wrap from bowl,1,unwrap(e1),e1=plastic wrap bowl,,,,,,
Cover bowl with plastic cling wrap,1,cover(e1)[{'instrument': 'plastic cling wrap'}],e1=bowl,,,,,,
Applying plastic wrap to bowl,1,applying(e1),e1=plastic wrap bowl,,unknown_verbs:applying,,,,
Secure plastic wrap around bowl edges,1,secure(e1),e1=plastic wrap around bowl edges,,,,,,
Test charging cable with phone,1,test(e1)[{'instrument': 'phone'}],e1=charging cable,,unknown_verbs:test,,,,
Retrieve charging cable from drawer,1,retrieve(e1),e1=charging cable drawer,,,,,,
Unroll plastic wrap from roll,1,unroll(e1),e1=plastic wrap roll,,unknown_verbs:unroll,,,,
