revised_temporal_pair_subtype,morphology_target,ontology_confidence,ontology_reason,suggested_candidate_relation,suggested_corrected_boundary_time,revision_source,previous_temporal_pair_subtype,interval_morphology_subtype_blind,interval_morphology_confidence_blind,interval_morphology_reason_blind,event_id,clip,prev_segment_label,next_segment_label,containing_segment_label
gradual_phase_transition,INTERVAL_TRANSITION,2_lean,从右手持充电线 inspection 到左手持待充物体、右手寻找位置并插入；真正插入是瞬时的，但此前约2秒的寻找/对准已逐渐进入新 phase。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,point_like,2_lean,连接头从持续检查/展示状态突然重新定向并开始朝左侧设备移动，主要 interaction shift 集中在较短时间内。,recording_000156_batch3_gt_boundary_t254.0,recording_000156_batch3_gt_boundary_t254.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,2_lean,冲洗塞子、关水并把塞子放回水槽属于同一个处理塞子的连续流程；关水是内部步骤。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,2_lean,手持续围绕同一 sink interaction 做调整，前后状态逐步变化，但看不到一个可重复指出的瞬时切换点。,recording_000163_batch3_raw_change_peak_t397.0,recording_000163_batch3_raw_change_peak_t397.0.mp4,,,
sharp_visible_transition,POINT_TRANSITION,3_sure,双手整理数据线后，右手打开柜子并把数据线放入；从整理到收纳的 task goal 在短时间内明确改变。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,3_sure,手中线材仍被持有和整理时，另一只手已经开始打开抽屉并准备放入，旧对象交互与新 target interaction 明显重叠。,recording_000465_early_t599.0,recording_000465_early_t599.0.mp4,Recoil charging cable,Store recoil charging cable in drawer,
same_action_internal_motion,NO_TRANSITION,3_sure,双手拿杯、右手开水龙头并冲洗杯子属于一个连续的拿杯冲洗流程，没有达到当前分割颗粒度下的新动作。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,3_sure,左手持续持杯时，右手已经离开杯子并转去操作水龙头，旧交互尚未完全结束而新交互已经开始。,recording_000028_batch3_raw_change_peak_t273.0,recording_000028_batch3_raw_change_peak_t273.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,扯开保鲜膜、封到碗上并按压碗口属于一个完整 wrapping action。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,2_lean,从持卷材并操作小部件，到逐步放开/移动卷材，再转入压平透明膜，由多个步骤组成而非一个独立切点。,recording_000388_false_mid_segment_t618.0,recording_000388_false_mid_segment_t618.0.mp4,,,Unroll plastic wrap to required length
same_action_internal_motion,NO_TRANSITION,2_lean,冲洗塞子、关水并放回水槽属于同一个完整动作；约151秒是整个动作结束附近，不把关水内部步骤单独切开。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,3_sure,先结束 drain interaction、双手释放/短暂停顿，再重新 reach 并接触 faucet，典型 release→idle→reach→new-contact 多步骤转换。,recording_000213_late_t150.0,recording_000213_late_t150.0.mp4,"Remove, rinse and reseat sink strainer","Remove, rinse and reseat sink strainer",
ambiguous,MASKED,1_guess,缠绕电线完成后打开柜门并把充电器放入柜子；若按 task goal 分为“整理电线”和“收纳”则是 point，但当前颗粒度是否应拆成两个动作尚未确定。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,3_sure,从整理/持住卷好的线缆，到将线缆移向桌边/抽屉再放入，经过搬移和放置等多个步骤。,recording_000145_batch3_gt_boundary_t558.0,recording_000145_batch3_gt_boundary_t558.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,全程都在整理雨伞，没有新的 task-level action。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,2_lean,始终在同一袋体上连续拉、铺、调整，形态逐渐改变，没有清晰 contact reset 或单一切换瞬间。,recording_000029_batch3_raw_change_peak_t163.0,recording_000029_batch3_raw_change_peak_t163.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,2_lean,冲洗塞子、关水并放回水槽属于同一个处理/清洗流程，关水只是内部步骤。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,ambiguous_interval,2_lean,interaction 从 faucet 区域转到 sink/drain 区域的同时伴随明显视角移动，难以稳定判断变化本身究竟是 compact 还是 extended。,recording_000206_batch3_raw_change_peak_t616.0,recording_000206_batch3_raw_change_peak_t616.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,secure 保鲜膜到持膜杆/撕膜属于同一个 wrapping 动作内部阶段；约377秒有局部模式改变但不达到 segment boundary 粒度。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,point_like,3_sure,右手持续压平透明膜后，在很短时间内抬起并转为捏持/操作小部件，存在清楚的局部 interaction reset。,recording_000388_false_mid_segment_t375.5,recording_000388_false_mid_segment_t375.5.mp4,,,Cover bowl with wrap
visibility_or_offscreen,UNOBSERVABLE,3_sure,关键手部交互一直在画面外，无法从视频确定该候选处的真实视觉 transition。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,ambiguous_interval,2_lean,前景手部交互信息不完整，同时远处人物持续进行相似操作；仅凭这段无法稳定确定一个 transition topology。,recording_000048_batch3_raw_change_peak_t528.0,recording_000048_batch3_raw_change_peak_t528.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,视频仅展示左手持续扯开保鲜膜，没有观察到达到 task-level 粒度的新动作。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,2_lean,卷材交互仍持续时，另一只手已开始处理圆形容器/透明膜区域，两个 interaction regime 有明显并存阶段。,recording_000431_false_mid_segment_t427.5,recording_000431_false_mid_segment_t427.5.mp4,,,Unroll and tear plastic wrap sheet
gradual_phase_transition,INTERVAL_TRANSITION,3_sure,抽纸并折叠纸巾逐步过渡到按着纸巾擦桌子；折叠纸巾阶段可视为两个动作之间的 overlap/bridge，没有唯一瞬时切点。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,3_sure,从抽出纸巾、展开、重新抓持到铺到桌面，是一连串离散步骤，而不是单一瞬间完成的切换。,recording_000050_batch3_gt_boundary_t291.5,recording_000050_batch3_gt_boundary_t291.5.mp4,,,
gradual_phase_transition,INTERVAL_TRANSITION,3_sure,从双手检查充电宝逐步过渡到左手拿盒、右手把充电器放入盒中；约34秒附近进入装盒，但 approach/alignment/insert 形成过渡区间。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,2_lean,从检查/旋转设备到对准包装、接触包装并放入，是 orient→approach→insert 的多步骤转换。,recording_000197_batch3_raw_change_peak_t32.0,recording_000197_batch3_raw_change_peak_t32.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,主动作持续不变；中间抬左手看一次手表属于短暂干扰，不应切断主任务。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,3_sure,两个白色物件持续被移动、对齐并排放，状态是逐步形成的，没有一个唯一且突出的切换瞬间。,recording_000158_batch3_gt_boundary_t622.5,recording_000158_batch3_gt_boundary_t622.5.mp4,,,
same_action_internal_motion,NO_TRANSITION,2_lean,冲洗、关水、放回水槽属于同一动作；约326秒是整个动作结束附近，而不是内部步骤之间的新 boundary。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,2_lean,从持取/调整小部件到在 drain 中安置，再到手离开，包含连续几个离散 micro-step，不像单一 switch。,recording_000179_batch3_raw_change_peak_t324.0,recording_000179_batch3_raw_change_peak_t324.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,双手拿起遥控器并翻转属于同一个连续动作；约4秒的 pickup 是动作内部开始，不是9.5秒附近的新 task transition。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,point_like,3_sure,遥控器从背面朝上到按键面朝上的翻转发生在很紧凑的时间段内，是非常明确的 point-like state change。,recording_000150_missed_weak_signal_t9.5,recording_000150_missed_weak_signal_t9.5.mp4,,Flip remote control to opposite side,
same_action_internal_motion,NO_TRANSITION,3_sure,左手扯膜、覆盖到碗上并撕开保鲜膜属于同一个 wrapping action。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,3_sure,右手继续稳定持卷材的同时，左手从膜面操作逐渐进入圆形容器交互，是很明确的双 interaction overlap。,recording_000438_false_mid_segment_t476.0,recording_000438_false_mid_segment_t476.0.mp4,,,Unroll plastic wrap from roll and position over bowl
same_action_internal_motion,NO_TRANSITION,3_sure,全程是在用胶带封住纸箱开口，属于同一个封箱动作。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,2_lean,围绕同一个盒子先处理封口/边缘，再逐步转为打开盒盖，中间包含多个连续 micro-step，没有单一瞬时切换。,recording_000282_false_mid_segment_t412.5,recording_000282_false_mid_segment_t412.5.mp4,,,Pack USB drive into outer box and seal the other end
same_action_internal_motion,NO_TRANSITION,3_sure,同一个碗上一直铺保鲜膜，从压平到撕膜属于同一 wrapping action 的内部阶段。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,3_sure,从局部处理透明膜到压平，再逐渐转向接触并抓取圆形容器，几个阶段连续衔接，没有唯一 transition instant。,recording_000406_exact_t490.3,recording_000406_exact_t490.3.mp4,Handling plastic wrap roll,Position wrap over bowl opening,
same_action_internal_motion,NO_TRANSITION,2_lean,放置/取出下水道塞子、开水龙头并冲洗可视为同一个处理/清洗塞子的完整流程；开水龙头只是嵌入步骤。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,2_lean,围绕中心时刻一直在同一 drain/strainer 区域连续操作，随后逐渐从原位操作过渡到提起/转移，没有单一明显 reset。,recording_000161_batch3_raw_change_peak_t599.0,recording_000161_batch3_raw_change_peak_t599.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,扯开保鲜膜、覆盖到碗上并按压碗口属于同一个动作。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,2_lean,手始终围绕同一卷材/小部件连续调整，接触关系与姿态逐渐演化，没有明显的一次 release/recontact 或对象切换。,recording_000406_missed_weak_signal_t556.6,recording_000406_missed_weak_signal_t556.6.mp4,Pick up plastic wrap roll and locate edge,Unroll a sheet of plastic wrap,
same_action_internal_motion,NO_TRANSITION,3_sure,扯膜、覆盖、撕开并双手按压碗口共同组成一个完整 wrapping action。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,3_sure,一侧仍维持卷材/膜面的原有交互时，另一只手已经开始转向圆形容器，新旧 interaction 在时间上明显重叠。,recording_000419_false_mid_segment_t605.5,recording_000419_false_mid_segment_t605.5.mp4,,,Apply new plastic wrap to bowl
same_action_internal_motion,NO_TRANSITION,2_lean,冲洗塞子、关水并放回水槽仍属于同一完整处理流程。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,3_sure,同一小物体在 faucet 附近持续被旋转、调整并逐渐移向 sink，下一个 phase 是连续形成的。,recording_000185_batch3_raw_change_peak_t407.0,recording_000185_batch3_raw_change_peak_t407.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,全程都在整理雨伞，局部操作变化属于同一动作内部运动。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,2_lean,对袋/布料边缘的小部件处理逐步从工具/固定转到提起、分离小片，变化由几个连续 micro-events 组成。,recording_000029_batch3_gt_boundary_t519.0,recording_000029_batch3_gt_boundary_t519.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,secure 保鲜膜、持膜杆并撕下保鲜膜按当前颗粒度属于同一个 wrapping/covering 动作内部阶段。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,point_like,3_sure,右手从持续捏持/操作小部件较集中地切换为张开手掌并开始压平透明膜，interaction mode 的改变比较紧凑。,recording_000388_false_mid_segment_t124.5,recording_000388_false_mid_segment_t124.5.mp4,,,Unroll plastic wrap from roll
same_action_internal_motion,NO_TRANSITION,3_sure,始终是双手拿着拖鞋并改变朝向；快速逆时针/顺时针摆动只是同一动作内部的姿态和方向变化。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,point_like,2_lean,两组白色垫片原本保持稳定排列，随后其中一组在较短时间内被明显翻转/重排并进入新构型，变化较集中。,recording_000220_exact_t522.0,recording_000220_exact_t522.0.mp4,,Slipper inspection cycle,
