event_id,instance_relation,transition_shape,relation_source,shape_source,evidence,detail
recording_000009_batch3_raw_change_peak_t677.0,cannot_determine,not_observable,double_48,double_48,关键动作在画面外，无法判断该候选处是否存在可见 transition。,call=cannot prose=cannot_determine resolved_by=call
recording_000011_batch3_raw_change_peak_t218.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000011_batch3_raw_change_peak_t260.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000011_batch3_raw_change_peak_t352.0,same_action_new_instance,gap,double_48,double_48,双手插好数据线并放好，手短暂离开/idle，再伸向数据线把它打开；两个动作之间有短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000013_batch3_gt_boundary_t516.0,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000017_batch3_raw_change_peak_t674.0,UNKNOWN,UNKNOWN,,,,
recording_000019_batch3_gt_boundary_t112.5,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000019_batch3_gt_boundary_t173.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000019_batch3_gt_boundary_t9.5,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000020_batch3_raw_change_peak_t67.0,new_action,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,双手把杯子放桌面并释放进入idle，随后重新拿杯并打开水龙头冲洗；前后task-level goal不同。,confidence=3_sure
recording_000022_missed_signal_present_not_top_t366.5,new_action,gradual,relation_audit_54,ontology_37,前面是接水/冲洗杯子，随后右手进入杯内开始搓洗；从rinse转为scrub，是新的task-level action。,confidence=3_sure
recording_000022_missed_weak_signal_t466.8,same_action_new_instance,point,relation_audit_54,legacy:pair_labels_v1.csv,一轮接水/冲洗/倒水并放下杯子完成，双手释放idle，随后重新拿起杯子开始下一轮同类冲洗动作。,confidence=3_sure
recording_000023_batch3_raw_change_peak_t333.0,same_action_new_instance,gap,double_48,double_48,双手插好数据线并放好，手短暂离开/idle，再伸向数据线把它打开；两个动作之间有短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000023_batch3_raw_change_peak_t7.0,UNKNOWN,UNKNOWN,,,,
recording_000024_batch3_raw_change_peak_t584.0,same_action_new_instance,gap,double_48,double_48,拿出海绵放桌上并离手；随后拿起碗、开水龙头接水；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000025_batch3_gt_boundary_t112.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000025_batch3_gt_boundary_t413.5,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000025_batch3_gt_boundary_t516.0,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000026_batch3_raw_change_peak_t206.0,same_action_new_instance,gap,double_48,double_48,手伸向数据线并打开，随后离开；再由双手开始缠数据线；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000027_batch3_gt_boundary_t142.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000027_batch3_gt_boundary_t541.0,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000028_batch3_raw_change_peak_t273.0,same_instance,not_applicable,ontology_37,ontology_37,双手拿杯、右手开水龙头并冲洗杯子属于一个连续的拿杯冲洗流程，没有达到当前分割颗粒度下的新动作。,
recording_000029_batch3_gt_boundary_t519.0,same_instance,not_applicable,ontology_37,ontology_37,全程都在整理雨伞，局部操作变化属于同一动作内部运动。,
recording_000029_batch3_raw_change_peak_t163.0,same_instance,not_applicable,ontology_37,ontology_37,全程都在整理雨伞，没有新的 task-level action。,
recording_000029_batch3_raw_change_peak_t442.0,same_action_new_instance,gap,double_48,double_48,双手把伞缠好并离开，之后重新取伞并打开伞面；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000030_exact_t12.2,UNKNOWN,UNKNOWN,,,,
recording_000030_false_gap_t556.0,same_action_new_instance,point,relation_audit_54,legacy:pair_labels_v1.csv,一次杯子左→右移动完成后双手释放并idle，随后重新抓杯开始反向移动；有明确disengagement和重新接触。,confidence=3_sure
recording_000030_late_t387.5,same_action_new_instance,point,relation_audit_54,legacy:pair_labels_v1.csv,一次杯子左右移动实例结束后双手释放idle，再重新抓取开始下一次同类移动实例。,confidence=3_sure
recording_000030_late_t501.0,same_action_new_instance,point,relation_audit_54,legacy:pair_labels_v1.csv,一次杯子左右移动实例结束后双手释放idle，再重新抓取开始下一次同类移动实例。,confidence=3_sure
recording_000033_batch3_raw_change_peak_t566.0,same_action_new_instance,gap,double_48,double_48,把碗里的水倒出并放桌上、双手离开；随后重新拿起碗到水龙头下并开水冲洗；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000035_batch3_gt_boundary_t473.0,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000035_batch3_raw_change_peak_t132.0,same_action_new_instance,gap,double_48,double_48,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000035_batch3_raw_change_peak_t351.0,same_action_new_instance,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,杯子一次移动完成后双手释放idle，随后重新抓取开始下一次同类移动实例。,confidence=3_sure
recording_000037_early_t156.0,same_instance,point,relation_audit_54,legacy:pair_labels_v1.csv,接水、冲洗、倒水并把杯子放桌上构成一个连续实例，中间没有明显disengagement/reset。,confidence=3_sure
recording_000042_batch3_raw_change_peak_t234.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000046_missed_signal_present_not_top_t378.7,new_action,point,relation_audit_54,legacy:pair_labels_v1.csv,可见流程从团纸巾并丢弃切到抽取并折叠新纸巾；task-level action改变，但手部位于画面边缘，判断依赖一定上下文推断。,confidence=2_lean
recording_000048_batch3_raw_change_peak_t528.0,cannot_determine,not_observable,ontology_37,ontology_37,关键手部交互一直在画面外，无法从视频确定该候选处的真实视觉 transition。,
recording_000048_batch3_raw_change_peak_t96.0,new_action,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,可见流程从团纸巾并丢弃切到抽取并折叠新纸巾；task-level action改变，但手部位于画面边缘，判断依赖一定上下文推断。,confidence=2_lean
recording_000049_batch3_gt_boundary_t94.5,same_action_new_instance,gap,double_48,double_48,擦桌子→把纸扔进垃圾桶→拿新纸巾并折叠；两个动作之间手短暂腾空，属于短过渡区间。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000049_batch3_raw_change_peak_t325.0,same_action_new_instance,gap,double_48,double_48,擦桌子→把纸扔进垃圾桶→拿新纸巾并折叠；两个动作之间手短暂腾空，属于短过渡区间。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000050_batch3_gt_boundary_t291.5,new_action,gradual,relation_audit_54,ontology_37,丢弃旧纸巾后抽取并折叠新纸巾，随后开始擦桌子；candidate两侧属于不同task-level action，即使中间没有明显idle。,confidence=3_sure
recording_000050_batch3_raw_change_peak_t104.0,new_action,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,从擦桌子转为团纸并丢弃、再抽取新纸巾；task-level goal改变，即使动作连续没有明显disengagement。,confidence=3_sure
recording_000053_late_t207.5,new_action,point,relation_audit_54,legacy:pair_labels_v1.csv,可见流程从丢弃旧纸巾转为抽取/折叠新纸巾并开始擦桌子；task-level action改变，但手部位于画面边缘，需要一定上下文推断。,confidence=2_lean
recording_000053_missed_weak_signal_t486.0,cannot_determine,not_observable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000054_batch3_raw_change_peak_t47.0,same_instance,not_applicable,double_48,double_48,同一个动作：双手按着纸巾在桌面上大幅度擦桌子。,call=same prose=UNKNOWN resolved_by=call
recording_000055_batch3_raw_change_peak_t560.0,UNKNOWN,UNKNOWN,,,,
recording_000056_batch3_gt_boundary_t209.5,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000056_batch3_gt_boundary_t261.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000056_batch3_gt_boundary_t277.0,cannot_determine,not_observable,double_48,double_48,关键动作在画面外，无法判断。,call=cannot prose=cannot_determine resolved_by=call
recording_000057_batch3_raw_change_peak_t149.0,same_instance,not_applicable,double_48,double_48,同一个动作：双手按着纸巾在桌面上大幅度擦桌子。,call=same prose=UNKNOWN resolved_by=call
recording_000057_batch3_raw_change_peak_t524.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000058_batch3_raw_change_peak_t585.0,new_action,gradual,relation_audit_54,ontology_37,丢弃旧纸巾后立即抽取并折叠新纸巾，随后开始擦桌子；虽然中间没有idle，但task-level action发生改变。,confidence=3_sure
recording_000061_early_t167.3,cannot_determine,point,relation_audit_54,legacy:pair_labels_v1.csv,大部分关键手部动作在画面外，只能看到candidate附近双手抽取纸巾并折好，无法可靠确定两侧relation。,confidence=3_sure
recording_000063_batch3_raw_change_peak_t631.0,UNKNOWN,UNKNOWN,,,,
recording_000064_batch3_raw_change_peak_t401.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000065_batch3_raw_change_peak_t466.0,same_instance,not_applicable,double_48,double_48,同一个动作：双手按着纸巾在桌面上大幅度擦桌子。,call=same prose=UNKNOWN resolved_by=call
recording_000066_batch3_raw_change_peak_t190.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000067_batch3_gt_boundary_t440.5,new_action,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,丢旧纸巾→准备新纸巾→开始擦桌子，task-level action改变，即使中间没有明显中断。,confidence=3_sure
recording_000068_batch3_gt_boundary_t57.5,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000068_batch3_raw_change_peak_t464.0,cannot_determine,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,candidate前关键手部动作在画面外；candidate后可见丢旧纸并取新纸，但两侧relation无法可靠确定。,confidence=3_sure
recording_000069_batch3_gt_boundary_t330.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000071_batch3_gt_boundary_t160.5,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000072_batch3_gt_boundary_t269.5,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000072_batch3_gt_boundary_t629.0,UNKNOWN,UNKNOWN,,,,
recording_000073_batch3_raw_change_peak_t197.0,UNKNOWN,UNKNOWN,,,,
recording_000074_batch3_gt_boundary_t182.0,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000074_batch3_gt_boundary_t200.0,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000075_batch3_gt_boundary_t191.5,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000075_batch3_raw_change_peak_t611.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000077_batch3_gt_boundary_t328.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000079_batch3_raw_change_peak_t156.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000080_early_t113.0,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000080_false_gap_t169.0,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000080_late_t559.5,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000081_batch3_gt_boundary_t397.0,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000081_batch3_raw_change_peak_t222.0,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000081_batch3_raw_change_peak_t398.0,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000086_duplicate_t530.5,UNKNOWN,UNKNOWN,,,,
recording_000088_batch3_gt_boundary_t275.0,same_instance,UNKNOWN,relation_audit_54,,双手持续按着纸巾小幅度擦桌子，中间没有disengagement或reset。,confidence=3_sure
recording_000088_batch3_gt_boundary_t371.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000088_batch3_raw_change_peak_t651.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000089_batch3_raw_change_peak_t191.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000091_batch3_raw_change_peak_t343.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000092_batch3_raw_change_peak_t529.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000096_batch3_gt_boundary_t516.0,UNKNOWN,UNKNOWN,,,,
recording_000096_batch3_raw_change_peak_t185.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000096_batch3_raw_change_peak_t608.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000096_batch3_raw_change_peak_t77.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000097_batch3_gt_boundary_t176.5,UNKNOWN,UNKNOWN,,,,
recording_000098_batch3_raw_change_peak_t617.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000099_batch3_gt_boundary_t474.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000100_batch3_gt_boundary_t476.0,UNKNOWN,UNKNOWN,,,,
recording_000100_batch3_raw_change_peak_t646.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000101_batch3_gt_boundary_t429.5,UNKNOWN,UNKNOWN,,,,
recording_000101_batch3_gt_boundary_t48.0,same_instance,UNKNOWN,relation_audit_54,,双手持续按着纸巾中等幅度擦桌子，中间没有disengagement或reset。,confidence=3_sure
recording_000101_batch3_raw_change_peak_t145.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000102_duplicate_t164.5,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000102_duplicate_t471.5,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000102_early_t164.0,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000102_false_mid_segment_t439.0,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000102_false_mid_segment_t484.0,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000102_missed_weak_signal_t23.5,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000102_missed_weak_signal_t95.0,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000103_batch3_gt_boundary_t333.0,same_instance,UNKNOWN,relation_audit_54,,双手持续按着纸巾小幅度擦桌子，中间没有disengagement或reset。,confidence=3_sure
recording_000104_batch3_gt_boundary_t392.0,same_action_new_instance,UNKNOWN,relation_audit_54,,擦桌子实例中双手离开纸巾并进入idle，随后重新接触纸巾继续同一擦桌动作；有明确release/idle和re-engagement。,confidence=3_sure
recording_000105_false_gap_t501.5,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000105_false_gap_t505.5,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000105_missed_signal_present_not_top_t582.0,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000105_missed_weak_signal_t72.0,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000108_batch3_gt_boundary_t337.0,UNKNOWN,UNKNOWN,,,,
recording_000108_batch3_gt_boundary_t517.5,same_instance,UNKNOWN,relation_audit_54,,双手持续按着纸巾小幅度擦桌子，中间没有disengagement或reset。,confidence=3_sure
recording_000108_batch3_raw_change_peak_t590.0,UNKNOWN,UNKNOWN,,,,
recording_000110_false_gap_t178.5,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000110_false_near_edge_t504.0,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000112_false_mid_segment_t429.0,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000114_batch3_gt_boundary_t498.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000116_exact_t435.2,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000116_false_near_edge_t562.0,same_instance,not_applicable,legacy:pair_labels_v1.csv,legacy:pair_labels_v1.csv,,
recording_000120_batch3_gt_boundary_t32.1,UNKNOWN,UNKNOWN,,,,
recording_000121_batch3_gt_boundary_t179.5,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000121_batch3_raw_change_peak_t556.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000122_batch3_raw_change_peak_t544.0,cannot_determine,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,candidate前可见右手把物件放入柜子、撤出后再进入取出；candidate后关键动作在画面外，因此两侧relation无法可靠确定。,confidence=3_sure
recording_000125_batch3_gt_boundary_t386.0,UNKNOWN,UNKNOWN,,,,
recording_000125_batch3_raw_change_peak_t126.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000126_batch3_raw_change_peak_t225.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000127_batch3_gt_boundary_t220.0,UNKNOWN,UNKNOWN,,,,
recording_000127_batch3_gt_boundary_t304.0,UNKNOWN,UNKNOWN,,,,
recording_000127_batch3_gt_boundary_t572.1,UNKNOWN,UNKNOWN,,,,
recording_000127_batch3_gt_boundary_t93.0,UNKNOWN,UNKNOWN,,,,
recording_000131_batch3_gt_boundary_t172.8,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000133_batch3_raw_change_peak_t295.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000134_false_near_edge_t130.0,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000134_false_near_edge_t562.5,UNKNOWN,point,,legacy:pair_labels_v1.csv,,
recording_000135_batch3_gt_boundary_t559.0,new_action,UNKNOWN,relation_audit_54,,双手先盘/整理充电线，随后拆开并把插头插入墙上插座；task-level goal从整理线缆转为连接/插电，中间虽连续但action改变。,confidence=3_sure
recording_000137_batch3_raw_change_peak_t299.0,new_action,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,先整理充电线，释放并idle后再开始缠好充电线；存在明确reset，且前后操作目标可视为不同task-level phase。,confidence=2_lean
recording_000138_batch3_gt_boundary_t569.0,UNKNOWN,UNKNOWN,,,,
recording_000139_batch3_gt_boundary_t572.1,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000140_batch3_raw_change_peak_t166.0,UNKNOWN,point,,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000140_batch3_raw_change_peak_t574.0,new_action,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,前面完成充电器连接，随后释放idle，再把两端拔下并缠线；从连接/插入转为拆除/整理，task-level action明确改变。,confidence=3_sure
recording_000141_batch3_gt_boundary_t203.5,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000141_batch3_gt_boundary_t305.0,UNKNOWN,UNKNOWN,,,,
recording_000141_batch3_gt_boundary_t388.5,UNKNOWN,UNKNOWN,,,,
recording_000141_batch3_gt_boundary_t408.5,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000141_batch3_gt_boundary_t450.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000141_batch3_raw_change_peak_t418.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000144_batch3_gt_boundary_t40.5,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000144_batch3_raw_change_peak_t171.0,same_instance,not_applicable,double_48,double_48,同一个动作：左手拿遥控器、右手支撑，大拇指在遥控器上活动。,call=same prose=UNKNOWN resolved_by=call
recording_000145_batch3_gt_boundary_t558.0,new_action,gap,relation_audit_54,topology_37,把充电线缠好后转为放入柜子收纳，并最终进入idle；从整理线缆转为收纳，按task goal判断为新动作。,confidence=2_lean
recording_000146_batch3_gt_boundary_t524.0,UNKNOWN,UNKNOWN,,,,
recording_000146_batch3_raw_change_peak_t615.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000147_batch3_raw_change_peak_t265.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000149_batch3_gt_boundary_t101.6,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000149_batch3_gt_boundary_t141.0,UNKNOWN,UNKNOWN,,,,
recording_000149_batch3_gt_boundary_t193.2,same_instance,not_applicable,double_48,double_48,同一个动作：双手拿手机，右手大拇指点亮手机屏幕。,call=same prose=UNKNOWN resolved_by=call
