audit_key,recording_id,candidate_time,claim_support,granularity,major_action_missing,action_presence,segment_structure,upstream_timing_issue,task_timing_status,human_boundary_points_json,human_boundary_intervals_json,motion_phase_points_json,canonical_task_times_json,nearest_canonical_task_time,timing_precision,semantic_decision_note,timing_note
105/t501.5,recording_000105,501.5,no,not_applicable,yes,valid_action,mixed,yes,point,[539.0],[],"[473.0, 495.0, 516.0, 528.0, 550.0]",[539.0],539.0,exact_user,"The shown segment around the audited event is wiping, while the provided names correspond to later discard/retrieve/fold phases; semantic assignment is wrong.",Alternating small/large wiping and fold-to-wipe are internal phases of the same wipe-with-tissue task. Only the completed/discarded old-tissue -> new-tissue instance reset at ~539s is retained as a task boundary.
105/t505.5,recording_000105,505.5,no,not_applicable,yes,valid_action,mixed,yes,point,[539.0],[],"[473.0, 495.0, 516.0, 528.0, 550.0]",[539.0],539.0,exact_user,Same overlapping audit span as 105/t501.5; names do not match the actual shown segment.,Same overlapping span as 105/t501.5: retain only the ~539s new-tissue instance boundary; all amplitude/fold-to-wipe changes are motion phases.
105/t582,recording_000105,582.0,no,not_applicable,yes,valid_action,oversegmented,yes,motion_phase_only,[],[],[582.0],[],,phase_only,Actual action is small-stroke wiping; repeated fold-and-press labels are wrong.,"The described action is continuous small-stroke wiping with no interruption or action change; preserve 582s only as the user-marked phase/cut time, not a task boundary."
150/t34,recording_000150,34.0,yes,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,"Flip-to-opposite-side claims are visually supported, but a continuous flip-back-and-forth task is split into subcycles.",continuous remote flip back-and-forth; current audit says no task-level boundary
150/t234.5,recording_000150,234.5,yes,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,"Flip claims are supported, but the same continuous task is oversegmented.",continuous remote flip back-and-forth; no task-level change
181/t564,recording_000181,564.0,partial,mixed_inconsistent,no,valid_action,mixed,yes,multiple_mixed,[],"[[544.0, 552.0], [563.0, 566.0], [575.0, 579.0]]",[],"[548.0, 564.5, 577.0]",564.5,exact_user,"Repeated clean/re-seat claims are broadly supported, but the added 'wipe sink basin' claim is not supported by the described action and stored cuts do not match the reset intervals.",three release/reset transition intervals between repeated rinse-and-seat instances
193/t264,recording_000193,264.0,yes,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,"Extend-retract cycle is correct, but a continuous cycle is split into separate segments.",continuous antenna extend-retract cycle; no interruption or action change
220/t143.8,recording_000220,143.8,yes,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,Slipper flip-cycle claim is correct; continuous same-instance motion is oversegmented.,Continuous slipper flip cycle with no disengagement/reset or task change; stored cuts are over-segmentation.
220/t153,recording_000220,153.0,yes,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,Slipper flip-cycle claim is correct; continuous same-instance motion is oversegmented.,Continuous slipper flip cycle with no disengagement/reset or task change; stored cuts are over-segmentation.
220/t586.4,recording_000220,586.4,no,too_fine,yes,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,Actual task is continuous slipper flipping; static 'display insole/upper side' labels misname the task and split internal phases.,Continuous slipper flip/display motion with no task-level change; stored side-display cuts are internal phases.
236/t102,recording_000236,102.0,partial,adequate,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,"The sealing claim is supported, while remove/open claims are wrong; the whole seal/flip/seal/tape sequence is one task and is overcut.",Seal/flip/seal/tape is treated as one continuous task-level box-sealing action under the frozen standard; no real task boundary.
242/t29.5,recording_000242,29.5,partial,adequate,yes,mixed_action_and_no_action,mixed,yes,multiple_points,"[29.7, 42.0]",[],[],"[29.7, 42.0]",29.7,exact_user,"Some box/bag/seal claims are supported, but important retrieve/assemble/place-item content is missing or mislabeled; stored cuts are misaligned/extra.",box bag/idle -> retrieve+assemble+seal -> flip/place item; user-marked task boundaries
242/t164.5,recording_000242,164.5,no,not_applicable,yes,valid_action,oversegmented,yes,onset_only,[164.0],[],[],[164.0],164.0,exact_user,Actual action is placing an item into the box; unseal/open/inspect labels are wrong and split the action into subsegments.,action onset at 164s
272/t265.9,recording_000272,265.9,yes,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,"Retrieve/reshape/seal phases are real, but under the frozen task ontology they form one continuous box-assembly/sealing action.",retrieve/reshape/seal/tape is one continuous task-level box-assembly/sealing action; no real boundary
272/t320,recording_000272,320.0,yes,adequate,no,mixed_action_and_no_action,adequate,no,multiple_points,"[315.5, 332.0]",[],[],"[315.5, 332.0]",315.5,exact_user,"Open/remove, flatten/stow, and retrieve/reshape labels match the described task-level sequence; cuts are close to the human boundaries.",remove item -> disassemble/store -> idle -> retrieve/reshape; user-marked task boundaries
343/t274.5,recording_000343,274.5,yes,adequate,no,valid_action,adequate,no,multiple_points,"[270.0, 280.0, 292.7]",[],[],"[270.0, 280.0, 292.7]",270.0,exact_user,Repeated pan-coating instances are correctly named and separated by clear release/reset.,repeated coating instances separated by clear release/reset
343/t400.5,recording_000343,400.5,yes,adequate,no,valid_action,adequate,no,multiple_points,"[397.5, 410.0, 419.0]",[],[],"[397.5, 410.0, 419.0]",397.5,exact_user,Repeated coating instances are correctly named and stored cuts are close to human reset boundaries.,repeated coating instances separated by clear release/reset
385/t209,recording_000385,209.0,yes,too_fine,no,valid_action,mixed,yes,multiple_points,"[228.0, 257.0]",[],[],"[228.0, 257.0]",228.0,exact_user,"Cover/remove/crumple claims are supported, but cover is described in finer phases and stored timing does not match the task transitions.",cover bowl -> remove/crumple/discard; second point preserved as user-marked downstream task/end transition
385/t266.5,recording_000385,266.5,partial,mixed_inconsistent,no,valid_action,oversegmented,yes,point,[263.0],[],[],[263.0],263.0,exact_user,"Crumple and new-wrap claims are supported, but the preceding fold/seal claim is not appropriate for the shown transition; extra stored cuts surround one real boundary.",crumple/discard old wrap -> start new bowl-covering task
385/t348,recording_000385,348.0,partial,too_fine,yes,valid_action,undersegmented,yes,multiple_points,"[322.0, 351.5]",[],[],"[322.0, 351.5]",351.5,exact_user,Unroll/smooth claims describe only cover phases; the remove/crumple/discard task between covers is missing.,cover bowl -> remove/crumple/discard wrap -> cover bowl again
385/t412.5,recording_000385,412.5,partial,mixed_inconsistent,yes,valid_action,undersegmented,yes,multiple_points,"[361.6, 462.0]",[],[],"[361.6, 462.0]",462.0,exact_user,"Cover-related claims are partly supported, but remove/discard and later task transitions are missing or temporally misassigned.",discard old wrap -> cover bowl -> later remove/discard; user-marked task boundaries retained
388/t124.5,recording_000388,124.5,yes,mixed_inconsistent,yes,valid_action,mixed,yes,multiple_points,"[110.0, 160.0]",[],[],"[110.0, 160.0]",110.0,exact_user,"Cover/remove/unroll claims are real, but granularity is inconsistent and the later removal task is not represented in the shown labels.",remove/discard wrap -> cover bowl -> begin next removal
388/t618,recording_000388,618.0,partial,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,"Prepare/unroll wrap claims are supported, but the ice-cube discard claim is wrong; the continuous cover-bowl task is overcut.",continuous bowl-covering task; no reset or task change
406/t571,recording_000406,571.0,partial,too_fine,yes,valid_action,undersegmented,yes,multiple_points,"[595.0, 622.0]",[],[],"[595.0, 622.0]",595.0,exact_user,"Unroll/place/seal are supported phases of covering the bowl, but the subsequent remove/discard task is omitted and the label span crosses the task change.",cover bowl -> remove/discard; 622 preserved as user-marked downstream task/end transition
406/t595.5,recording_000406,595.5,partial,too_fine,yes,valid_action,undersegmented,yes,multiple_points,"[595.0, 622.0]",[],[],"[595.0, 622.0]",595.0,exact_user,"Same overlapping span as 406/t571: cover phases are supported, but the later remove/discard task is missing.",same overlapping span as 406/t571; preserve event provenance
419/t605.5,recording_000419,605.5,yes,adequate,no,valid_action,mixed,yes,multiple_points,"[577.0, 671.8]",[],[],"[577.0, 671.8]",577.0,exact_user,"Apply/crumple/apply claims correspond to real task-level actions, but stored segmentation does not align with the human task boundaries.",repeated wrap/discard/cover sequence; user-marked task boundaries around audited event
419/t618,recording_000419,618.0,yes,adequate,no,valid_action,mixed,yes,multiple_points,"[577.0, 671.8]",[],[],"[577.0, 671.8]",577.0,exact_user,Same overlapping span as 419/t605.5; semantic action labels are supported but timing/structure is misaligned.,same overlapping span as 419/t605.5; preserve event provenance
422/t620.8,recording_000422,620.8,yes,too_fine,no,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,Pick-up/position are supported phases of one continuous cover-bowl task; no task boundary exists.,pick up / position wrap are internal phases of one continuous bowl-covering task
423/t590,recording_000423,590.0,partial,too_fine,yes,valid_action,mixed,yes,multiple_points,"[556.0, 567.0, 625.0]",[],[],"[556.0, 567.0, 625.0]",567.0,exact_user,"Wrap-application claims are partly supported, but remove/discard phases are missing and stored labels cross true task changes.",cover -> remove/discard -> cover -> remove/crumple sequence
438/t476,recording_000438,476.0,partial,too_fine,yes,valid_action,mixed,yes,multiple_points,"[426.0, 470.0, 503.0]",[],[],"[426.0, 470.0, 503.0]",470.0,exact_user,Covering claims are supported only for parts of the span; remove/discard task phases are missing or assigned to the wrong segments.,cover/adjust -> remove/discard -> cover -> remove/crumple sequence
465/t166.5,recording_000465,166.5,yes,adequate,no,mixed_action_and_no_action,adequate,no,multiple_points,"[156.0, 172.9]",[],[],"[156.0, 172.9]",172.9,exact_user,"Phone test, store cable, and retrieve cable labels match the described task-level sequence; idle is a boundary/reset cue, not a semantic action.",phone test -> coil/store cable -> idle -> retrieve cable
