event_id,old_subtype,new_subtype,old_supervision,new_supervision,clean_membership_change,confidence,why
recording_000088_batch3_gt_boundary_t275.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后标签和可见行为都是连续折边、按压同一张纸；该切点没有对应真实 hand-object transition。
recording_000138_batch3_gt_boundary_t569.0,sharp_visible_transition,annotation_convention,strong_separate,exclude,left,2_lean,候选点前后双手持续静置在桌面；前后任务虽不同，但切点落在没有可见事件的空闲间隔中。
recording_000131_batch3_gt_boundary_t172.8,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,电源线从适配器上明确断开，随后进入盘绕电线阶段，存在清晰的接触释放和动作切换。
recording_000072_batch3_gt_boundary_t629.0,sharp_visible_transition,camera_or_viewpoint_shift,strong_separate,exclude,left,3_sure,窗口内主要变化是头戴相机被重新定位，画面朝上并离开桌面操作区；没有可见的 hand-object action transition。
recording_000209_batch3_gt_boundary_t358.5,gradual_phase_transition,annotation_convention,soft_transition,exclude,outside,3_sure,候选点位于较长的空闲间隔中；前一操作已提前结束，下一次拆取约一秒后才开始，切点本身没有视觉事件。
recording_000120_batch3_gt_boundary_t32.1,sharp_visible_transition,annotation_convention,strong_separate,exclude,left,3_sure,候选点附近仍在连续旋转和检查同一个充电宝，没有放下、换对象或新的动作阶段开始。
recording_000208_batch3_gt_boundary_t610.5,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,空闲水槽后双手在候选点后约 0.4 秒进入并开始操作滤网，新的动作起点清晰可定位。
recording_000209_batch3_gt_boundary_t257.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,候选点前水槽为空，随后双手进入排水口并开始操作滤网，动作起始清晰可定位。
recording_000101_batch3_gt_boundary_t429.5,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后标签和可见行为均为连续折叠同一张 tissue，候选点没有对应真实 hand-object transition。
recording_000101_batch3_gt_boundary_t48.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,所谓第六次到第七次折叠在视觉上是连续处理同一张 tissue，没有 release、换对象或新的动作目标。
recording_000207_batch3_gt_boundary_t472.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,从处理水槽盆面转为抓取并在水龙头下冲洗滤网，交互对象和目标明确重置。
recording_000141_batch3_gt_boundary_t305.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后标签和可见行为均为连续旋转检查同一个遥控器，GT 切点没有真实视觉变化。
recording_000108_batch3_gt_boundary_t517.5,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后都是对同一塑料片边缘进行连续折叠和按压，标签与可见动作均未改变。
recording_000027_batch3_gt_boundary_t142.0,sharp_visible_transition,same_action_internal_motion,strong_separate,strong_align,flipped,3_sure,前后均为同一水瓶的重新摆位，属于连续滑动动作内部变化。
recording_000127_batch3_gt_boundary_t220.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后都是同一美工刀的连续伸缩循环，候选点没有释放、换对象或新的动作目标。
recording_000127_batch3_gt_boundary_t572.1,visibility_or_offscreen,annotation_convention,exclude,exclude,outside,3_sure,候选点前后仍为同一美工刀的连续伸缩操作，没有新的交互对象或目标。
recording_000097_batch3_gt_boundary_t176.5,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,所谓第十六步结束在视觉上仍是连续折叠同一张 tissue，没有释放或新交互开始。
recording_000108_batch3_gt_boundary_t337.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,候选点前后持续折叠并按压同一张纸，标签与可见行为均未改变；该 GT 切点没有对应真实 hand-object transition。
recording_000068_batch3_raw_change_peak_t464.0,gradual_phase_transition,sharp_visible_transition,soft_transition,strong_separate,entered,3_sure,持续擦拭结束后手转向废纸处理/新湿巾准备，动作目标出现明确重置。
recording_000100_batch3_raw_change_peak_t646.0,gradual_phase_transition,sharp_visible_transition,soft_transition,strong_separate,entered,3_sure,候选点附近折边和按压明确结束，双手释放纸张并离开操作区，随后进入空闲/视角移动；动作终止可清晰定位。
recording_000091_batch3_raw_change_peak_t343.0,visibility_or_offscreen,sharp_visible_transition,exclude,strong_separate,entered,3_sure,湿巾折叠在候选点附近结束并进入短暂空闲，之后重新取用 tissue；原动作终止清晰可见。
recording_000175_batch3_raw_change_peak_t496.0,sharp_visible_transition,camera_or_viewpoint_shift,strong_separate,exclude,left,3_sure,候选点附近手直接遮挡并重新调整头戴相机，画面从水槽转向窗户和人物，主要变化来自视角移动。
recording_000089_batch3_raw_change_peak_t191.0,camera_or_viewpoint_shift,sharp_visible_transition,exclude,strong_separate,entered,3_sure,整理笔和笔帽结束后双手撤离，随后转向纸张并开始折叠，交互对象和动作身份清晰改变。
recording_000172_batch3_raw_change_peak_t374.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,候选点附近双手从画外进入水槽并开始清洁滤网，新的 hand-object interaction 明确起始。
recording_000073_batch3_raw_change_peak_t197.0,visibility_or_offscreen,camera_or_viewpoint_shift,exclude,exclude,outside,3_sure,候选点附近主要是整体构图和视角移动，实际 tissue 折叠动作并未在该点发生身份切换。
recording_000206_batch3_raw_change_peak_t183.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,滤网从水龙头冲洗位置转移到排水口并开始清理，交互位置和动作阶段清晰改变。
recording_000050_batch3_raw_change_peak_t104.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,候选点附近从按压/折叠纸巾转为捏合并处理废纸巾，动作阶段发生清晰切换。
recording_000122_batch3_raw_change_peak_t544.0,visibility_or_offscreen,sharp_visible_transition,exclude,strong_separate,entered,3_sure,手从柜体把手区域转向柜内黄铜饰件并开始抓取，交互目标在候选点附近清晰改变。
recording_000133_batch3_raw_change_peak_t295.0,sharp_visible_transition,same_action_internal_motion,strong_separate,strong_align,flipped,3_sure,候选点前后手始终在同一墙上插座处操控同一电源线，未看到插头释放或新的交互开始。
recording_000137_batch3_raw_change_peak_t299.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,处理电源排插和电线后，手转向并拿起抽屉中的白色设备，交互对象在候选点附近清晰改变。
recording_000079_batch3_raw_change_peak_t156.0,gradual_phase_transition,same_action_internal_motion,soft_transition,strong_align,entered,3_sure,前后持续展开、对齐并铺放同一张 tissue；对象、目标和接触关系均未重置。
recording_000140_batch3_raw_change_peak_t166.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,盘绕完成后双手释放电线并转向桌下柜体取另一根线，存在明确的动作结束和新目标切换。
recording_000140_batch3_raw_change_peak_t574.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,插头在候选点附近从墙上插座脱离，随后手改为持线整理，存在明确的接触释放和阶段切换。
recording_000206_batch3_raw_change_peak_t616.0,same_action_internal_motion,gradual_phase_transition,strong_align,soft_transition,left,3_sure,操作确实从水龙头下清洁滤网逐步转向排水口重新放置，但移动和阶段切换连续展开，没有单一清晰瞬间。
recording_000126_batch3_raw_change_peak_t225.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,候选点前后从分别操控零件转为将尖端组件与另一笔身对接，新的装配阶段清晰开始。
recording_000174_batch3_raw_change_peak_t45.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,滤网从排水口区域被移到水龙头下，交互目标从拆取转为冲洗清洁，切换清晰可见。
recording_000066_batch3_raw_change_peak_t190.0,gradual_phase_transition,sharp_visible_transition,soft_transition,strong_separate,entered,3_sure,从取出新纸巾转为展开、整理并准备使用，新的操作阶段在候选点附近明确开始。
recording_000108_batch3_raw_change_peak_t590.0,same_action_internal_motion,camera_or_viewpoint_shift,strong_align,exclude,left,3_sure,候选点附近主要是头戴视角整体移动和构图变化，未看到新的 hand-object interaction 开始。
recording_000177_batch3_raw_change_peak_t102.0,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,持续冲洗滤网后双手明确释放并离开水槽，进入空闲状态；原动作终止清晰可定位。
