event_id,temporal_pair_subtype,pair_supervision
recording_000035_batch3_raw_change_peak_t132.0,sharp_visible_transition,strong_separate
recording_000125_batch3_raw_change_peak_t126.0,same_action_internal_motion,strong_align
recording_000210_batch3_raw_change_peak_t451.0,same_action_internal_motion,strong_align
recording_000180_batch3_raw_change_peak_t71.0,same_action_internal_motion,strong_align
recording_000175_batch3_raw_change_peak_t496.0,sharp_visible_transition,strong_separate
recording_000178_batch3_raw_change_peak_t360.0,gradual_phase_transition,soft_transition
recording_000057_batch3_raw_change_peak_t524.0,same_action_internal_motion,strong_align
recording_000011_batch3_raw_change_peak_t218.0,same_action_internal_motion,strong_align
recording_000146_batch3_raw_change_peak_t615.0,same_action_internal_motion,strong_align
recording_000144_batch3_raw_change_peak_t171.0,same_action_internal_motion,strong_align
recording_000197_batch3_raw_change_peak_t96.0,same_action_internal_motion,strong_align
recording_000089_batch3_raw_change_peak_t191.0,camera_or_viewpoint_shift,exclude
recording_000187_batch3_raw_change_peak_t354.0,same_action_internal_motion,strong_align
recording_000075_batch3_raw_change_peak_t611.0,sharp_visible_transition,strong_separate
recording_000065_batch3_raw_change_peak_t466.0,same_action_internal_motion,strong_align
recording_000026_batch3_raw_change_peak_t206.0,sharp_visible_transition,strong_separate
recording_000172_batch3_raw_change_peak_t374.0,same_action_internal_motion,strong_align
recording_000033_batch3_raw_change_peak_t566.0,sharp_visible_transition,strong_separate
recording_000073_batch3_raw_change_peak_t197.0,visibility_or_offscreen,exclude
recording_000206_batch3_raw_change_peak_t183.0,same_action_internal_motion,strong_align
recording_000211_batch3_raw_change_peak_t515.0,sharp_visible_transition,strong_separate
recording_000175_batch3_raw_change_peak_t160.0,same_action_internal_motion,strong_align
recording_000165_batch3_raw_change_peak_t593.0,camera_or_viewpoint_shift,exclude
recording_000153_batch3_raw_change_peak_t367.0,same_action_internal_motion,strong_align
recording_000205_batch3_raw_change_peak_t670.0,camera_or_viewpoint_shift,exclude
recording_000023_batch3_raw_change_peak_t7.0,camera_or_viewpoint_shift,exclude
recording_000009_batch3_raw_change_peak_t314.0,visibility_or_offscreen,exclude
recording_000048_batch3_raw_change_peak_t528.0,gradual_phase_transition,soft_transition
recording_000064_batch3_raw_change_peak_t401.0,same_action_internal_motion,strong_align
recording_000050_batch3_raw_change_peak_t104.0,same_action_internal_motion,strong_align
recording_000161_batch3_raw_change_peak_t159.0,same_action_internal_motion,strong_align
recording_000163_batch3_raw_change_peak_t634.0,visibility_or_offscreen,exclude
recording_000024_batch3_raw_change_peak_t584.0,sharp_visible_transition,strong_separate
recording_000122_batch3_raw_change_peak_t544.0,visibility_or_offscreen,exclude
recording_000163_batch3_raw_change_peak_t397.0,gradual_phase_transition,soft_transition
recording_000185_batch3_raw_change_peak_t407.0,gradual_phase_transition,soft_transition
recording_000161_batch3_raw_change_peak_t599.0,gradual_phase_transition,soft_transition
recording_000081_batch3_raw_change_peak_t222.0,visibility_or_offscreen,exclude
recording_000002_batch3_raw_change_peak_t602.0,sharp_visible_transition,strong_separate
recording_000029_batch3_raw_change_peak_t442.0,sharp_visible_transition,strong_separate
recording_000028_batch3_raw_change_peak_t273.0,gradual_phase_transition,soft_transition
recording_000005_batch3_raw_change_peak_t372.0,camera_or_viewpoint_shift,exclude
recording_000011_batch3_raw_change_peak_t352.0,sharp_visible_transition,strong_separate
recording_000057_batch3_raw_change_peak_t149.0,same_action_internal_motion,strong_align
recording_000054_batch3_raw_change_peak_t47.0,same_action_internal_motion,strong_align
recording_000011_batch3_raw_change_peak_t260.0,same_action_internal_motion,strong_align
recording_000185_batch3_raw_change_peak_t87.0,same_action_internal_motion,strong_align
recording_000212_batch3_raw_change_peak_t342.0,same_action_internal_motion,strong_align
recording_000009_batch3_raw_change_peak_t677.0,sharp_visible_transition,strong_separate
recording_000133_batch3_raw_change_peak_t295.0,sharp_visible_transition,strong_separate
recording_000187_batch3_raw_change_peak_t367.0,same_action_internal_motion,strong_align
recording_000190_batch3_raw_change_peak_t631.0,camera_or_viewpoint_shift,exclude
recording_000147_batch3_raw_change_peak_t265.0,same_action_internal_motion,strong_align
recording_000137_batch3_raw_change_peak_t299.0,same_action_internal_motion,strong_align
recording_000201_batch3_raw_change_peak_t498.0,sharp_visible_transition,strong_separate
recording_000079_batch3_raw_change_peak_t156.0,gradual_phase_transition,soft_transition
recording_000023_batch3_raw_change_peak_t333.0,sharp_visible_transition,strong_separate
recording_000167_batch3_raw_change_peak_t689.0,camera_or_viewpoint_shift,exclude
recording_000088_batch3_raw_change_peak_t651.0,same_action_internal_motion,strong_align
recording_000098_batch3_raw_change_peak_t617.0,same_action_internal_motion,strong_align
recording_000186_batch3_raw_change_peak_t427.0,sharp_visible_transition,strong_separate
recording_000178_batch3_raw_change_peak_t211.0,same_action_internal_motion,strong_align
recording_000140_batch3_raw_change_peak_t166.0,same_action_internal_motion,strong_align
recording_000096_batch3_raw_change_peak_t77.0,same_action_internal_motion,strong_align
recording_000140_batch3_raw_change_peak_t574.0,same_action_internal_motion,strong_align
recording_000206_batch3_raw_change_peak_t616.0,same_action_internal_motion,strong_align
recording_000126_batch3_raw_change_peak_t225.0,same_action_internal_motion,strong_align
recording_000170_batch3_raw_change_peak_t542.0,sharp_visible_transition,strong_separate
recording_000035_batch3_raw_change_peak_t351.0,sharp_visible_transition,strong_separate
recording_000063_batch3_raw_change_peak_t631.0,camera_or_viewpoint_shift,exclude
recording_000155_batch3_raw_change_peak_t228.0,same_action_internal_motion,strong_align
recording_000174_batch3_raw_change_peak_t45.0,same_action_internal_motion,strong_align
recording_000218_batch3_raw_change_peak_t333.0,same_action_internal_motion,strong_align
recording_000006_batch3_raw_change_peak_t393.0,same_action_internal_motion,strong_align
recording_000149_batch3_raw_change_peak_t425.0,same_action_internal_motion,strong_align
recording_000066_batch3_raw_change_peak_t190.0,gradual_phase_transition,soft_transition
recording_000141_batch3_raw_change_peak_t418.0,same_action_internal_motion,strong_align
recording_000005_batch3_raw_change_peak_t30.0,sharp_visible_transition,strong_separate
recording_000201_batch3_raw_change_peak_t272.0,same_action_internal_motion,strong_align
recording_000006_batch3_raw_change_peak_t468.0,same_action_internal_motion,strong_align
recording_000108_batch3_raw_change_peak_t590.0,same_action_internal_motion,strong_align
recording_000008_batch3_raw_change_peak_t271.0,visibility_or_offscreen,exclude
recording_000211_batch3_raw_change_peak_t36.0,camera_or_viewpoint_shift,exclude
recording_000049_batch3_raw_change_peak_t325.0,sharp_visible_transition,strong_separate
recording_000017_batch3_raw_change_peak_t674.0,camera_or_viewpoint_shift,exclude
recording_000212_batch3_raw_change_peak_t228.0,same_action_internal_motion,strong_align
recording_000157_batch3_raw_change_peak_t632.0,camera_or_viewpoint_shift,exclude
recording_000177_batch3_raw_change_peak_t102.0,same_action_internal_motion,strong_align
