stored_label,occurrences,draft_actions,draft_entities,draft_temporal,parser_flags,corrected_actions,corrected_entities,corrected_temporal,note
Adjust bowl and prepare plastic wrap roll,1,adjust(e1) ; prepare(e2),e1=bowl ; e2=plastic wrap roll,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:prepare",,,none,The conjunction enumerates two actions but does not itself guarantee a strict order.
Apply liquid to pan with brush and bottle,1,apply(e1)[{'instrument': 'brush'}] ; bottle(e1),e1=liquid pan,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:apply/bottle","apply(e1)[{'material':'liquid','instrument':'brush','source':'bottle'}]",pan,none,'bottle' was incorrectly parsed as a second verb; it is the liquid source/tool context.
Assemble and seal cardboard box,1,assemble(e1) ; seal(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:assemble",,,,
Clean and re-seat sink strainer,1,clean(e1) ; seat(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:seat",,,,
Clean and replace sink strainer,1,clean(e1) ; replace(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Close and reseal box top with tape,1,"close(e1) ; reseal(e1)[{'region': 'top', 'instrument': 'tape'}]",e1=box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reseal",,,,
Collapse and store empty cardboard box,1,collapse(e1) ; store(e1),e1=empty cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:collapse",,,,
Crumble plastic wrap and discard into basin,1,crumble(e1) ; discard(e2),e1=plastic wrap ; e2=basin,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:crumble/discard","crumble(e1)
discard(e1)[{'destination':'basin'}]",plastic wrap,,"The basin is the discard destination, not the discarded object."
Crumpling and wetting a small plastic wrap piece,1,crumpling(e1) ; wetting(e1),e1=small plastic wrap piece,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumpling/wetting","crumple(e1)
wet(e1)",small plastic wrap piece,none,Gerunds were not normalized; 'and' lists two actions without a required order.
Disassemble box and store in plastic bag,1,disassemble(e1) ; store(e2),e1=box ; e2=plastic bag,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:disassemble","disassemble(e1)
store(e1)[{'destination':'plastic bag'}]",box,,The draft made the plastic bag the object of store; both actions apply to the box.
Flatten cardboard box and store in plastic bag,1,flatten(e1) ; store(e2),e1=cardboard box ; e2=plastic bag,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:flatten","flatten(e1)
store(e1)[{'destination':'plastic bag'}]",cardboard box,,The draft made the bag the object of store; the box is flattened and then stored in the bag.
Flip box and open top flaps,1,flip(e1) ; open(e2)[{'region': 'top'}],e1=box ; e2=flaps,"before(a1,a2):inferred",order_inferred_from_and,,,,
Fold and crease paper edge,1,fold(e1) ; crease(e1)[{'region': 'edge'}],e1=paper,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Fold and discard a paper tissue,1,fold(e1) ; discard(e1),e1=paper tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discard",,,,
Fold and seal plastic wrap around the bowl rim,1,fold(e1) ; seal(e1)[{'region': 'rim'}],e1=plastic wrap around bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and","fold(e1)[{'target':'bowl'}]
seal(e1)[{'target':'bowl','region':'rim'}]",plastic wrap,,The bowl is a target and rim is a region; they should not be merged into the plastic-wrap entity.
Fold side edges and adjust straps and power cord,1,fold(e1)[{'region': 'side'}] ; adjust(e2) ; power(e3),e1=edges ; e2=straps ; e3=cord,"before(a1,a2):inferred ; before(a2,a3):inferred","order_inferred_from_and,unknown_verbs:power","fold(e1)[{'region':'side'}]
adjust(e2)
adjust(e3)","edges
straps
power cord",none,"'power' was parsed as a verb; straps and power cord are both objects of adjust, and 'and' does not require a strict order."
Fold USB cable and place on table,1,fold(e1) ; place(e2),e1=usb cable ; e2=table,"before(a1,a2):inferred",order_inferred_from_and,"fold(e1)
place(e1)[{'destination':'table'}]",USB cable,,The draft made the table the object of place; the cable is folded and then placed on the table.
Insert USB drive into box and seal,1,insert(e1) ; seal(e1),e1=usb drive box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and","insert(e1)[{'destination':'e2'}]
seal(e2)","USB drive
box",,The box is the destination of insertion and the object of sealing; object inheritance was wrong.
Inserting item into cardboard box and closing flaps,1,inserting(e1) ; closing(e2),e1=item cardboard box ; e2=flaps,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:closing/inserting","insert(e1)[{'destination':'e2'}]
close(e2)[{'region':'flaps'}]","item
cardboard box","before(a1,a2)",Gerunds were not normalized; the inserted item and the box are different semantic arguments.
Inspect and adjust covered bowl,1,inspect(e1) ; adjust(e1),e1=covered bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Manipulate and discard ice cube into basin,1,manipulate(e1) ; discard(e1),e1=ice cube basin,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discard/manipulate","manipulate(e1)
discard(e1)[{'destination':'basin'}]",ice cube,,"The basin is the discard destination, not part of the ice-cube entity."
Open box and retrieve USB drive,1,open(e1) ; retrieve(e2),e1=box ; e2=usb drive,"before(a1,a2):inferred",order_inferred_from_and,,,,
Open box top and inspect interior,1,open(e1)[{'region': 'top'}] ; inspect(e1)[{'region': 'interior'}],e1=box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
"Open, inspect, and re-seal cardboard box",1,open(e1) ; inspect(e1) ; seal(e1),e1=cardboard box,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and",,,,
Pack USB drive into box and seal with tape,1,pack(e1) ; seal(e1)[{'instrument': 'tape'}],e1=usb drive box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and","pack(e1)[{'destination':'e2'}]
seal(e2)[{'instrument':'tape'}]","USB drive
box",,"The USB drive is packed into the box, then the box is sealed; object inheritance was wrong."
Pack USB drive into outer box and seal the other end,1,pack(e1)[{'region': 'outer'}] ; seal(e2),e1=usb drive box ; e2=other end,"before(a1,a2):inferred",order_inferred_from_and,"pack(e1)[{'destination':'e2'}]
seal(e2)[{'region':'other end'}]","USB drive
outer box",,"The USB drive is packed into the box, then the box end is sealed; the draft treated 'other end' as an entity."
Pick up plastic wrap roll and locate edge,1,pick(e1) ; locate(e1)[{'region': 'edge'}],e1=plastic wrap roll,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:locate",,,,
Place and smooth plastic wrap over the bowl,1,place(e1) ; smooth(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:smooth","place(e1)[{'target':'bowl'}]
smooth(e1)[{'target':'bowl'}]",plastic wrap,,"The bowl is a target/location, not part of the plastic-wrap entity."
Place item in box and close flaps,1,place(e1) ; close(e2),e1=item box ; e2=flaps,"before(a1,a2):inferred",order_inferred_from_and,"place(e1)[{'destination':'e2'}]
close(e2)[{'region':'flaps'}]","item
box",,The first action places the item into the box; the second closes the box flaps.
Press and seal plastic wrap on the bowl,1,press(e1) ; seal(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and","press(e1)[{'target':'bowl'}]
seal(e1)[{'target':'bowl'}]",plastic wrap,none,'on the bowl' was merged into the entity; 'press and seal' is a compound claim and does not require a strict before relation.
Recheck box contents and reseal the top end,1,recheck(e1) ; reseal(e2)[{'region': 'top'}],e1=box contents ; e2=end,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:recheck/reseal","recheck(e1)[{'region':'contents'}]
reseal(e1)[{'region':'top end'}]",box,,"Contents/top end are regions of the same box, not separate entities."
Reinstall and adjust sink drain strainer,1,reinstall(e1) ; adjust(e1),e1=sink drain strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reinstall",,,,
Remove and crumple plastic wrap,1,remove(e1) ; crumple(e1),e1=plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumple",,,,
Remove and position strainer,1,remove(e1) ; position(e1),e1=strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Removing and discarding plastic wrap,1,removing(e1) ; discarding(e1),e1=plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discarding/removing","remove(e1)
discard(e1)",plastic wrap,"before(a1,a2)",Gerunds were not normalized; both actions apply to the same plastic wrap.
Reopen and inspect cardboard box,1,reopen(e1) ; inspect(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reopen",,,,
Repack first portable charger and close product box,1,repack(e1) ; close(e2),e1=portable charger ; e2=product box,"before(a1,a2):inferred",order_inferred_from_and,,,,
Repackage portable charger and close box,1,repackage(e1) ; close(e2),e1=portable charger ; e2=box,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:repackage",,,,
Retrieve and reassemble cardboard box,1,retrieve(e1) ; reassemble(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reassemble",,,,
Retrieve and reshape cardboard box,1,retrieve(e1) ; reshape(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reshape",,,,
Rinse entire mug and set down,1,rinse(e1) ; set(e1),e1=entire mug,"before(a1,a2):inferred","object_inherited,order_inferred_from_and","rinse(e1)[{'region':'entire'}]
set_down(e1)",mug,,"'entire' is scope, and 'set down' is a phrasal action; both actions apply to the mug."
Rotate box and remove tape from second end,1,rotate(e1) ; remove(e2),e1=box ; e2=tape end,"before(a1,a2):inferred",order_inferred_from_and,,,,
Seal plastic wrap around right/front/back sides of the bowl,1,seal(e1)[{'region': 'right'}] ; front(e1) ; back(e2),e1=plastic wrap around ; e2=sides bowl,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and,unknown_verbs:back/front","seal(e1)[{'target':'bowl','region':'right/front/back sides'}]",plastic wrap,none,'front'/'back' were incorrectly parsed as verbs; they are regions of one sealing action.
Sealing and smoothing plastic wrap around the bowl,1,sealing(e1) ; smoothing(e1),e1=plastic wrap around bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:sealing/smoothing","seal(e1)[{'target':'bowl'}]
smooth(e1)[{'target':'bowl'}]",plastic wrap,none,"Gerunds were not normalized, 'around bowl' was merged into the entity, and 'and' does not require a strict order here."
Second fold and press tissue,1,fold(e1) ; press(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Third fold and press tissue,1,fold(e1) ; press(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Tighten wrap and tear from roll,1,tighten(e1) ; tear(e2),e1=wrap ; e2=roll,"before(a1,a2):inferred",order_inferred_from_and,"tighten(e1)
tear(e1)[{'source':'roll'}]",wrap,,The second action tears the wrap from the roll; the roll is not the object being torn.
Tuck and seal wrap around bowl,1,tuck(e1) ; seal(e1),e1=wrap around bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:tuck",,,,
Unbox and inspect first packaged portable charger,1,unbox(e1) ; inspect(e1),e1=packaged portable charger,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unbox",,,,
"Unbox, inspect, and repackage portable charger (second unit)",1,unbox(e1) ; inspect(e1) ; repackage(e1),e1=portable charger unit,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and,unknown_verbs:repackage/unbox",,,,
Unpack and unfold flattened box,1,unpack(e1) ; unfold(e1),e1=flattened box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unfold/unpack",,,,
Unpack USB and flatten box,1,unpack(e1) ; flatten(e2),e1=usb ; e2=box,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:flatten/unpack","unpack(e1)[{'source':'e2'}]
flatten(e2)","USB drive
box",,"The USB is unpacked from the box, then the box is flattened; the source relation was missing."
Unroll and cut plastic wrap,1,unroll(e1) ; cut(e1),e1=plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:cut/unroll",,,,
Unroll and prepare new plastic wrap from the roll,1,unroll(e1) ; prepare(e1),e1=new plastic wrap roll,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:prepare/unroll",,,,
Unroll and tear plastic wrap to cover the bowl,1,unroll(e1) ; tear(e1),e1=plastic wrap cover bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unroll","unroll(e1)
tear(e1)[{'goal':'cover bowl'}]",plastic wrap,,"'cover bowl' is the goal of the tear/unroll sequence, not part of the entity name."
Unroll plastic wrap from roll and position over bowl,1,unroll(e1) ; position(e2),e1=plastic wrap roll ; e2=bowl,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:unroll","unroll(e1)[{'source':'roll'}]
position(e1)[{'target':'bowl'}]",plastic wrap,,The draft incorrectly made the bowl the object of position; both actions apply to the plastic wrap.
Unrolling and laying a plastic wrap sheet on the table,1,unrolling(e1) ; laying(e1),e1=plastic wrap sheet table,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:laying/unrolling","unroll(e1)
lay(e1)[{'destination':'table'}]",plastic wrap sheet,"before(a1,a2)",Gerunds were not normalized and 'table' was merged into the object phrase.
Unseal and open cardboard box,1,unseal(e1) ; open(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Verify box contents and seal the top end with tape,1,"verify(e1) ; seal(e2)[{'region': 'top', 'instrument': 'tape'}]",e1=box contents ; e2=end,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:verify","verify(e1)[{'region':'contents'}]
seal(e1)[{'region':'top end','instrument':'tape'}]",box,,"Contents/top end are regions of the same box, not separate entities."
Wet counter and wall with water,1,wet(e1) ; wall(e1)[{'instrument': 'water'}],e1=counter,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:wall/wet","wet(e1)[{'instrument':'water'}]
wet(e2)[{'instrument':'water'}]","counter
wall",none,"'wall' was parsed as a verb; the same wetting action applies to counter and wall, with no strict order."
Wipe kettle lid and top cap,1,wipe(e1)[{'region': 'lid'}] ; top(e2),e1=kettle ; e2=cap,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:top",wipe(e1)[{'region':'lid and top cap'}],kettle,none,'top' was parsed as a verb; this is one wiping claim over two kettle regions.
Wipe table and dispose of used tissue,1,wipe(e1) ; dispose(e2),e1=table ; e2=used tissue,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:dispose",,,,
Wipe table with paper towel and discard used towel,1,wipe(e1)[{'instrument': 'paper towel'}] ; discard(e2),e1=table ; e2=used towel,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:discard",,,,
Close box flaps after second inspection,1,close(e1) ; inspection(e1),e1=box flaps,"before(a1,a2):stated","object_inherited,unknown_verbs:inspection","inspect(e1)[{'instance':'second'}]
close(e1)[{'region':'flaps'}]",box,"before(a1,a2)",'inspection' was parsed as a verb noun and the stated 'after' relation was misrepresented.
Rinse mug after scrubbing,1,rinse(e1) ; scrubbing(e1),e1=mug,"before(a1,a2):stated","object_inherited,unknown_verbs:scrubbing","scrub(e1)
rinse(e1)",,"before(a1,a2)",'after scrubbing' means scrub precedes rinse; the draft reversed the stated order and kept a gerund as a verb.
Apply liquid to pan with brush,6,apply(e1)[{'instrument': 'brush'}],e1=liquid pan,,unknown_verbs:apply,"apply(e1)[{'material':'liquid','instrument':'brush'}]",pan,,The draft merged material ('liquid') with the target object ('pan').
Apply liquid layer to pan interior,4,apply(e1)[{'region': 'interior'}],e1=liquid layer pan,,unknown_verbs:apply,"apply(e1)[{'material':'liquid layer','region':'interior'}]",pan,,"The liquid layer is material/content, not part of the pan entity name."
Clean sink drain strainer,4,clean(e1),e1=sink drain strainer,,,,,,
Crumple removed plastic wrap,4,crumple(e1),e1=removed plastic wrap,,unknown_verbs:crumple,,,,
Add liquid from bottle to pan,3,add(e1),e1=liquid bottle pan,,unknown_verbs:add,"add(e1)[{'source':'bottle','destination':'pan'}]",liquid,,"The draft merged the moved liquid, source bottle, and destination pan into one entity."
Apply liquid coating to pan with brush,3,apply(e1)[{'instrument': 'brush'}],e1=liquid coating pan,,unknown_verbs:apply,"apply(e1)[{'material':'liquid coating','instrument':'brush'}]",pan,,The draft merged coating material with the target pan.
Coat pan with liquid using spatula,3,coat(e1)[{'instrument': 'liquid using spatula'}],e1=pan,,unknown_verbs:coat,"coat(e1)[{'material':'liquid','instrument':'spatula'}]",pan,,The draft incorrectly treated 'liquid using spatula' as one instrument string.
Flip black rectangular object to opposite side,3,flip(e1)[{'region': 'side'}],e1=black rectangular object opposite,,,flip(e1)[{'result_side':'opposite'}],black rectangular object,,"'opposite' is a resulting side/orientation, not part of the entity name."
Flip remote control to opposite side,3,flip(e1)[{'region': 'side'}],e1=remote control opposite,,,flip(e1)[{'result_side':'opposite'}],remote control,,"'opposite' is a resulting side/orientation, not part of the entity name."
Fold a disposable mask,3,fold(e1),e1=disposable mask,,,,,,
Inspect both sides of remote control,3,inspect(e1),e1=both sides remote control,,,inspect(e1)[{'region':'both sides'}],remote control,,"'both sides' is the inspected region, not part of the entity name."
Retrieve cable from drawer,3,retrieve(e1),e1=cable drawer,,,retrieve(e1)[{'source':'drawer'}],cable,,"The drawer is the source/container, not part of the cable entity."
Rinse sink strainer,3,rinse(e1),e1=sink strainer,,,,,,
Scrub mug interior,3,scrub(e1)[{'region': 'interior'}],e1=mug,,,,,,
Secure plastic wrap around bowl,3,secure(e1),e1=plastic wrap around bowl,,,secure(e1)[{'target':'bowl'}],plastic wrap,,The bowl/location phrase was merged into the plastic-wrap entity instead of being represented as a target/region.
Wrap bowl with plastic wrap,3,wrap(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,unknown_verbs:wrap,,,,
Apply new plastic wrap to bowl,2,apply(e1),e1=new plastic wrap bowl,,unknown_verbs:apply,"apply(e1)[{'state':'new','target':'bowl'}]",plastic wrap,,'new' is state and bowl is the target; both were merged into the entity.
Assemble cardboard box,2,assemble(e1),e1=cardboard box,,unknown_verbs:assemble,,,,
Cleaning countertop with squeegee,2,cleaning(e1)[{'instrument': 'squeegee'}],e1=countertop,,unknown_verbs:cleaning,clean(e1)[{'instrument':'squeegee'}],countertop,,Inflected/noun-like form was kept as the verb; normalized to the underlying action and cleaned the object phrase.
Close cardboard box top flaps,2,close(e1)[{'region': 'top'}],e1=cardboard box flaps,,,,,,
Cover bowl with new plastic wrap,2,cover(e1)[{'instrument': 'new plastic wrap'}],e1=bowl,,,,,,
Cover bowl with plastic wrap,2,cover(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,,,,,
Covering a bowl with plastic wrap,2,covering(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,unknown_verbs:covering,cover(e1)[{'instrument':'plastic wrap'}],bowl,,Inflected/noun-like form was kept as the verb; normalized to the underlying action and cleaned the object phrase.
Crumple plastic wrap into ball,2,crumple(e1),e1=plastic wrap ball,,unknown_verbs:crumple,crumple(e1)[{'result_shape':'ball'}],plastic wrap,,"'ball' is the result shape, not part of the entity name."
Crumple used plastic wrap,2,crumple(e1),e1=used plastic wrap,,unknown_verbs:crumple,,,,
Discard folded tissue,2,discard(e1),e1=folded tissue,,unknown_verbs:discard,,,,
