event_id,subtype(sharp_visible_transition|same_action_internal_motion|gradual_phase_transition|camera_or_viewpoint_shift|visibility_or_offscreen|annotation_convention|ambiguous),confidence(1_guess|2_lean|3_sure),why_this_subtype,notes
recording_000074_batch3_gt_boundary_t182.0,visibility_or_offscreen,3_sure,从折叠纸张到处理小物体的关键操作均在画面下缘外，无法从可见内容定位真实切换。,
recording_000074_batch3_gt_boundary_t200.0,visibility_or_offscreen,3_sure,前后的小物体操作基本不可见，候选点附近没有足够视觉证据判断动作是否改变。,
recording_000075_batch3_gt_boundary_t191.5,same_action_internal_motion,3_sure,前后持续折叠、按压同一张纸，没有 interaction reset；候选点只是同一折叠动作内部的姿态变化。,
recording_000075_batch3_raw_change_peak_t611.0,sharp_visible_transition,3_sure,旧纸张在候选点附近被明确投入垃圾桶并释放，随后进入获取和处理新 disposable pad 的新一轮交互。,
recording_000077_batch3_gt_boundary_t328.0,sharp_visible_transition,3_sure,从打开 tissue pack 并取纸转为离开包装、开始桌面敲击；原交互结束且新动作身份清晰开始。,
recording_000079_batch3_raw_change_peak_t156.0,same_action_internal_motion,3_sure,前后持续展开、对齐并铺放同一张 tissue；对象、目标和接触关系均未重置。,
recording_000081_batch3_gt_boundary_t397.0,visibility_or_offscreen,3_sure,候选点附近折叠操作位于画面下缘外，几乎看不到手和纸张，无法验证第一轮与第二轮之间是否存在真实切换。,
recording_000081_batch3_raw_change_peak_t222.0,visibility_or_offscreen,3_sure,从包装取出 tissue 的关键手部操作发生在画面下缘之外，窗口内缺少可见证据判断 transition。,
recording_000081_batch3_raw_change_peak_t398.0,visibility_or_offscreen,3_sure,候选点前后的 fold-press 操作均基本不可见，不能确认不同循环之间是否存在真实动作重置。,
recording_000088_batch3_gt_boundary_t275.0,annotation_convention,3_sure,前后标签和可见行为都是连续折边、按压同一张纸；该切点没有对应真实 hand-object transition。,
recording_000088_batch3_gt_boundary_t371.0,sharp_visible_transition,3_sure,旧纸张被投入垃圾桶并释放，随后手返回桌面并开始处理新 tissue，存在明确 interaction reset。,
recording_000088_batch3_raw_change_peak_t651.0,same_action_internal_motion,3_sure,候选点前后仍在持续折叠和按压同一张 tissue；后续手臂靠近镜头发生在更晚位置。,
recording_000089_batch3_raw_change_peak_t191.0,sharp_visible_transition,3_sure,整理笔和笔帽结束后双手撤离，随后转向纸张并开始折叠，交互对象和动作身份清晰改变。,
recording_000091_batch3_raw_change_peak_t343.0,sharp_visible_transition,3_sure,湿巾折叠在候选点附近结束并进入短暂空闲，之后重新取用 tissue；原动作终止清晰可见。,
recording_000092_batch3_raw_change_peak_t529.0,sharp_visible_transition,3_sure,持续擦拭在候选点附近明确结束，手和 tissue 离开桌面并进入空闲状态；动作终止清晰可定位。,
recording_000096_batch3_gt_boundary_t516.0,annotation_convention,3_sure,前后均在连续折叠、按压同一张纸，候选点没有可见的 hand-object transition；该切分仅对应标注分段。,
recording_000096_batch3_raw_change_peak_t185.0,same_action_internal_motion,3_sure,同一纸张的折叠、展开和按压连续进行，没有 release、换对象或新的动作目标。,
recording_000096_batch3_raw_change_peak_t608.0,same_action_internal_motion,3_sure,候选点位于同一纸张持续折边和压折痕的过程中，仅有局部手部运动变化。,
recording_000096_batch3_raw_change_peak_t77.0,same_action_internal_motion,3_sure,前后都属于同一张纸的重复折叠—展开循环，只是手部姿态和折叠方向改变。,
recording_000097_batch3_gt_boundary_t176.5,annotation_convention,3_sure,所谓第十六步结束在视觉上仍是连续折叠同一张 tissue，没有释放或新交互开始。,
recording_000098_batch3_raw_change_peak_t617.0,same_action_internal_motion,3_sure,前后持续展开、调整和重新折叠同一张 tissue；候选点只是连续操作内部的形态变化。,
recording_000099_batch3_gt_boundary_t474.0,same_action_internal_motion,3_sure,从折底边转为折左边仍是同一张纸、同一折叠任务中的方向变化，不构成新的动作身份。,
recording_000100_batch3_gt_boundary_t476.0,annotation_convention,3_sure,前后标签与可见行为完全相同，均为连续折边和按压；候选点没有真实视觉切换。,
recording_000100_batch3_raw_change_peak_t646.0,sharp_visible_transition,3_sure,候选点附近折边和按压明确结束，双手释放纸张并离开操作区，随后进入空闲/视角移动；动作终止可清晰定位。,
recording_000101_batch3_gt_boundary_t429.5,annotation_convention,3_sure,前后标签和可见行为均为连续折叠同一张 tissue，候选点没有对应真实 hand-object transition。,
recording_000101_batch3_gt_boundary_t48.0,annotation_convention,3_sure,所谓第六次到第七次折叠在视觉上是连续处理同一张 tissue，没有 release、换对象或新的动作目标。,
recording_000101_batch3_raw_change_peak_t145.0,same_action_internal_motion,2_lean,候选点前后仍在连续处理 tissue，未看到明确释放、换对象或 interaction reset；下一轮取纸迹象出现在更晚位置。,
recording_000103_batch3_gt_boundary_t333.0,,,,
recording_000104_batch3_gt_boundary_t392.0,,,,
recording_000108_batch3_gt_boundary_t337.0,,,,
recording_000108_batch3_gt_boundary_t517.5,,,,
recording_000108_batch3_raw_change_peak_t590.0,,,,
recording_000114_batch3_gt_boundary_t498.0,,,,
recording_000120_batch3_gt_boundary_t32.1,,,,
recording_000121_batch3_gt_boundary_t179.5,,,,
recording_000121_batch3_raw_change_peak_t556.0,,,,
recording_000122_batch3_raw_change_peak_t544.0,,,,
recording_000125_batch3_gt_boundary_t386.0,,,,
recording_000125_batch3_raw_change_peak_t126.0,,,,
recording_000126_batch3_raw_change_peak_t225.0,,,,
recording_000127_batch3_gt_boundary_t220.0,,,,
recording_000127_batch3_gt_boundary_t304.0,,,,
recording_000127_batch3_gt_boundary_t572.1,,,,
recording_000127_batch3_gt_boundary_t93.0,,,,
recording_000131_batch3_gt_boundary_t172.8,,,,
recording_000133_batch3_raw_change_peak_t295.0,,,,
recording_000135_batch3_gt_boundary_t559.0,,,,
recording_000137_batch3_raw_change_peak_t299.0,,,,
recording_000138_batch3_gt_boundary_t569.0,,,,
recording_000139_batch3_gt_boundary_t572.1,,,,
recording_000140_batch3_raw_change_peak_t166.0,,,,
recording_000140_batch3_raw_change_peak_t574.0,,,,
recording_000141_batch3_gt_boundary_t203.5,,,,
recording_000141_batch3_gt_boundary_t305.0,,,,
recording_000141_batch3_gt_boundary_t388.5,,,,
recording_000141_batch3_gt_boundary_t408.5,,,,
recording_000170_batch3_raw_change_peak_t542.0,,,,
recording_000172_batch3_gt_boundary_t346.6,,,,
recording_000172_batch3_raw_change_peak_t374.0,,,,
recording_000173_batch3_gt_boundary_t161.6,,,,
recording_000174_batch3_raw_change_peak_t45.0,,,,
recording_000175_batch3_raw_change_peak_t160.0,,,,
recording_000175_batch3_raw_change_peak_t496.0,,,,
recording_000177_batch3_gt_boundary_t174.5,,,,
recording_000177_batch3_gt_boundary_t189.0,,,,
recording_000177_batch3_raw_change_peak_t102.0,,,,
recording_000206_batch3_raw_change_peak_t183.0,,,,
recording_000206_batch3_raw_change_peak_t616.0,,,,
recording_000207_batch3_gt_boundary_t412.0,,,,
recording_000207_batch3_gt_boundary_t472.0,,,,
recording_000208_batch3_gt_boundary_t610.5,,,,
recording_000209_batch3_gt_boundary_t155.0,,,,
recording_000209_batch3_gt_boundary_t257.0,,,,
recording_000209_batch3_gt_boundary_t358.5,,,,
recording_000209_batch3_gt_boundary_t435.3,,,,
recording_000210_batch3_raw_change_peak_t451.0,,,,
recording_000211_batch3_gt_boundary_t322.2,,,,
