audit_key,actual_action_summary,existing_label_summary,claim_support,granularity,major_action_missing,action_presence,segment_structure,upstream_timing_issue,human_boundary_note,semantic_audit_note
406/t29.5,cover bowl with plastic wrap as one continuous task,Prepare roll / Drape wrap / Seal rim,yes,too_fine,no,valid_action,oversegmented,yes,17 onset; no later task boundary,All subclaims are plausible phases of one frozen task-level action.
406/t455,cover bowl -> remove/discard wrap -> cover again -> remove again,Cover / Remove-discard / Handle roll / Position wrap,partial,mixed_inconsistent,yes,valid_action,mixed,yes,438; 465; 515,Stored labels both split one cover action into phases and fail to capture the full later task structure.
406/t556.6,cover bowl with plastic wrap,Secure rim / Pick up roll / Unroll sheet,yes,too_fine,no,valid_action,oversegmented,yes,549.5 onset,Stored labels split one task-level cover action into internal phases.
419/t688.9,crumple removed wrap -> discard it,Wrap bowl / Crumple discarded wrap / Discard in bin,yes,too_fine,no,valid_action,oversegmented,yes,690,The disposal action is split into internal phases at a finer granularity than the frozen ontology.
422/t381,cover bowl with plastic wrap,Unroll/lay wrap / Adjust bowl-wrap / Seal rim,yes,too_fine,no,valid_action,oversegmented,yes,321.9 onset,Stored labels split one task-level cover action into internal phases.
431/t427.5,crumple/discard old wrap -> start covering bowl,Peel wrap (unseen) / Crumple wrap / Unroll-tear wrap,partial,adequate,yes,valid_action,uncertain,yes,418.5,Seg0 cannot be verified; crumple is supported; seg2 is semantically wrong for the observed action.
431/t440.5,crumple/discard old wrap -> start covering bowl,Peel wrap (unseen) / Crumple wrap / Unroll-tear wrap,partial,adequate,yes,valid_action,uncertain,yes,419,Seg0 cannot be verified; seg2 is wrong.
431/t178.2,crumple/discard wrap -> cover bowl -> begin removing wrap,Peel wrap (unseen) / Crumble wrap / Secure wrap,uncertain,adequate,yes,valid_action,undersegmented,yes,178; 221,"Known claims are supported, but seg0 is unseen and the later remove action is missing."
438/t224,cover bowl -> remove/crumple/discard wrap,Retrieve roll / Unroll-tear sheet / Secure wrap,yes,too_fine,yes,valid_action,mixed,yes,220,Covering is split too finely and the later remove/discard task is missing.
438/t182,hold/retrieve plastic-wrap roll; otherwise no effective action,Manipulate small transparent object / Retrieve roll / Unroll-tear sheet,partial,not_applicable,no,mixed_action_and_no_action,spurious_no_action,yes,183.5 onset,Only 'retrieve plastic wrap roll' is clearly supported.
465/t247,store cable in drawer -> idle -> retrieve cable and connect to phone,Store charging cable / Test cable with phone,yes,adequate,no,valid_action,adequate,no,247-248,Semantic labels are correct.
471/t485.4,continuous wiping of insulated kettle,Wipe lid/top / upper body / lower body/handle,yes,too_fine,no,valid_action,oversegmented,yes,no task-level boundary,"All sublabels may be true, but the frozen task-level action is simply wipe kettle."
