event_id,subtype(sharp_visible_transition|same_action_internal_motion|gradual_phase_transition|camera_or_viewpoint_shift|visibility_or_offscreen|annotation_convention|ambiguous),confidence(1_guess|2_lean|3_sure),why_this_subtype,notes
recording_000074_batch3_gt_boundary_t182.0,visibility_or_offscreen,3_sure,从折叠纸张到处理小物体的关键操作均在画面下缘外，无法从可见内容定位真实切换。,
recording_000074_batch3_gt_boundary_t200.0,visibility_or_offscreen,3_sure,前后的小物体操作基本不可见，候选点附近没有足够视觉证据判断动作是否改变。,
recording_000075_batch3_gt_boundary_t191.5,same_action_internal_motion,3_sure,前后持续折叠、按压同一张纸，没有 interaction reset；候选点只是同一折叠动作内部的姿态变化。,
recording_000075_batch3_raw_change_peak_t611.0,sharp_visible_transition,3_sure,旧纸张在候选点附近被明确投入垃圾桶并释放，随后进入获取和处理新 disposable pad 的新一轮交互。,
recording_000077_batch3_gt_boundary_t328.0,sharp_visible_transition,3_sure,从打开 tissue pack 并取纸转为离开包装、开始桌面敲击；原交互结束且新动作身份清晰开始。,
recording_000079_batch3_raw_change_peak_t156.0,same_action_internal_motion,3_sure,前后持续展开、对齐并铺放同一张 tissue；对象、目标和接触关系均未重置。,
recording_000081_batch3_gt_boundary_t397.0,visibility_or_offscreen,3_sure,候选点附近折叠操作位于画面下缘外，几乎看不到手和纸张，无法验证第一轮与第二轮之间是否存在真实切换。,
recording_000081_batch3_raw_change_peak_t222.0,visibility_or_offscreen,3_sure,从包装取出 tissue 的关键手部操作发生在画面下缘之外，窗口内缺少可见证据判断 transition。,
recording_000081_batch3_raw_change_peak_t398.0,visibility_or_offscreen,3_sure,候选点前后的 fold-press 操作均基本不可见，不能确认不同循环之间是否存在真实动作重置。,
recording_000088_batch3_gt_boundary_t275.0,annotation_convention,3_sure,前后标签和可见行为都是连续折边、按压同一张纸；该切点没有对应真实 hand-object transition。,
recording_000088_batch3_gt_boundary_t371.0,sharp_visible_transition,3_sure,旧纸张被投入垃圾桶并释放，随后手返回桌面并开始处理新 tissue，存在明确 interaction reset。,
recording_000088_batch3_raw_change_peak_t651.0,same_action_internal_motion,3_sure,候选点前后仍在持续折叠和按压同一张 tissue；后续手臂靠近镜头发生在更晚位置。,
recording_000089_batch3_raw_change_peak_t191.0,sharp_visible_transition,3_sure,整理笔和笔帽结束后双手撤离，随后转向纸张并开始折叠，交互对象和动作身份清晰改变。,
recording_000091_batch3_raw_change_peak_t343.0,sharp_visible_transition,3_sure,湿巾折叠在候选点附近结束并进入短暂空闲，之后重新取用 tissue；原动作终止清晰可见。,
recording_000092_batch3_raw_change_peak_t529.0,sharp_visible_transition,3_sure,持续擦拭在候选点附近明确结束，手和 tissue 离开桌面并进入空闲状态；动作终止清晰可定位。,
recording_000096_batch3_gt_boundary_t516.0,annotation_convention,3_sure,前后均在连续折叠、按压同一张纸，候选点没有可见的 hand-object transition；该切分仅对应标注分段。,
recording_000096_batch3_raw_change_peak_t185.0,same_action_internal_motion,3_sure,同一纸张的折叠、展开和按压连续进行，没有 release、换对象或新的动作目标。,
recording_000096_batch3_raw_change_peak_t608.0,same_action_internal_motion,3_sure,候选点位于同一纸张持续折边和压折痕的过程中，仅有局部手部运动变化。,
recording_000096_batch3_raw_change_peak_t77.0,same_action_internal_motion,3_sure,前后都属于同一张纸的重复折叠—展开循环，只是手部姿态和折叠方向改变。,
recording_000097_batch3_gt_boundary_t176.5,annotation_convention,3_sure,所谓第十六步结束在视觉上仍是连续折叠同一张 tissue，没有释放或新交互开始。,
recording_000098_batch3_raw_change_peak_t617.0,same_action_internal_motion,3_sure,前后持续展开、调整和重新折叠同一张 tissue；候选点只是连续操作内部的形态变化。,
recording_000099_batch3_gt_boundary_t474.0,same_action_internal_motion,3_sure,从折底边转为折左边仍是同一张纸、同一折叠任务中的方向变化，不构成新的动作身份。,
recording_000100_batch3_gt_boundary_t476.0,annotation_convention,3_sure,前后标签与可见行为完全相同，均为连续折边和按压；候选点没有真实视觉切换。,
recording_000100_batch3_raw_change_peak_t646.0,sharp_visible_transition,3_sure,候选点附近折边和按压明确结束，双手释放纸张并离开操作区，随后进入空闲/视角移动；动作终止可清晰定位。,
recording_000101_batch3_gt_boundary_t429.5,annotation_convention,3_sure,前后标签和可见行为均为连续折叠同一张 tissue，候选点没有对应真实 hand-object transition。,
recording_000101_batch3_gt_boundary_t48.0,annotation_convention,3_sure,所谓第六次到第七次折叠在视觉上是连续处理同一张 tissue，没有 release、换对象或新的动作目标。,
recording_000101_batch3_raw_change_peak_t145.0,same_action_internal_motion,2_lean,候选点前后仍在连续处理 tissue，未看到明确释放、换对象或 interaction reset；下一轮取纸迹象出现在更晚位置。,
recording_000103_batch3_gt_boundary_t333.0,annotation_convention,3_sure,候选点前后持续折叠、按压同一张纸，未出现方向切换、释放或新交互；GT 切点没有对应可见动作变化。,
recording_000104_batch3_gt_boundary_t392.0,annotation_convention,3_sure,候选点前后持续折叠和按压同一张 tissue，手、对象和动作目标均未重置；GT 切点没有对应真实视觉变化。,
recording_000108_batch3_gt_boundary_t337.0,annotation_convention,3_sure,候选点前后持续折叠并按压同一张纸，标签与可见行为均未改变；该 GT 切点没有对应真实 hand-object transition。,
recording_000108_batch3_gt_boundary_t517.5,annotation_convention,3_sure,前后都是对同一塑料片边缘进行连续折叠和按压，标签与可见动作均未改变。,
recording_000108_batch3_raw_change_peak_t590.0,camera_or_viewpoint_shift,3_sure,候选点附近主要是头戴视角整体移动和构图变化，未看到新的 hand-object interaction 开始。,
recording_000114_batch3_gt_boundary_t498.0,sharp_visible_transition,3_sure,挂放 squeegee 的交互结束后双手释放工具，随后转向水龙头开始洗手，动作身份和交互目标清晰改变。,
recording_000120_batch3_gt_boundary_t32.1,annotation_convention,3_sure,候选点附近仍在连续旋转和检查同一个充电宝，没有放下、换对象或新的动作阶段开始。,
recording_000121_batch3_gt_boundary_t179.5,sharp_visible_transition,3_sure,洗手动作结束后手转向清洁工具并开始擦拭台面，交互对象和动作身份清晰改变。,
recording_000121_batch3_raw_change_peak_t556.0,same_action_internal_motion,3_sure,前后持续装配和调整同一个 squeegee 配件，仅有手部姿态与零件位置变化，没有 interaction reset。,
recording_000122_batch3_raw_change_peak_t544.0,sharp_visible_transition,3_sure,手从柜体把手区域转向柜内黄铜饰件并开始抓取，交互目标在候选点附近清晰改变。,
recording_000125_batch3_gt_boundary_t386.0,annotation_convention,3_sure,前后均在连续剥离同一圆柱物体上的透明膜，没有释放、换对象或新阶段起点。,
recording_000125_batch3_raw_change_peak_t126.0,same_action_internal_motion,3_sure,候选点前后仍在展开、卷回并整理同一段材料，尚未转向手机交互；属于同一动作内部运动。,
recording_000126_batch3_raw_change_peak_t225.0,sharp_visible_transition,3_sure,候选点前后从分别操控零件转为将尖端组件与另一笔身对接，新的装配阶段清晰开始。,
recording_000127_batch3_gt_boundary_t220.0,annotation_convention,3_sure,前后都是同一美工刀的连续伸缩循环，候选点没有释放、换对象或新的动作目标。,
recording_000127_batch3_gt_boundary_t304.0,annotation_convention,3_sure,前后均为同一美工刀的重复伸缩循环，候选点没有真实的动作身份或对象变化。,
recording_000127_batch3_gt_boundary_t572.1,annotation_convention,3_sure,候选点前后仍为同一美工刀的连续伸缩操作，没有新的交互对象或目标。,
recording_000127_batch3_gt_boundary_t93.0,annotation_convention,3_sure,前后都是同一美工刀的重复伸缩循环，候选点仅是标注分段，没有真实动作身份变化。,
recording_000131_batch3_gt_boundary_t172.8,sharp_visible_transition,3_sure,电源线从适配器上明确断开，随后进入盘绕电线阶段，存在清晰的接触释放和动作切换。,
recording_000133_batch3_raw_change_peak_t295.0,same_action_internal_motion,3_sure,候选点前后手始终在同一墙上插座处操控同一电源线，未看到插头释放或新的交互开始。,
recording_000135_batch3_gt_boundary_t559.0,annotation_convention,3_sure,候选点附近仍在持续解开和整理电源线，插入墙上插座的阶段在明显更晚的位置才开始。,
recording_000137_batch3_raw_change_peak_t299.0,sharp_visible_transition,3_sure,处理电源排插和电线后，手转向并拿起抽屉中的白色设备，交互对象在候选点附近清晰改变。,
recording_000138_batch3_gt_boundary_t569.0,annotation_convention,2_lean,候选点前后双手持续静置在桌面；前后任务虽不同，但切点落在没有可见事件的空闲间隔中。,
recording_000139_batch3_gt_boundary_t572.1,sharp_visible_transition,3_sure,短暂静止后手在候选点后约 0.4 秒转向柜体并开始取出电缆，新的交互动作清晰开始。,
recording_000140_batch3_raw_change_peak_t166.0,sharp_visible_transition,3_sure,盘绕完成后双手释放电线并转向桌下柜体取另一根线，存在明确的动作结束和新目标切换。,
recording_000140_batch3_raw_change_peak_t574.0,sharp_visible_transition,3_sure,插头在候选点附近从墙上插座脱离，随后手改为持线整理，存在明确的接触释放和阶段切换。,
recording_000141_batch3_gt_boundary_t203.5,same_action_internal_motion,3_sure,只是翻转同一个遥控器以展示另一面，对象和检查目标不变，属于同一动作内部的姿态变化。,
recording_000141_batch3_gt_boundary_t305.0,annotation_convention,3_sure,前后标签和可见行为均为连续旋转检查同一个遥控器，GT 切点没有真实视觉变化。,
recording_000141_batch3_gt_boundary_t388.5,annotation_convention,3_sure,前后连续翻转同一个遥控器以查看另一面，GT 切点只是重复循环之间的分段。,
recording_000141_batch3_gt_boundary_t408.5,same_action_internal_motion,3_sure,前后持续翻转和查看同一个遥控器，候选点只是重复翻面过程中的内部运动。,
recording_000170_batch3_raw_change_peak_t542.0,sharp_visible_transition,3_sure,滤网从水龙头区域被放回排水口并完成就位，随后开始清洁排水口，动作阶段在接触重置处清晰切换。,
recording_000172_batch3_gt_boundary_t346.6,sharp_visible_transition,3_sure,候选点附近双手从排水口释放并撤离，原先的滤网拆取操作明确结束。,
recording_000172_batch3_raw_change_peak_t374.0,sharp_visible_transition,3_sure,候选点附近双手从画外进入水槽并开始清洁滤网，新的 hand-object interaction 明确起始。,
recording_000173_batch3_gt_boundary_t161.6,annotation_convention,2_lean,候选点位于同一滤网清洁动作两段之间的短暂空闲中；停止和重新开始分别发生在其前后，切点本身没有可见事件。,
recording_000174_batch3_raw_change_peak_t45.0,sharp_visible_transition,3_sure,滤网从排水口区域被移到水龙头下，交互目标从拆取转为冲洗清洁，切换清晰可见。,
recording_000175_batch3_raw_change_peak_t160.0,same_action_internal_motion,3_sure,前后都在持续安装和调整同一个水槽滤网，没有释放、换对象或新动作目标。,
recording_000175_batch3_raw_change_peak_t496.0,camera_or_viewpoint_shift,3_sure,候选点附近手直接遮挡并重新调整头戴相机，画面从水槽转向窗户和人物，主要变化来自视角移动。,
recording_000177_batch3_gt_boundary_t174.5,sharp_visible_transition,3_sure,候选点前画面为空，随后双手带滤网进入水龙头区域并开始清洗，新的动作明确起始。,
recording_000177_batch3_gt_boundary_t189.0,camera_or_viewpoint_shift,3_sure,候选点附近主要变化是镜头从水槽上移到窗户区域，关键手部和滤网操作不可见，未出现可验证的动作切换。,
recording_000177_batch3_raw_change_peak_t102.0,sharp_visible_transition,3_sure,持续冲洗滤网后双手明确释放并离开水槽，进入空闲状态；原动作终止清晰可定位。,
recording_000206_batch3_raw_change_peak_t183.0,sharp_visible_transition,3_sure,滤网从水龙头冲洗位置转移到排水口并开始清理，交互位置和动作阶段清晰改变。,
recording_000206_batch3_raw_change_peak_t616.0,gradual_phase_transition,3_sure,操作确实从水龙头下清洁滤网逐步转向排水口重新放置，但移动和阶段切换连续展开，没有单一清晰瞬间。,
recording_000207_batch3_gt_boundary_t412.0,sharp_visible_transition,3_sure,滤网清洁在候选点附近结束，双手撤离水槽并进入空闲；动作结束清晰可见。,
recording_000207_batch3_gt_boundary_t472.0,sharp_visible_transition,3_sure,从处理水槽盆面转为抓取并在水龙头下冲洗滤网，交互对象和目标明确重置。,
recording_000208_batch3_gt_boundary_t610.5,sharp_visible_transition,3_sure,空闲水槽后双手在候选点后约 0.4 秒进入并开始操作滤网，新的动作起点清晰可定位。,
recording_000209_batch3_gt_boundary_t155.0,annotation_convention,3_sure,候选点落在两段相同滤网清洁之间的空闲间隔，前一动作已结束、后一动作稍后才开始，切点本身无视觉事件。,
recording_000209_batch3_gt_boundary_t257.0,sharp_visible_transition,3_sure,候选点前水槽为空，随后双手进入排水口并开始操作滤网，动作起始清晰可定位。,
recording_000209_batch3_gt_boundary_t358.5,annotation_convention,3_sure,候选点位于较长的空闲间隔中；前一操作已提前结束，下一次拆取约一秒后才开始，切点本身没有视觉事件。,
recording_000209_batch3_gt_boundary_t435.3,annotation_convention,3_sure,候选点位于放置滤网结束与下一轮清洁开始之间的空闲段，没有可定位的 hand-object transition。,
recording_000210_batch3_raw_change_peak_t451.0,same_action_internal_motion,3_sure,候选点前后持续旋转和调整同一个滤网，没有释放、换对象或新的交互目标。,
recording_000211_batch3_gt_boundary_t322.2,annotation_convention,3_sure,候选点前后均为空水槽，下一轮滤网操作在明显更晚的位置才出现；GT 切点没有对应可见 transition。,
